market,station,minute,count,fraction
atlanta,KATL,12,1,0.00036536353671903543
atlanta,KATL,43,1,0.00036536353671903543
atlanta,KATL,52,2735,0.999269272926562
austin,KAUS,53,2723,1.0
chicago,KORD,51,2733,0.9992687385740402
chicago,KORD,55,1,0.00036563071297989033
chicago,KORD,59,1,0.00036563071297989033
dallas,KDAL,0,1,0.00036589828027808267
dallas,KDAL,46,1,0.00036589828027808267
dallas,KDAL,53,2731,0.9992682034394438
denver,KBKF,50,1,0.0003677822728944465
denver,KBKF,55,3,0.0011033468186833395
denver,KBKF,57,1,0.0003677822728944465
denver,KBKF,58,2714,0.9981610886355278
houston,KHOU,29,1,0.00036563071297989033
houston,KHOU,53,2733,0.9992687385740402
houston,KHOU,58,1,0.00036563071297989033
los-angeles,KLAX,53,2727,0.999633431085044
los-angeles,KLAX,58,1,0.00036656891495601173
miami,KMIA,53,2733,0.9996342355523044
miami,KMIA,54,1,0.000365764447695684
nyc,KLGA,51,2733,1.0
san-francisco,KSFO,14,1,0.0003654970760233918
san-francisco,KSFO,56,2735,0.9996345029239766
seattle,KSEA,53,2735,1.0
toronto,CYYZ,0,2736,1.0
