market,hour,change_native,count,requested_date_hours,reports_per_requested_date_hour
atlanta,0,lt1,3,114,0.02631578947368421
atlanta,0,1to2,2,114,0.017543859649122806
atlanta,0,2to4,1,114,0.008771929824561403
atlanta,0,ge4,0,114,0.0
atlanta,0,unknown,0,114,0.0
atlanta,1,lt1,12,114,0.10526315789473684
atlanta,1,1to2,5,114,0.043859649122807015
atlanta,1,2to4,0,114,0.0
atlanta,1,ge4,0,114,0.0
atlanta,1,unknown,0,114,0.0
atlanta,2,lt1,7,114,0.06140350877192982
atlanta,2,1to2,0,114,0.0
atlanta,2,2to4,0,114,0.0
atlanta,2,ge4,0,114,0.0
atlanta,2,unknown,0,114,0.0
atlanta,3,lt1,11,114,0.09649122807017543
atlanta,3,1to2,4,114,0.03508771929824561
atlanta,3,2to4,1,114,0.008771929824561403
atlanta,3,ge4,0,114,0.0
atlanta,3,unknown,0,114,0.0
atlanta,4,lt1,10,114,0.08771929824561403
atlanta,4,1to2,4,114,0.03508771929824561
atlanta,4,2to4,0,114,0.0
atlanta,4,ge4,0,114,0.0
atlanta,4,unknown,0,114,0.0
atlanta,5,lt1,11,114,0.09649122807017543
atlanta,5,1to2,2,114,0.017543859649122806
atlanta,5,2to4,0,114,0.0
atlanta,5,ge4,0,114,0.0
atlanta,5,unknown,0,114,0.0
atlanta,6,lt1,11,114,0.09649122807017543
atlanta,6,1to2,0,114,0.0
atlanta,6,2to4,0,114,0.0
atlanta,6,ge4,0,114,0.0
atlanta,6,unknown,0,114,0.0
atlanta,7,lt1,20,114,0.17543859649122806
atlanta,7,1to2,5,114,0.043859649122807015
atlanta,7,2to4,0,114,0.0
atlanta,7,ge4,0,114,0.0
atlanta,7,unknown,0,114,0.0
atlanta,8,lt1,11,114,0.09649122807017543
atlanta,8,1to2,8,114,0.07017543859649122
atlanta,8,2to4,0,114,0.0
atlanta,8,ge4,0,114,0.0
atlanta,8,unknown,0,114,0.0
atlanta,9,lt1,21,114,0.18421052631578946
atlanta,9,1to2,10,114,0.08771929824561403
atlanta,9,2to4,2,114,0.017543859649122806
atlanta,9,ge4,0,114,0.0
atlanta,9,unknown,0,114,0.0
atlanta,10,lt1,8,114,0.07017543859649122
atlanta,10,1to2,8,114,0.07017543859649122
atlanta,10,2to4,1,114,0.008771929824561403
atlanta,10,ge4,0,114,0.0
atlanta,10,unknown,0,114,0.0
atlanta,11,lt1,12,114,0.10526315789473684
atlanta,11,1to2,9,114,0.07894736842105263
atlanta,11,2to4,0,114,0.0
atlanta,11,ge4,1,114,0.008771929824561403
atlanta,11,unknown,0,114,0.0
atlanta,12,lt1,5,114,0.043859649122807015
atlanta,12,1to2,8,114,0.07017543859649122
atlanta,12,2to4,4,114,0.03508771929824561
atlanta,12,ge4,1,114,0.008771929824561403
atlanta,12,unknown,0,114,0.0
atlanta,13,lt1,3,114,0.02631578947368421
atlanta,13,1to2,8,114,0.07017543859649122
atlanta,13,2to4,3,114,0.02631578947368421
atlanta,13,ge4,0,114,0.0
atlanta,13,unknown,0,114,0.0
atlanta,14,lt1,11,114,0.09649122807017543
atlanta,14,1to2,6,114,0.05263157894736842
atlanta,14,2to4,3,114,0.02631578947368421
atlanta,14,ge4,4,114,0.03508771929824561
atlanta,14,unknown,0,114,0.0
atlanta,15,lt1,7,114,0.06140350877192982
atlanta,15,1to2,6,114,0.05263157894736842
atlanta,15,2to4,5,114,0.043859649122807015
atlanta,15,ge4,4,114,0.03508771929824561
atlanta,15,unknown,0,114,0.0
atlanta,16,lt1,11,114,0.09649122807017543
atlanta,16,1to2,9,114,0.07894736842105263
atlanta,16,2to4,3,114,0.02631578947368421
atlanta,16,ge4,8,114,0.07017543859649122
atlanta,16,unknown,0,114,0.0
atlanta,17,lt1,6,114,0.05263157894736842
atlanta,17,1to2,5,114,0.043859649122807015
atlanta,17,2to4,2,114,0.017543859649122806
atlanta,17,ge4,4,114,0.03508771929824561
atlanta,17,unknown,0,114,0.0
atlanta,18,lt1,5,114,0.043859649122807015
atlanta,18,1to2,4,114,0.03508771929824561
atlanta,18,2to4,0,114,0.0
atlanta,18,ge4,2,114,0.017543859649122806
atlanta,18,unknown,0,114,0.0
atlanta,19,lt1,7,114,0.06140350877192982
atlanta,19,1to2,3,114,0.02631578947368421
atlanta,19,2to4,1,114,0.008771929824561403
atlanta,19,ge4,7,114,0.06140350877192982
atlanta,19,unknown,0,114,0.0
atlanta,20,lt1,7,114,0.06140350877192982
atlanta,20,1to2,2,114,0.017543859649122806
atlanta,20,2to4,1,114,0.008771929824561403
atlanta,20,ge4,2,114,0.017543859649122806
atlanta,20,unknown,0,114,0.0
atlanta,21,lt1,5,114,0.043859649122807015
atlanta,21,1to2,3,114,0.02631578947368421
atlanta,21,2to4,0,114,0.0
atlanta,21,ge4,0,114,0.0
atlanta,21,unknown,0,114,0.0
atlanta,22,lt1,1,114,0.008771929824561403
atlanta,22,1to2,1,114,0.008771929824561403
atlanta,22,2to4,0,114,0.0
atlanta,22,ge4,1,114,0.008771929824561403
atlanta,22,unknown,0,114,0.0
atlanta,23,lt1,5,114,0.043859649122807015
atlanta,23,1to2,2,114,0.017543859649122806
atlanta,23,2to4,0,114,0.0
atlanta,23,ge4,0,114,0.0
atlanta,23,unknown,0,114,0.0
austin,0,lt1,8,114,0.07017543859649122
austin,0,1to2,4,114,0.03508771929824561
austin,0,2to4,0,114,0.0
austin,0,ge4,0,114,0.0
austin,0,unknown,1,114,0.008771929824561403
austin,1,lt1,14,114,0.12280701754385964
austin,1,1to2,1,114,0.008771929824561403
austin,1,2to4,1,114,0.008771929824561403
austin,1,ge4,0,114,0.0
austin,1,unknown,0,114,0.0
austin,2,lt1,19,114,0.16666666666666666
austin,2,1to2,2,114,0.017543859649122806
austin,2,2to4,0,114,0.0
austin,2,ge4,0,114,0.0
austin,2,unknown,0,114,0.0
austin,3,lt1,22,114,0.19298245614035087
austin,3,1to2,4,114,0.03508771929824561
austin,3,2to4,0,114,0.0
austin,3,ge4,0,114,0.0
austin,3,unknown,0,114,0.0
austin,4,lt1,25,114,0.21929824561403508
austin,4,1to2,7,114,0.06140350877192982
austin,4,2to4,0,114,0.0
austin,4,ge4,0,114,0.0
austin,4,unknown,0,114,0.0
austin,5,lt1,22,114,0.19298245614035087
austin,5,1to2,10,114,0.08771929824561403
austin,5,2to4,1,114,0.008771929824561403
austin,5,ge4,0,114,0.0
austin,5,unknown,0,114,0.0
austin,6,lt1,26,114,0.22807017543859648
austin,6,1to2,7,114,0.06140350877192982
austin,6,2to4,2,114,0.017543859649122806
austin,6,ge4,1,114,0.008771929824561403
austin,6,unknown,0,114,0.0
austin,7,lt1,18,114,0.15789473684210525
austin,7,1to2,16,114,0.14035087719298245
austin,7,2to4,1,114,0.008771929824561403
austin,7,ge4,0,114,0.0
austin,7,unknown,0,114,0.0
austin,8,lt1,16,114,0.14035087719298245
austin,8,1to2,11,114,0.09649122807017543
austin,8,2to4,4,114,0.03508771929824561
austin,8,ge4,1,114,0.008771929824561403
austin,8,unknown,0,114,0.0
austin,9,lt1,11,114,0.09649122807017543
austin,9,1to2,16,114,0.14035087719298245
austin,9,2to4,10,114,0.08771929824561403
austin,9,ge4,1,114,0.008771929824561403
austin,9,unknown,0,114,0.0
austin,10,lt1,7,114,0.06140350877192982
