policy,band_minutes,pulled_minutes,notional,pulled_notional,eligible_moves,large_moves,pulled_large_moves,t3_known_minutes,trade_rows,pulled_trade_rows,baseline_0_minutes,baseline_0_notional,baseline_0_large_moves,baseline_15_minutes,baseline_15_notional,baseline_15_large_moves,baseline_30_minutes,baseline_30_notional,baseline_30_large_moves,baseline_45_minutes,baseline_45_notional,baseline_45_large_moves,pulled_fraction,notional_fraction,large_move_fraction,t3_known_fraction,baseline_0_large_move_fraction,baseline_15_large_move_fraction,baseline_30_large_move_fraction,baseline_45_large_move_fraction,best_clock_large_move_fraction,lift_vs_best_clock
combined_5_95,19388829.0,8060102.0,14366822.052628344,7376251.794979853,436331.0,128594.0,46080.0,7087601.0,838712.0,305389.0,8060102.0,6657414.943736756,43099.0,8060102.0,6163897.621609851,33937.0,8060102.0,6527640.8388325805,40291.0,8060102.0,7355117.611730096,46752.0,0.41570855052669764,0.5134226461467448,0.3583370919327496,0.365550750898881,0.3351556060158328,0.2639081139088916,0.31331943947618085,0.3635628411901022,0.3635628411901022,0.9856262833675565
gfs_15,19388829.0,1662870.0,14366822.052628344,1001683.8290524209,436331.0,128594.0,10119.0,7087601.0,838712.0,62104.0,1662870.0,1185232.677527247,11524.0,1662870.0,925632.2279786663,9063.0,1662870.0,1238003.8536636163,12044.0,1662870.0,1476242.0971893473,14330.0,0.08576433367894472,0.0697220182294363,0.07868951895111748,0.365550750898881,0.08961537863352878,0.07047762726099197,0.09365911317790877,0.11143599234801002,0.11143599234801002,0.7061409630146546
gfs_5,19388829.0,554730.0,14366822.052628344,341756.885955916,436331.0,128594.0,3578.0,7087601.0,838712.0,21964.0,554730.0,443868.6113342702,3833.0,554730.0,293691.75486277323,2747.0,554730.0,336278.96077194245,3445.0,554730.0,412966.08983387006,4541.0,0.02861080470615322,0.023787925033385737,0.027824004230368446,0.365550750898881,0.02980698943963171,0.021361805371945815,0.02678974135651741,0.035312689550056765,0.035312689550056765,0.7879321735300595
hrrr_15,19388829.0,9689238.0,14366822.052628344,7907077.455093919,436331.0,128594.0,70150.0,7087601.0,838712.0,433136.0,9689238.0,7268079.4507970605,60979.0,9689238.0,5938426.73586966,55108.0,9689238.0,7167128.663798629,68580.0,9689238.0,8435845.504515154,72906.0,0.4997330163673113,0.550370668344664,0.5455153428620308,0.365550750898881,0.47419786304182154,0.42854254475325443,0.5333063751030375,0.5669471359472448,0.5669471359472448,0.9621978986640332
hrrr_5,19388829.0,3233476.0,14366822.052628344,2895598.4160406543,436331.0,128594.0,26034.0,7087601.0,838712.0,139988.0,3233476.0,3000224.874276103,22309.0,3233476.0,1953913.9014849106,16352.0,3233476.0,2056529.6506526268,20149.0,3233476.0,2458051.6598959267,24937.0,0.16677005094015734,0.20154759385433593,0.2024511252469011,0.365550750898881,0.17348398836648676,0.12715989859557988,0.15668693718213914,0.1939204006407764,0.1939204006407764,1.043990856959538
metar_10,19388829.0,6476591.0,14366822.052628344,5700279.60941411,436331.0,128594.0,50313.0,7087601.0,838712.0,293540.0,6476591.0,5453343.184454659,45229.0,6476591.0,3821672.565235736,32696.0,6476591.0,3920485.6829468277,40950.0,6476591.0,5829225.976520048,49885.0,0.33403724381704536,0.3967669111883564,0.39125464640651975,0.365550750898881,0.35171936482262,0.254257585890477,0.31844409536992396,0.3879263418199916,0.3879263418199916,1.0085797333867896
metar_2,19388829.0,1294360.0,14366822.052628344,1196459.326421418,436331.0,128594.0,12413.0,7087601.0,838712.0,58719.0,1294360.0,1440619.015740213,10505.0,1294360.0,848044.8484741279,6826.0,1294360.0,834149.427296383,7353.0,1294360.0,756118.7882822847,8424.0,0.06675802855345209,0.08327933081084771,0.09652860942190149,0.365550750898881,0.08169121420906107,0.05308179230757267,0.05717996174005008,0.06550849961895579,0.08169121420906107,1.1816277962874822
metar_5,19388829.0,3238820.0,14366822.052628344,3151024.7726088576,436331.0,128594.0,28884.0,7087601.0,838712.0,147377.0,3238820.0,3015763.12639873,22086.0,3238820.0,1969297.2793435324,16245.0,3238820.0,2056763.5896989792,20008.0,3238820.0,2357817.391967063,24734.0,0.16704567356801175,0.21932649830742437,0.22461390111513757,0.365550750898881,0.17174984835995458,0.12632782244894786,0.15559046300760535,0.19234178888595113,0.19234178888595113,1.167785234899329
models_5,19388829.0,4090840.0,14366822.052628344,3537958.8753121994,436331.0,128594.0,32076.0,7087601.0,838712.0,179917.0,4090840.0,3718197.2221008716,30205.0,4090840.0,2414886.9867225694,20688.0,4090840.0,2580323.581660077,25666.0,4090840.0,3314860.229455448,31650.0,0.2109895342312834,0.24625897518268114,0.2494362100875624,0.365550750898881,0.2348865421403798,0.1608784235656407,0.19958940541549372,0.24612345832620494,0.24612345832620494,1.0134597156398104
nbm_15,19388829.0,1597365.0,14366822.052628344,1367102.4618668386,436331.0,128594.0,11457.0,7087601.0,838712.0,74317.0,1597365.0,1486047.702629334,12652.0,1597365.0,921607.0700072137,7943.0,1597365.0,950982.4618046067,9134.0,1597365.0,1254124.106460728,11817.0,0.08238584186801585,0.09515691479012463,0.0890943589903106,0.365550750898881,0.09838717202979921,0.061768045165404295,0.07102975255455153,0.09189386752103519,0.09838717202979921,0.9055485298766994
