policy,city,ahead,hour_start,band_minutes,pulled_minutes,notional,pulled_notional,eligible_moves,large_moves,pulled_large_moves,t3_known_minutes,trade_rows,pulled_trade_rows,baseline_0_minutes,baseline_0_notional,baseline_0_large_moves,baseline_15_minutes,baseline_15_notional,baseline_15_large_moves,baseline_30_minutes,baseline_30_notional,baseline_30_large_moves,baseline_45_minutes,baseline_45_notional,baseline_45_large_moves,pulled_fraction,notional_fraction,large_move_fraction,t3_known_fraction,baseline_0_large_move_fraction,baseline_15_large_move_fraction,baseline_30_large_move_fraction,baseline_45_large_move_fraction,best_clock_large_move_fraction,lift_vs_best_clock
combined_5_95,atlanta,0,0,158400.0,65308.0,151773.30533931608,43796.835362075544,5840.0,1212.0,395.0,126579.0,11865.0,3695.0,65308.0,38652.64665405693,237.0,65308.0,42317.24575011691,207.0,65308.0,58631.91645817653,535.0,65308.0,48324.62932307611,410.0,0.4122979797979798,0.28856744777456067,0.3259075907590759,0.7991098484848485,0.19554455445544555,0.1707920792079208,0.4414191419141914,0.33828382838283827,0.4414191419141914,0.7383177570093458
combined_5_95,atlanta,0,6,158400.0,76305.0,118630.52907011627,52023.546896071515,4371.0,1267.0,466.0,154440.0,9197.0,3314.0,76305.0,42140.021292077174,401.0,76305.0,35252.10392106163,317.0,76305.0,42326.192233096626,455.0,76305.0,51123.7513930836,475.0,0.4817234848484849,0.43853422305250894,0.36779794790844517,0.975,0.3164956590370955,0.250197316495659,0.35911602209944754,0.3749013417521705,0.3749013417521705,0.9810526315789474
combined_5_95,atlanta,0,12,158400.0,122622.0,331098.5044008477,240732.07051789772,10673.0,4884.0,2069.0,154440.0,17354.0,9625.0,122622.0,160104.02396401408,1412.0,122622.0,155495.21375405407,1284.0,122622.0,158407.0138929784,1377.0,122622.0,231578.093932921,2171.0,0.7741287878787879,0.7270708484579955,0.4236281736281736,0.975,0.2891072891072891,0.2628992628992629,0.2819410319410319,0.44451269451269454,0.44451269451269454,0.9530170428374021
combined_5_95,atlanta,0,18,158400.0,155150.0,114291.64647318269,106697.62721318012,1234.0,124.0,113.0,154440.0,2418.0,2249.0,155150.0,110011.77818818045,124.0,155150.0,111405.55244918291,121.0,155150.0,109464.5848051908,123.0,155150.0,110106.18775117162,120.0,0.9794823232323232,0.9335557803711891,0.9112903225806451,0.975,1.0,0.9758064516129032,0.9919354838709677,0.967741935483871,1.0,0.9112903225806451
combined_5_95,atlanta,1,0,154440.0,36564.0,66329.00559111212,14694.49496405998,1883.0,283.0,74.0,0.0,4920.0,1052.0,36564.0,21285.887363042526,68.0,36564.0,17293.44681398892,87.0,36564.0,13482.363405000478,33.0,36564.0,11344.60051807796,67.0,0.23675213675213674,0.22153950346617285,0.26148409893992935,0.0,0.24028268551236748,0.30742049469964666,0.1166077738515901,0.23674911660777384,0.30742049469964666,0.8505747126436782
combined_5_95,atlanta,1,6,154440.0,36036.0,71274.00546154879,20626.04309475375,1956.0,270.0,69.0,0.0,4662.0,1163.0,36036.0,17554.437173819457,78.0,36036.0,19106.42589290399,61.0,36036.0,17089.533117913434,66.0,36036.0,17943.208716846355,69.0,0.23333333333333334,0.28939082294008545,0.25555555555555554,0.0,0.28888888888888886,0.22592592592592592,0.24444444444444444,0.25555555555555554,0.28888888888888886,0.8846153846153846
combined_5_95,atlanta,1,12,155749.0,36399.0,69670.45393708714,22195.0461411077,2020.0,355.0,105.0,0.0,4785.0,1281.0,36399.0,22069.230164057553,124.0,36399.0,9884.984839976085,39.0,36399.0,8049.788963989185,40.0,36399.0,17497.110006087732,73.0,0.23370294512324316,0.31857186062186377,0.29577464788732394,0.0,0.3492957746478873,0.10985915492957747,0.11267605633802817,0.2056338028169014,0.3492957746478873,0.8467741935483871
combined_5_95,atlanta,1,18,158400.0,36971.0,41376.96370399883,7960.59048799561,1478.0,283.0,55.0,0.0,3572.0,717.0,36971.0,9793.034854010248,30.0,36971.0,12707.166315000795,88.0,36971.0,8138.072847954285,68.0,36971.0,7428.291366003486,63.0,0.23340277777777776,0.19239184742853105,0.19434628975265017,0.0,0.10600706713780919,0.31095406360424027,0.24028268551236748,0.2226148409893993,0.31095406360424027,0.625
combined_5_95,atlanta,2,0,38639.0,11040.0,1221.226906990323,414.41533200127066,73.0,35.0,5.0,0.0,193.0,44.0,11040.0,432.38580098999154,11.0,11040.0,321.86818099809796,5.0,11040.0,282.5702249991206,13.0,11040.0,365.25575000109734,7.0,0.2857216801677062,0.3393434337461371,0.14285714285714285,0.0,0.3142857142857143,0.14285714285714285,0.37142857142857144,0.2,0.37142857142857144,0.3846153846153846
combined_5_95,atlanta,2,6,91784.0,21637.0,5149.295179998025,1071.6445250016268,204.0,78.0,20.0,0.0,530.0,135.0,21637.0,1365.3613100019584,6.0,21637.0,1269.820248995999,32.0,21637.0,1292.5180299996068,16.0,21637.0,1104.948193000098,21.0,0.23573825503355705,0.20811479776190223,0.2564102564102564,0.0,0.07692307692307693,0.41025641025641024,0.20512820512820512,0.2692307692307692,0.41025641025641024,0.625
combined_5_95,atlanta,2,12,98384.0,23188.0,11660.93141100346,1938.2267700041602,480.0,81.0,22.0,0.0,1162.0,234.0,23188.0,2666.2086529959934,22.0,23188.0,2312.6967490039774,8.0,23188.0,3363.3541739993207,22.0,23188.0,1797.5631610006294,5.0,0.23568872987477638,0.1662154335437747,0.2716049382716049,0.0,0.2716049382716049,0.09876543209876543,0.2716049382716049,0.06172839506172839,0.2716049382716049,1.0
combined_5_95,atlanta,2,18,122056.0,29425.0,19936.354762050534,4436.469175010493,686.0,123.0,30.0,0.0,1880.0,360.0,29425.0,6437.735663998286,64.0,29425.0,5058.137672016504,20.0,29425.0,4222.363080044475,11.0,29425.0,3825.0734689866063,31.0,0.24107786589762076,0.22253161262235607,0.24390243902439024,0.0,0.5203252032520326,0.16260162601626016,0.08943089430894309,0.25203252032520324,0.5203252032520326,0.46874999999999994
