scope_type,scope_value,rows,mean_squared_arm_distance,mean_sharpness_delta_p2_minus_q2,sum_sharpness_delta_p2_minus_q2,sharper_rows,sharper_share,large_majority_sharpening,minimum_candidate_closer_rows,minimum_candidate_closer_share,distance_share_at_threshold
overall,ALL,368,0.138516107473012,0.05872627151833653,21.611267918747842,254,0.6902173913043478,True,57,0.15489130434782608,0.5024028681730798
market,atlanta,51,0.08486606991280153,0.02435839093512764,1.2422779376915096,32,0.6274509803921569,False,17,0.3333333333333333,0.5164123862087142
market,austin,40,0.1675853742725158,0.028528921016389326,1.141156840655573,21,0.525,False,7,0.175,0.5187981602121458
market,chicago,25,0.1418313533323512,-0.028630685499669548,-0.7157671374917387,11,0.44,False,5,0.2,0.5985877802323457
market,dallas,37,0.04963246345255781,0.03668946126038939,1.3575100666344075,31,0.8378378378378378,True,12,0.32432432432432434,0.5266137788825392
market,denver,21,0.16720999967005334,0.02361742044865036,0.49596582942165757,13,0.6190476190476191,False,4,0.19047619047619047,0.5018667054940414
market,houston,22,0.07960728835532882,0.06066221660390538,1.3345687652859184,16,0.7272727272727273,True,5,0.22727272727272727,0.5643643465151509
market,los-angeles,27,0.21694506812576025,0.15462458622973466,4.174863828202835,26,0.9629629629629629,True,8,0.2962962962962963,0.5568424379290363
market,miami,25,0.23378645277901033,0.24710707278795582,6.177676819698895,22,0.88,True,5,0.2,0.5561288542859901
market,nyc,31,0.16857735382332942,0.0021786297698850993,0.06753752286643808,20,0.6451612903225806,False,6,0.1935483870967742,0.5230581814578643
market,san-francisco,8,0.07538951241855635,0.14100282104055592,1.1280225683244474,6,0.75,True,3,0.375,0.6594747415579814
market,seattle,57,0.17247879999795232,0.04852286739025232,2.7658034412443824,34,0.5964912280701754,False,12,0.21052631578947367,0.5348180091051165
market,toronto,24,0.08062099454364192,0.10173547650889649,2.4416514362135158,22,0.9166666666666666,True,2,0.08333333333333333,0.5156340538408578
window,peak_heating_window,163,0.16631625316577756,0.07238941437730169,11.799474543500176,117,0.7177914110429447,True,27,0.1656441717791411,0.5006882608335536
window,settlement_window,205,0.11641160138559355,0.0478624067085252,9.811793375247666,137,0.6682926829268293,True,36,0.17560975609756097,0.5005150438008726
