stratum,market_id,target_date,snapshot_id,local_time,minute_of_day,high_so_far,prev_running_max,drop_degrees,wu_history_rows,wu_history_max_c,wu_current_max_since_7am_c,current_temp,rows_changed,rows_dropped,latest_datetime_changed,cutoff_hour_changed,previous_cutoff_hour,cutoff_hour,cutoff_delta,capture_minute,previous_capture_minute,rows_lost_within_window,source_kind,mechanism,settled_high
B,atlanta,2026-06-07,20260607T003139-0400,00:31:39.134150,31,74,75,1,0,,86,74,0,0,false,false,9,9,0,31,21,0,wu,M2_empty_history,84
B,atlanta,2026-06-08,20260608T002126-0400,00:21:26.295851,21,71,72,1,0,,83,71,0,0,false,false,9,9,0,21,11,0,wu,M2_empty_history,81
B,atlanta,2026-06-12,20260612T003214-0400,00:32:13.749665,32,80,81,1,0,,93,80,0,0,false,false,7,7,0,32,21,0,wu,M2_empty_history,91
B,atlanta,2026-06-13,20260613T001439-0400,00:14:39.090032,14,80,81,1,0,,92,80,0,0,false,false,7,7,0,14,4,0,wu,M2_empty_history,93
B,atlanta,2026-06-13,20260613T113204-0400,11:32:03.518392,692,81,84,3,10,84,88,81,0,1,true,true,10,9,-1,692,681,1,wu,M5_cutoff_change,93
B,atlanta,2026-06-14,20260614T124102-0400,12:41:02.480497,761,81,85,4,12,85,88,81,0,1,true,true,11,10,-1,761,760,1,wu,M5_cutoff_change,90
B,atlanta,2026-06-17,20260617T003036-0400,00:30:36.625130,30,70,71,1,0,,71,70,0,0,false,false,7,7,0,30,24,0,wu,M2_empty_history,85
B,atlanta,2026-06-17,20260617T004428-0400,00:44:28.204219,44,70,71,1,0,,71,70,0,0,false,false,7,7,0,44,32,0,wu,M2_empty_history,85
B,atlanta,2026-06-17,20260617T005328-0400,00:53:28.399344,53,70,71,1,0,,71,70,0,0,false,false,7,7,0,53,52,0,wu,M2_empty_history,85
B,atlanta,2026-06-17,20260617T090233-0400,09:02:32.769557,542,72,73,1,11,72,72,72,0,2,true,true,9,8,-1,542,541,2,wu,M5_cutoff_change,85
B,atlanta,2026-06-17,20260617T110742-0400,11:07:42.087119,667,75,77,2,14,75,76,75,0,1,true,true,11,10,-1,667,665,1,wu,M5_cutoff_change,85
B,atlanta,2026-06-17,20260617T111535-0400,11:15:34.741282,675,75,77,2,14,75,76,75,0,1,true,true,11,10,-1,675,673,1,wu,M5_cutoff_change,85
B,atlanta,2026-06-17,20260617T142835-0400,14:28:34.576529,868,82,84,2,17,82,85,82,0,1,true,true,14,13,-1,868,867,1,wu,M5_cutoff_change,85
