stratum,market_id,target_date,snapshot_id,captured_at_utc,local_time,minute_of_day,window,native_unit,frozen_mechanism,analysis_population,binding_class,runtime_commit,model_version,identity_hash,identity_resolution_class,identity_files_resolved,identity_files_present,identity_unresolved_files,commit_replay_attempted,commit_matches,commit_l1,identity_replay_attempted,identity_matches,identity_l1,identity_max_abs,tree_matches_full_identity,feature_difference_count,first_feature_difference,recorded_active_model_kind,replayed_active_model_kind,runtime_source_fingerprint,runtime_python_version,commit_age_seconds,commit_toronto_local_hour,commit_inside_12_to_18_local,nearest_identity_transition_seconds,commit_age_bucket,identity_transition_bucket
B,atlanta,2026-06-14,20260614T124102-0400,2026-06-14T16:41:02.509509+00:00,12:41:02.480497,761,settlement_window,F,M5_cutoff_change,decision_stratum,model_identity_only,,v0.3.1 empirical lookup baseline,24cbee142ac1dc3c5671dda18fe55ea8d8d0f8aa3951bf7c6b69ddd6e50ab38c,partially_resolved,9,19,"[""src/weather/model/model_features.py"",""src/weather/calibration/forecast_error_model.py"",""src/weather/calibration/settlement_lag_model.py"",""artifacts/calibration/calibrated_weights_atlanta.json"",""artifacts/models/coefs/feature_model_coefs_atlanta.json"",""artifacts/models/coefs/late_day_model_coefs_atlanta.json"",""artifacts/calibration/probability_calibration_atlanta.json"",""artifacts/calibration/forecast_error_model_atlanta.json"",""artifacts/calibration/settlement_lag_model_atlanta.json"",""artifacts/manifests/f_family_secondary_artifacts.json""]",false,,,true,false,0.027695544235097357,0.004090607514652254,false,0,,empirical,empirical,,,,,,25098.655174016953,unavailable,6_to_24h
B,atlanta,2026-06-17,20260617T142835-0400,2026-06-17T18:28:35.219830+00:00,14:28:34.576529,868,peak_heating_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,1dd68a4395bb,v0.5.10 HGBC feature-based ML model,a83d992140ca2a122c67ac4756f5e004753cab052361bee6894f3ac400c14e05,partially_resolved,4,19,"[""src/weather/model/model_distribution.py"",""src/weather/model/model_features.py"",""src/weather/model/feature_store.py"",""src/weather/calibration/forecast_error_model.py"",""src/weather/calibration/family_secondary_artifacts.py"",""src/weather/calibration/probability_calibration.py"",""src/weather/calibration/settlement_lag_model.py"",""src/weather/market/market_registry.py"",""artifacts/calibration/calibrated_weights_atlanta.json"",""artifacts/models/coefs/feature_model_coefs_atlanta.json"",""artifacts/models/coefs/late_day_model_coefs_atlanta.json"",""artifacts/calibration/probability_calibration_atlanta.json"",""artifacts/calibration/forecast_error_model_atlanta.json"",""artifacts/calibration/settlement_lag_model_atlanta.json"",""artifacts/manifests/f_family_secondary_artifacts.json""]",true,false,0.0277826022397399,true,false,0.0277826022397399,0.009108220969995667,false,1,"{""field"":""feature_schema_version"",""recorded"":""toronto_feature_store_v1.5"",""replayed"":""toronto_feature_store_v1.6""}",hgb,hgb,640a15045f2d7858,3.11.0,90541.21983003616,13,true,25439.11568593979,over_24h,6_to_24h
B,atlanta,2026-06-19,20260619T120747-0400,2026-06-19T16:07:47.164919+00:00,12:07:42.942387,727,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,partially_resolved,5,19,"[""src/weather/model/model_distribution.py"",""src/weather/model/model_features.py"",""src/weather/calibration/forecast_error_model.py"",""src/weather/calibration/family_secondary_artifacts.py"",""src/weather/calibration/probability_calibration.py"",""src/weather/calibration/settlement_lag_model.py"",""src/weather/market/market_registry.py"",""artifacts/calibration/calibrated_weights_atlanta.json"",""artifacts/models/coefs/feature_model_coefs_atlanta.json"",""artifacts/models/coefs/late_day_model_coefs_atlanta.json"",""artifacts/calibration/probability_calibration_atlanta.json"",""artifacts/calibration/forecast_error_model_atlanta.json"",""artifacts/calibration/settlement_lag_model_atlanta.json"",""artifacts/manifests/f_family_secondary_artifacts.json""]",true,false,0.008039444573331875,true,false,0.008039444573331875,0.0032818675101066175,false,0,,hgb,hgb,90292409910ec50b,3.11.0,89952.16491889954,11,false,14636.530550003052,over_24h,1_to_6h
B,atlanta,2026-06-19,20260619T120939-0400,2026-06-19T16:09:39.178348+00:00,12:09:38.501060,729,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,partially_resolved,5,19,"[""src/weather/model/model_distribution.py"",""src/weather/model/model_features.py"",""src/weather/calibration/forecast_error_model.py"",""src/weather/calibration/family_secondary_artifacts.py"",""src/weather/calibration/probability_calibration.py"",""src/weather/calibration/settlement_lag_model.py"",""src/weather/market/market_registry.py"",""artifacts/calibration/calibrated_weights_atlanta.json"",""artifacts/models/coefs/feature_model_coefs_atlanta.json"",""artifacts/models/coefs/late_day_model_coefs_atlanta.json"",""artifacts/calibration/probability_calibration_atlanta.json"",""artifacts/calibration/forecast_error_model_atlanta.json"",""artifacts/calibration/settlement_lag_model_atlanta.json"",""artifacts/manifests/f_family_secondary_artifacts.json""]",true,false,0.008039444573331875,true,false,0.008039444573331875,0.0032818675101066175,false,0,,hgb,hgb,90292409910ec50b,3.11.0,90064.17834806442,11,false,14524.517120838165,over_24h,1_to_6h
B,atlanta,2026-06-19,20260619T121258-0400,2026-06-19T16:12:58.775281+00:00,12:12:51.266418,732,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,partially_resolved,5,19,"[""src/weather/model/model_distribution.py"",""src/weather/model/model_features.py"",""src/weather/calibration/forecast_error_model.py"",""src/weather/calibration/family_secondary_artifacts.py"",""src/weather/calibration/probability_calibration.py"",""src/weather/calibration/settlement_lag_model.py"",""src/weather/market/market_registry.py"",""artifacts/calibration/calibrated_weights_atlanta.json"",""artifacts/models/coefs/feature_model_coefs_atlanta.json"",""artifacts/models/coefs/late_day_model_coefs_atlanta.json"",""artifacts/calibration/probability_calibration_atlanta.json"",""artifacts/calibration/forecast_error_model_atlanta.json"",""artifacts/calibration/settlement_lag_model_atlanta.json"",""artifacts/manifests/f_family_secondary_artifacts.json""]",true,false,0.008039444573331875,true,false,0.008039444573331875,0.0032818675101066175,false,0,,hgb,hgb,90292409910ec50b,3.11.0,90263.77528095245,11,false,14324.920187950134,over_24h,1_to_6h
B,atlanta,2026-06-19,20260619T121452-0400,2026-06-19T16:14:52.844409+00:00,12:14:51.860705,734,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,partially_resolved,5,19,"[""src/weather/model/model_distribution.py"",""src/weather/model/model_features.py"",""src/weather/calibration/forecast_error_model.py"",""src/weather/calibration/family_secondary_artifacts.py"",""src/weather/calibration/probability_calibration.py"",""src/weather/calibration/settlement_lag_model.py"",""src/weather/market/market_registry.py"",""artifacts/calibration/calibrated_weights_atlanta.json"",""artifacts/models/coefs/feature_model_coefs_atlanta.json"",""artifacts/models/coefs/late_day_model_coefs_atlanta.json"",""artifacts/calibration/probability_calibration_atlanta.json"",""artifacts/calibration/forecast_error_model_atlanta.json"",""artifacts/calibration/settlement_lag_model_atlanta.json"",""artifacts/manifests/f_family_secondary_artifacts.json""]",true,false,0.008039444573331875,true,false,0.008039444573331875,0.0032818675101066175,false,0,,hgb,hgb,90292409910ec50b,3.11.0,90377.84440898895,11,false,14210.851059913635,over_24h,1_to_6h
B,atlanta,2026-06-19,20260619T122049-0400,2026-06-19T16:20:49.356638+00:00,12:20:48.594709,740,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,partially_resolved,5,19,"[""src/weather/model/model_distribution.py"",""src/weather/model/model_features.py"",""src/weather/calibration/forecast_error_model.py"",""src/weather/calibration/family_secondary_artifacts.py"",""src/weather/calibration/probability_calibration.py"",""src/weather/calibration/settlement_lag_model.py"",""src/weather/market/market_registry.py"",""artifacts/calibration/calibrated_weights_atlanta.json"",""artifacts/models/coefs/feature_model_coefs_atlanta.json"",""artifacts/models/coefs/late_day_model_coefs_atlanta.json"",""artifacts/calibration/probability_calibration_atlanta.json"",""artifacts/calibration/forecast_error_model_atlanta.json"",""artifacts/calibration/settlement_lag_model_atlanta.json"",""artifacts/manifests/f_family_secondary_artifacts.json""]",true,false,0.008039444573331875,true,false,0.008039444573331875,0.0032818675101066175,false,0,,hgb,hgb,90292409910ec50b,3.11.0,90734.35663795471,11,false,13854.338830947876,over_24h,1_to_6h
B,atlanta,2026-06-19,20260619T122252-0400,2026-06-19T16:22:52.117049+00:00,12:22:51.387117,742,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,partially_resolved,5,19,"[""src/weather/model/model_distribution.py"",""src/weather/model/model_features.py"",""src/weather/calibration/forecast_error_model.py"",""src/weather/calibration/family_secondary_artifacts.py"",""src/weather/calibration/probability_calibration.py"",""src/weather/calibration/settlement_lag_model.py"",""src/weather/market/market_registry.py"",""artifacts/calibration/calibrated_weights_atlanta.json"",""artifacts/models/coefs/feature_model_coefs_atlanta.json"",""artifacts/models/coefs/late_day_model_coefs_atlanta.json"",""artifacts/calibration/probability_calibration_atlanta.json"",""artifacts/calibration/forecast_error_model_atlanta.json"",""artifacts/calibration/settlement_lag_model_atlanta.json"",""artifacts/manifests/f_family_secondary_artifacts.json""]",true,false,0.008039444573331875,true,false,0.008039444573331875,0.0032818675101066175,false,0,,hgb,hgb,90292409910ec50b,3.11.0,90857.1170489788,11,false,13731.578419923782,over_24h,1_to_6h
B,atlanta,2026-06-19,20260619T123045-0400,2026-06-19T16:30:45.954239+00:00,12:30:44.988061,750,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,partially_resolved,5,19,"[""src/weather/model/model_distribution.py"",""src/weather/model/model_features.py"",""src/weather/calibration/forecast_error_model.py"",""src/weather/calibration/family_secondary_artifacts.py"",""src/weather/calibration/probability_calibration.py"",""src/weather/calibration/settlement_lag_model.py"",""src/weather/market/market_registry.py"",""artifacts/calibration/calibrated_weights_atlanta.json"",""artifacts/models/coefs/feature_model_coefs_atlanta.json"",""artifacts/models/coefs/late_day_model_coefs_atlanta.json"",""artifacts/calibration/probability_calibration_atlanta.json"",""artifacts/calibration/forecast_error_model_atlanta.json"",""artifacts/calibration/settlement_lag_model_atlanta.json"",""artifacts/manifests/f_family_secondary_artifacts.json""]",true,false,0.008039444573331875,true,false,0.008039444573331875,0.0032818675101066175,false,0,,hgb,hgb,90292409910ec50b,3.11.0,91330.9542388916,11,false,13257.741230010986,over_24h,1_to_6h
B,atlanta,2026-06-19,20260619T123347-0400,2026-06-19T16:33:47.994276+00:00,12:33:47.567799,753,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,partially_resolved,5,19,"[""src/weather/model/model_distribution.py"",""src/weather/model/model_features.py"",""src/weather/calibration/forecast_error_model.py"",""src/weather/calibration/family_secondary_artifacts.py"",""src/weather/calibration/probability_calibration.py"",""src/weather/calibration/settlement_lag_model.py"",""src/weather/market/market_registry.py"",""artifacts/calibration/calibrated_weights_atlanta.json"",""artifacts/models/coefs/feature_model_coefs_atlanta.json"",""artifacts/models/coefs/late_day_model_coefs_atlanta.json"",""artifacts/calibration/probability_calibration_atlanta.json"",""artifacts/calibration/forecast_error_model_atlanta.json"",""artifacts/calibration/settlement_lag_model_atlanta.json"",""artifacts/manifests/f_family_secondary_artifacts.json""]",true,false,0.008039444573331875,true,false,0.008039444573331875,0.0032818675101066175,false,0,,hgb,hgb,90292409910ec50b,3.11.0,91512.99427604675,11,false,13075.701192855835,over_24h,1_to_6h
