season,zone,local_hour,captured_at,healthy_cycle,healthy_age_hours,if_404_cycle,if_404_age_hours
standard,America/New_York,0,2026-01-17T00:00:00-05:00,2026-01-17T01:00:00+00:00,4.0,2026-01-17T00:00:00+00:00,5.0
standard,America/New_York,1,2026-01-17T01:00:00-05:00,2026-01-17T01:00:00+00:00,5.0,2026-01-17T00:00:00+00:00,6.0
standard,America/New_York,2,2026-01-17T02:00:00-05:00,2026-01-17T07:00:00+00:00,0.0,2026-01-17T01:00:00+00:00,6.0
standard,America/New_York,3,2026-01-17T03:00:00-05:00,2026-01-17T07:00:00+00:00,1.0,2026-01-17T01:00:00+00:00,7.0
standard,America/New_York,4,2026-01-17T04:00:00-05:00,2026-01-17T07:00:00+00:00,2.0,2026-01-17T01:00:00+00:00,8.0
standard,America/New_York,5,2026-01-17T05:00:00-05:00,2026-01-17T07:00:00+00:00,3.0,2026-01-17T01:00:00+00:00,9.0
standard,America/New_York,6,2026-01-17T06:00:00-05:00,2026-01-17T07:00:00+00:00,4.0,2026-01-17T01:00:00+00:00,10.0
standard,America/New_York,7,2026-01-17T07:00:00-05:00,2026-01-17T07:00:00+00:00,5.0,2026-01-17T01:00:00+00:00,11.0
standard,America/New_York,8,2026-01-17T08:00:00-05:00,2026-01-17T07:00:00+00:00,6.0,2026-01-17T01:00:00+00:00,12.0
standard,America/New_York,9,2026-01-17T09:00:00-05:00,2026-01-17T07:00:00+00:00,7.0,2026-01-17T01:00:00+00:00,13.0
standard,America/New_York,10,2026-01-17T10:00:00-05:00,2026-01-17T07:00:00+00:00,8.0,2026-01-17T01:00:00+00:00,14.0
standard,America/New_York,11,2026-01-17T11:00:00-05:00,2026-01-17T07:00:00+00:00,9.0,2026-01-17T01:00:00+00:00,15.0
standard,America/New_York,12,2026-01-17T12:00:00-05:00,2026-01-17T07:00:00+00:00,10.0,2026-01-17T01:00:00+00:00,16.0
standard,America/New_York,13,2026-01-17T13:00:00-05:00,2026-01-17T07:00:00+00:00,11.0,2026-01-17T01:00:00+00:00,17.0
standard,America/New_York,14,2026-01-17T14:00:00-05:00,2026-01-17T07:00:00+00:00,12.0,2026-01-17T01:00:00+00:00,18.0
standard,America/New_York,15,2026-01-17T15:00:00-05:00,2026-01-17T07:00:00+00:00,13.0,2026-01-17T01:00:00+00:00,19.0
standard,America/New_York,16,2026-01-17T16:00:00-05:00,2026-01-17T07:00:00+00:00,14.0,2026-01-17T01:00:00+00:00,20.0
standard,America/New_York,17,2026-01-17T17:00:00-05:00,2026-01-17T07:00:00+00:00,15.0,2026-01-17T01:00:00+00:00,21.0
standard,America/New_York,18,2026-01-17T18:00:00-05:00,2026-01-17T07:00:00+00:00,16.0,2026-01-17T01:00:00+00:00,22.0
standard,America/New_York,19,2026-01-17T19:00:00-05:00,2026-01-17T07:00:00+00:00,17.0,2026-01-17T01:00:00+00:00,23.0
standard,America/New_York,20,2026-01-17T20:00:00-05:00,2026-01-17T07:00:00+00:00,18.0,2026-01-17T01:00:00+00:00,24.0
standard,America/New_York,21,2026-01-17T21:00:00-05:00,2026-01-17T07:00:00+00:00,19.0,unavailable,
standard,America/New_York,22,2026-01-17T22:00:00-05:00,2026-01-17T07:00:00+00:00,20.0,unavailable,
standard,America/New_York,23,2026-01-17T23:00:00-05:00,2026-01-17T07:00:00+00:00,21.0,unavailable,
standard,America/Chicago,0,2026-01-17T00:00:00-06:00,2026-01-17T01:00:00+00:00,5.0,2026-01-17T00:00:00+00:00,6.0
standard,America/Chicago,1,2026-01-17T01:00:00-06:00,2026-01-17T07:00:00+00:00,0.0,2026-01-17T01:00:00+00:00,6.0
standard,America/Chicago,2,2026-01-17T02:00:00-06:00,2026-01-17T07:00:00+00:00,1.0,2026-01-17T01:00:00+00:00,7.0
standard,America/Chicago,3,2026-01-17T03:00:00-06:00,2026-01-17T07:00:00+00:00,2.0,2026-01-17T01:00:00+00:00,8.0
standard,America/Chicago,4,2026-01-17T04:00:00-06:00,2026-01-17T07:00:00+00:00,3.0,2026-01-17T01:00:00+00:00,9.0
standard,America/Chicago,5,2026-01-17T05:00:00-06:00,2026-01-17T07:00:00+00:00,4.0,2026-01-17T01:00:00+00:00,10.0
standard,America/Chicago,6,2026-01-17T06:00:00-06:00,2026-01-17T07:00:00+00:00,5.0,2026-01-17T01:00:00+00:00,11.0
standard,America/Chicago,7,2026-01-17T07:00:00-06:00,2026-01-17T07:00:00+00:00,6.0,2026-01-17T01:00:00+00:00,12.0
standard,America/Chicago,8,2026-01-17T08:00:00-06:00,2026-01-17T07:00:00+00:00,7.0,2026-01-17T01:00:00+00:00,13.0
standard,America/Chicago,9,2026-01-17T09:00:00-06:00,2026-01-17T07:00:00+00:00,8.0,2026-01-17T01:00:00+00:00,14.0
standard,America/Chicago,10,2026-01-17T10:00:00-06:00,2026-01-17T07:00:00+00:00,9.0,2026-01-17T01:00:00+00:00,15.0
standard,America/Chicago,11,2026-01-17T11:00:00-06:00,2026-01-17T07:00:00+00:00,10.0,2026-01-17T01:00:00+00:00,16.0
standard,America/Chicago,12,2026-01-17T12:00:00-06:00,2026-01-17T07:00:00+00:00,11.0,2026-01-17T01:00:00+00:00,17.0
standard,America/Chicago,13,2026-01-17T13:00:00-06:00,2026-01-17T07:00:00+00:00,12.0,2026-01-17T01:00:00+00:00,18.0
standard,America/Chicago,14,2026-01-17T14:00:00-06:00,2026-01-17T07:00:00+00:00,13.0,2026-01-17T01:00:00+00:00,19.0
standard,America/Chicago,15,2026-01-17T15:00:00-06:00,2026-01-17T07:00:00+00:00,14.0,2026-01-17T01:00:00+00:00,20.0
standard,America/Chicago,16,2026-01-17T16:00:00-06:00,2026-01-17T07:00:00+00:00,15.0,2026-01-17T01:00:00+00:00,21.0
standard,America/Chicago,17,2026-01-17T17:00:00-06:00,2026-01-17T07:00:00+00:00,16.0,2026-01-17T01:00:00+00:00,22.0
standard,America/Chicago,18,2026-01-17T18:00:00-06:00,2026-01-17T07:00:00+00:00,17.0,2026-01-17T01:00:00+00:00,23.0
standard,America/Chicago,19,2026-01-17T19:00:00-06:00,2026-01-17T07:00:00+00:00,18.0,2026-01-17T01:00:00+00:00,24.0
standard,America/Chicago,20,2026-01-17T20:00:00-06:00,2026-01-17T07:00:00+00:00,19.0,unavailable,
standard,America/Chicago,21,2026-01-17T21:00:00-06:00,2026-01-17T07:00:00+00:00,20.0,unavailable,
standard,America/Chicago,22,2026-01-17T22:00:00-06:00,2026-01-17T07:00:00+00:00,21.0,unavailable,
standard,America/Chicago,23,2026-01-17T23:00:00-06:00,2026-01-17T07:00:00+00:00,22.0,unavailable,
standard,America/Denver,0,2026-01-17T00:00:00-07:00,2026-01-17T07:00:00+00:00,0.0,2026-01-17T01:00:00+00:00,6.0
standard,America/Denver,1,2026-01-17T01:00:00-07:00,2026-01-17T07:00:00+00:00,1.0,2026-01-17T01:00:00+00:00,7.0
standard,America/Denver,2,2026-01-17T02:00:00-07:00,2026-01-17T07:00:00+00:00,2.0,2026-01-17T01:00:00+00:00,8.0
standard,America/Denver,3,2026-01-17T03:00:00-07:00,2026-01-17T07:00:00+00:00,3.0,2026-01-17T01:00:00+00:00,9.0
standard,America/Denver,4,2026-01-17T04:00:00-07:00,2026-01-17T07:00:00+00:00,4.0,2026-01-17T01:00:00+00:00,10.0
standard,America/Denver,5,2026-01-17T05:00:00-07:00,2026-01-17T07:00:00+00:00,5.0,2026-01-17T01:00:00+00:00,11.0
standard,America/Denver,6,2026-01-17T06:00:00-07:00,2026-01-17T07:00:00+00:00,6.0,2026-01-17T01:00:00+00:00,12.0
standard,America/Denver,7,2026-01-17T07:00:00-07:00,2026-01-17T07:00:00+00:00,7.0,2026-01-17T01:00:00+00:00,13.0
standard,America/Denver,8,2026-01-17T08:00:00-07:00,2026-01-17T07:00:00+00:00,8.0,2026-01-17T01:00:00+00:00,14.0
standard,America/Denver,9,2026-01-17T09:00:00-07:00,2026-01-17T07:00:00+00:00,9.0,2026-01-17T01:00:00+00:00,15.0
standard,America/Denver,10,2026-01-17T10:00:00-07:00,2026-01-17T07:00:00+00:00,10.0,2026-01-17T01:00:00+00:00,16.0
standard,America/Denver,11,2026-01-17T11:00:00-07:00,2026-01-17T07:00:00+00:00,11.0,2026-01-17T01:00:00+00:00,17.0
standard,America/Denver,12,2026-01-17T12:00:00-07:00,2026-01-17T07:00:00+00:00,12.0,2026-01-17T01:00:00+00:00,18.0
standard,America/Denver,13,2026-01-17T13:00:00-07:00,2026-01-17T07:00:00+00:00,13.0,2026-01-17T01:00:00+00:00,19.0
standard,America/Denver,14,2026-01-17T14:00:00-07:00,2026-01-17T07:00:00+00:00,14.0,2026-01-17T01:00:00+00:00,20.0
standard,America/Denver,15,2026-01-17T15:00:00-07:00,2026-01-17T07:00:00+00:00,15.0,2026-01-17T01:00:00+00:00,21.0
standard,America/Denver,16,2026-01-17T16:00:00-07:00,2026-01-17T07:00:00+00:00,16.0,2026-01-17T01:00:00+00:00,22.0
standard,America/Denver,17,2026-01-17T17:00:00-07:00,2026-01-17T07:00:00+00:00,17.0,2026-01-17T01:00:00+00:00,23.0
standard,America/Denver,18,2026-01-17T18:00:00-07:00,2026-01-17T07:00:00+00:00,18.0,2026-01-17T01:00:00+00:00,24.0
standard,America/Denver,19,2026-01-17T19:00:00-07:00,2026-01-17T07:00:00+00:00,19.0,unavailable,
standard,America/Denver,20,2026-01-17T20:00:00-07:00,2026-01-17T07:00:00+00:00,20.0,unavailable,
standard,America/Denver,21,2026-01-17T21:00:00-07:00,2026-01-17T07:00:00+00:00,21.0,unavailable,
standard,America/Denver,22,2026-01-17T22:00:00-07:00,2026-01-17T07:00:00+00:00,22.0,unavailable,
standard,America/Denver,23,2026-01-17T23:00:00-07:00,2026-01-17T07:00:00+00:00,23.0,unavailable,
standard,America/Los_Angeles,0,2026-01-17T00:00:00-08:00,2026-01-17T07:00:00+00:00,1.0,2026-01-17T01:00:00+00:00,7.0
standard,America/Los_Angeles,1,2026-01-17T01:00:00-08:00,2026-01-17T07:00:00+00:00,2.0,2026-01-17T01:00:00+00:00,8.0
standard,America/Los_Angeles,2,2026-01-17T02:00:00-08:00,2026-01-17T07:00:00+00:00,3.0,2026-01-17T01:00:00+00:00,9.0
standard,America/Los_Angeles,3,2026-01-17T03:00:00-08:00,2026-01-17T07:00:00+00:00,4.0,2026-01-17T01:00:00+00:00,10.0
standard,America/Los_Angeles,4,2026-01-17T04:00:00-08:00,2026-01-17T07:00:00+00:00,5.0,2026-01-17T01:00:00+00:00,11.0
standard,America/Los_Angeles,5,2026-01-17T05:00:00-08:00,2026-01-17T07:00:00+00:00,6.0,2026-01-17T01:00:00+00:00,12.0
standard,America/Los_Angeles,6,2026-01-17T06:00:00-08:00,2026-01-17T07:00:00+00:00,7.0,2026-01-17T01:00:00+00:00,13.0
standard,America/Los_Angeles,7,2026-01-17T07:00:00-08:00,2026-01-17T07:00:00+00:00,8.0,2026-01-17T01:00:00+00:00,14.0
standard,America/Los_Angeles,8,2026-01-17T08:00:00-08:00,2026-01-17T07:00:00+00:00,9.0,2026-01-17T01:00:00+00:00,15.0
standard,America/Los_Angeles,9,2026-01-17T09:00:00-08:00,2026-01-17T07:00:00+00:00,10.0,2026-01-17T01:00:00+00:00,16.0
standard,America/Los_Angeles,10,2026-01-17T10:00:00-08:00,2026-01-17T07:00:00+00:00,11.0,2026-01-17T01:00:00+00:00,17.0
standard,America/Los_Angeles,11,2026-01-17T11:00:00-08:00,2026-01-17T07:00:00+00:00,12.0,2026-01-17T01:00:00+00:00,18.0
standard,America/Los_Angeles,12,2026-01-17T12:00:00-08:00,2026-01-17T07:00:00+00:00,13.0,2026-01-17T01:00:00+00:00,19.0
standard,America/Los_Angeles,13,2026-01-17T13:00:00-08:00,2026-01-17T07:00:00+00:00,14.0,2026-01-17T01:00:00+00:00,20.0
standard,America/Los_Angeles,14,2026-01-17T14:00:00-08:00,2026-01-17T07:00:00+00:00,15.0,2026-01-17T01:00:00+00:00,21.0
standard,America/Los_Angeles,15,2026-01-17T15:00:00-08:00,2026-01-17T07:00:00+00:00,16.0,2026-01-17T01:00:00+00:00,22.0
standard,America/Los_Angeles,16,2026-01-17T16:00:00-08:00,2026-01-17T07:00:00+00:00,17.0,2026-01-17T01:00:00+00:00,23.0
standard,America/Los_Angeles,17,2026-01-17T17:00:00-08:00,2026-01-17T07:00:00+00:00,18.0,2026-01-17T01:00:00+00:00,24.0
standard,America/Los_Angeles,18,2026-01-17T18:00:00-08:00,2026-01-17T07:00:00+00:00,19.0,unavailable,
standard,America/Los_Angeles,19,2026-01-17T19:00:00-08:00,2026-01-17T07:00:00+00:00,20.0,unavailable,
standard,America/Los_Angeles,20,2026-01-17T20:00:00-08:00,2026-01-17T07:00:00+00:00,21.0,unavailable,
standard,America/Los_Angeles,21,2026-01-17T21:00:00-08:00,2026-01-17T07:00:00+00:00,22.0,unavailable,
standard,America/Los_Angeles,22,2026-01-17T22:00:00-08:00,2026-01-17T07:00:00+00:00,23.0,unavailable,
standard,America/Los_Angeles,23,2026-01-17T23:00:00-08:00,2026-01-17T07:00:00+00:00,24.0,unavailable,
daylight,America/New_York,0,2026-09-17T00:00:00-04:00,2026-09-17T01:00:00+00:00,3.0,2026-09-17T00:00:00+00:00,4.0
daylight,America/New_York,1,2026-09-17T01:00:00-04:00,2026-09-17T01:00:00+00:00,4.0,2026-09-17T00:00:00+00:00,5.0
daylight,America/New_York,2,2026-09-17T02:00:00-04:00,2026-09-17T01:00:00+00:00,5.0,2026-09-17T00:00:00+00:00,6.0
daylight,America/New_York,3,2026-09-17T03:00:00-04:00,2026-09-17T07:00:00+00:00,0.0,2026-09-17T01:00:00+00:00,6.0
daylight,America/New_York,4,2026-09-17T04:00:00-04:00,2026-09-17T07:00:00+00:00,1.0,2026-09-17T01:00:00+00:00,7.0
daylight,America/New_York,5,2026-09-17T05:00:00-04:00,2026-09-17T07:00:00+00:00,2.0,2026-09-17T01:00:00+00:00,8.0
daylight,America/New_York,6,2026-09-17T06:00:00-04:00,2026-09-17T07:00:00+00:00,3.0,2026-09-17T01:00:00+00:00,9.0
daylight,America/New_York,7,2026-09-17T07:00:00-04:00,2026-09-17T07:00:00+00:00,4.0,2026-09-17T01:00:00+00:00,10.0
daylight,America/New_York,8,2026-09-17T08:00:00-04:00,2026-09-17T07:00:00+00:00,5.0,2026-09-17T01:00:00+00:00,11.0
daylight,America/New_York,9,2026-09-17T09:00:00-04:00,2026-09-17T07:00:00+00:00,6.0,2026-09-17T01:00:00+00:00,12.0
daylight,America/New_York,10,2026-09-17T10:00:00-04:00,2026-09-17T07:00:00+00:00,7.0,2026-09-17T01:00:00+00:00,13.0
daylight,America/New_York,11,2026-09-17T11:00:00-04:00,2026-09-17T07:00:00+00:00,8.0,2026-09-17T01:00:00+00:00,14.0
daylight,America/New_York,12,2026-09-17T12:00:00-04:00,2026-09-17T07:00:00+00:00,9.0,2026-09-17T01:00:00+00:00,15.0
daylight,America/New_York,13,2026-09-17T13:00:00-04:00,2026-09-17T07:00:00+00:00,10.0,2026-09-17T01:00:00+00:00,16.0
daylight,America/New_York,14,2026-09-17T14:00:00-04:00,2026-09-17T07:00:00+00:00,11.0,2026-09-17T01:00:00+00:00,17.0
daylight,America/New_York,15,2026-09-17T15:00:00-04:00,2026-09-17T07:00:00+00:00,12.0,2026-09-17T01:00:00+00:00,18.0
daylight,America/New_York,16,2026-09-17T16:00:00-04:00,2026-09-17T07:00:00+00:00,13.0,2026-09-17T01:00:00+00:00,19.0
daylight,America/New_York,17,2026-09-17T17:00:00-04:00,2026-09-17T07:00:00+00:00,14.0,2026-09-17T01:00:00+00:00,20.0
daylight,America/New_York,18,2026-09-17T18:00:00-04:00,2026-09-17T07:00:00+00:00,15.0,2026-09-17T01:00:00+00:00,21.0
daylight,America/New_York,19,2026-09-17T19:00:00-04:00,2026-09-17T07:00:00+00:00,16.0,2026-09-17T01:00:00+00:00,22.0
daylight,America/New_York,20,2026-09-17T20:00:00-04:00,2026-09-17T07:00:00+00:00,17.0,2026-09-17T01:00:00+00:00,23.0
daylight,America/New_York,21,2026-09-17T21:00:00-04:00,2026-09-17T07:00:00+00:00,18.0,2026-09-17T01:00:00+00:00,24.0
