cycle,station,target_date,synthetic_floor_f,synthetic_forecast_high_f,feature,v1_value,v1_state,v2_value,v2_state
20260917T01Z,KATL,2026-09-17,,85.0,nbm_prob_tmax_p10,89.0,present,89.0,present
20260917T01Z,KATL,2026-09-17,,85.0,nbm_prob_tmax_p25,90.0,present,90.0,present
20260917T01Z,KATL,2026-09-17,,85.0,nbm_prob_tmax_p50,91.0,present,91.0,present
20260917T01Z,KATL,2026-09-17,,85.0,nbm_prob_tmax_p75,92.0,present,92.0,present
20260917T01Z,KATL,2026-09-17,,85.0,nbm_prob_tmax_p90,93.0,present,93.0,present
20260917T01Z,KATL,2026-09-17,,85.0,nbm_prob_tmax_mean,91.0,present,91.0,present
20260917T01Z,KATL,2026-09-17,,85.0,nbm_prob_tmax_stddev,1.0,present,1.0,present
20260917T01Z,KATL,2026-09-17,,85.0,nbm_prob_tmax_iqr,2.0,present,2.0,present
20260917T01Z,KATL,2026-09-17,,85.0,nbm_prob_tmax_p10_p90_spread,4.0,present,4.0,present
20260917T01Z,KATL,2026-09-17,,85.0,nbm_prob_tmax_p50_vs_forecast_high,6.0,present,6.0,present
20260917T01Z,KATL,2026-09-17,,85.0,nbm_prob_tmax_p90_vs_forecast_high,8.0,present,8.0,present
20260917T01Z,KATL,2026-09-17,,85.0,nbm_prob_tmax_exceed_forecast_high,0.9,present,0.9,present
20260917T01Z,KATL,2026-09-17,,85.0,nbm_prob_tmax_physical_valid_flag,1.0,present,1.0,present
20260917T01Z,KATL,2026-09-17,,85.0,nbm_prob_tmax_impossible_flag,0.0,present,0.0,present
20260917T01Z,KATL,2026-09-17,,85.0,nbm_prob_tmax_floor_gap,,dropped,,dropped
20260917T01Z,KATL,2026-09-17,80.0,85.0,nbm_prob_tmax_p10,89.0,present,89.0,present
20260917T01Z,KATL,2026-09-17,80.0,85.0,nbm_prob_tmax_p25,90.0,present,90.0,present
20260917T01Z,KATL,2026-09-17,80.0,85.0,nbm_prob_tmax_p50,91.0,present,91.0,present
20260917T01Z,KATL,2026-09-17,80.0,85.0,nbm_prob_tmax_p75,92.0,present,92.0,present
20260917T01Z,KATL,2026-09-17,80.0,85.0,nbm_prob_tmax_p90,93.0,present,93.0,present
20260917T01Z,KATL,2026-09-17,80.0,85.0,nbm_prob_tmax_mean,91.0,present,91.0,present
20260917T01Z,KATL,2026-09-17,80.0,85.0,nbm_prob_tmax_stddev,1.0,present,1.0,present
20260917T01Z,KATL,2026-09-17,80.0,85.0,nbm_prob_tmax_iqr,2.0,present,2.0,present
20260917T01Z,KATL,2026-09-17,80.0,85.0,nbm_prob_tmax_p10_p90_spread,4.0,present,4.0,present
20260917T01Z,KATL,2026-09-17,80.0,85.0,nbm_prob_tmax_p50_vs_forecast_high,6.0,present,6.0,present
20260917T01Z,KATL,2026-09-17,80.0,85.0,nbm_prob_tmax_p90_vs_forecast_high,8.0,present,8.0,present
20260917T01Z,KATL,2026-09-17,80.0,85.0,nbm_prob_tmax_exceed_forecast_high,0.9,present,0.9,present
20260917T01Z,KATL,2026-09-17,80.0,85.0,nbm_prob_tmax_physical_valid_flag,1.0,present,1.0,present
20260917T01Z,KATL,2026-09-17,80.0,85.0,nbm_prob_tmax_impossible_flag,0.0,present,0.0,present
20260917T01Z,KATL,2026-09-17,80.0,85.0,nbm_prob_tmax_floor_gap,13.0,present,13.0,present
20260917T01Z,KAUS,2026-09-17,,85.0,nbm_prob_tmax_p10,97.0,present,97.0,present
20260917T01Z,KAUS,2026-09-17,,85.0,nbm_prob_tmax_p25,98.0,present,98.0,present
20260917T01Z,KAUS,2026-09-17,,85.0,nbm_prob_tmax_p50,99.0,present,99.0,present
20260917T01Z,KAUS,2026-09-17,,85.0,nbm_prob_tmax_p75,100.0,present,100.0,present
20260917T01Z,KAUS,2026-09-17,,85.0,nbm_prob_tmax_p90,100.0,present,100.0,present
20260917T01Z,KAUS,2026-09-17,,85.0,nbm_prob_tmax_mean,99.0,present,99.0,present
20260917T01Z,KAUS,2026-09-17,,85.0,nbm_prob_tmax_stddev,2.0,present,2.0,present
20260917T01Z,KAUS,2026-09-17,,85.0,nbm_prob_tmax_iqr,2.0,present,2.0,present
20260917T01Z,KAUS,2026-09-17,,85.0,nbm_prob_tmax_p10_p90_spread,3.0,present,3.0,present
20260917T01Z,KAUS,2026-09-17,,85.0,nbm_prob_tmax_p50_vs_forecast_high,14.0,present,14.0,present
20260917T01Z,KAUS,2026-09-17,,85.0,nbm_prob_tmax_p90_vs_forecast_high,15.0,present,15.0,present
20260917T01Z,KAUS,2026-09-17,,85.0,nbm_prob_tmax_exceed_forecast_high,0.9,present,0.9,present
20260917T01Z,KAUS,2026-09-17,,85.0,nbm_prob_tmax_physical_valid_flag,1.0,present,1.0,present
20260917T01Z,KAUS,2026-09-17,,85.0,nbm_prob_tmax_impossible_flag,0.0,present,0.0,present
20260917T01Z,KAUS,2026-09-17,,85.0,nbm_prob_tmax_floor_gap,,dropped,,dropped
20260917T01Z,KAUS,2026-09-17,80.0,85.0,nbm_prob_tmax_p10,97.0,present,97.0,present
20260917T01Z,KAUS,2026-09-17,80.0,85.0,nbm_prob_tmax_p25,98.0,present,98.0,present
20260917T01Z,KAUS,2026-09-17,80.0,85.0,nbm_prob_tmax_p50,99.0,present,99.0,present
