stratum,market_id,target_date,snapshot_id,floor_bucket,floor_source_field,realized_band_kind,realized_band_value,realized_band_value_hi,repair_probability,control_probability
B,atlanta,2026-06-07,20260607T000105-0400,,,eq,84,85,0.212388851,0.212388851
B,atlanta,2026-06-07,20260607T010213-0400,,,eq,84,85,0.277274771,0.277274771
B,atlanta,2026-06-07,20260607T020343-0400,,,eq,84,85,0.305641563,0.305641563
B,atlanta,2026-06-07,20260607T030453-0400,,,eq,84,85,0.289487356,0.289487356
B,atlanta,2026-06-07,20260607T040612-0400,,,eq,84,85,0.342643201,0.342643201
B,atlanta,2026-06-07,20260607T050729-0400,,,eq,84,85,0.385055194,0.385055194
B,atlanta,2026-06-07,20260607T060832-0400,,,eq,84,85,0.294672498,0.294672498
B,atlanta,2026-06-07,20260607T071004-0400,,,eq,84,85,0.304413451,0.304413451
B,atlanta,2026-06-07,20260607T080104-0400,,,eq,84,85,0.374478037,0.374478037
B,atlanta,2026-06-07,20260607T090231-0400,,,eq,84,85,0.357847508,0.357847508
B,atlanta,2026-06-07,20260607T100353-0400,,,eq,84,85,0.411606545,0.411606545
B,atlanta,2026-06-07,20260607T110455-0400,,,eq,84,85,0.40269634,0.40269634
B,atlanta,2026-06-07,20260607T120659-0400,,,eq,84,85,0.454307279,0.454307279
B,atlanta,2026-06-07,20260607T130914-0400,,,eq,84,85,0.470411712,0.470411712
B,atlanta,2026-06-07,20260607T140124-0400,,,eq,84,85,0.52356222,0.52356222
B,atlanta,2026-06-07,20260607T150313-0400,,,eq,84,85,0.399572673,0.399572673
B,atlanta,2026-06-07,20260607T160456-0400,,,eq,84,85,0.715593166,0.715593166
B,atlanta,2026-06-07,20260607T170736-0400,,,eq,84,85,0.999238263,0.999238263
B,atlanta,2026-06-07,20260607T181013-0400,,,eq,84,85,0.999894415,0.999894415
B,atlanta,2026-06-07,20260607T190208-0400,,,eq,84,85,0.999885968,0.999885968
B,atlanta,2026-06-07,20260607T200346-0400,,,eq,84,85,0.999970461,0.999970461
B,atlanta,2026-06-07,20260607T210530-0400,,,eq,84,85,0.999979357,0.999979357
B,atlanta,2026-06-07,20260607T220711-0400,,,eq,84,85,0.999979357,0.999979357
B,atlanta,2026-06-07,20260607T230918-0400,,,eq,84,85,0.999979357,0.999979357
B,atlanta,2026-06-08,20260608T000048-0400,,,eq,80,81,0.524644333,0.524644333
B,atlanta,2026-06-08,20260608T010230-0400,,,eq,80,81,0.509192626,0.509192626
B,atlanta,2026-06-08,20260608T020400-0400,,,eq,80,81,0.446825108,0.446825108
B,atlanta,2026-06-08,20260608T030547-0400,,,eq,80,81,0.461627661,0.461627661
B,atlanta,2026-06-08,20260608T040707-0400,,,eq,80,81,0.463065039,0.463065039
B,atlanta,2026-06-08,20260608T050848-0400,,,eq,80,81,0.345872348,0.345872348
B,atlanta,2026-06-08,20260608T060031-0400,,,eq,80,81,0.156487557,0.156487557
B,atlanta,2026-06-08,20260608T070217-0400,,,eq,80,81,0.561829672,0.561829672
B,atlanta,2026-06-08,20260608T080351-0400,,,eq,80,81,0.487580209,0.487580209
B,atlanta,2026-06-08,20260608T090544-0400,,,eq,80,81,0.420799189,0.420799189
B,atlanta,2026-06-08,20260608T100734-0400,,,eq,80,81,0.551679631,0.551679631
B,atlanta,2026-06-08,20260608T110924-0400,,,eq,80,81,0.345518563,0.345518563
B,atlanta,2026-06-08,20260608T120105-0400,,,eq,80,81,0.208899881,0.208899881
B,atlanta,2026-06-08,20260608T130300-0400,,,eq,80,81,0.100571211,0.100571211
B,atlanta,2026-06-08,20260608T140508-0400,,,eq,80,81,0.0296868229,0.0296868229
B,atlanta,2026-06-08,20260608T150710-0400,,,eq,80,81,0.987273092,0.987273092
B,atlanta,2026-06-08,20260608T160955-0400,,,eq,80,81,0.545456387,0.545456387
B,atlanta,2026-06-08,20260608T170217-0400,,,eq,80,81,0.966225998,0.966225998
B,atlanta,2026-06-08,20260608T180442-0400,,,eq,80,81,0.994842243,0.994842243
B,atlanta,2026-06-08,20260608T191524-0400,,,eq,80,81,0.967621722,0.967621722
B,atlanta,2026-06-08,20260608T200643-0400,,,eq,80,81,0.992878008,0.992878008
B,atlanta,2026-06-08,20260608T210809-0400,,,eq,80,81,0.980346007,0.980346007
B,atlanta,2026-06-08,20260608T220943-0400,,,eq,80,81,0.980346007,0.980346007
B,atlanta,2026-06-08,20260608T230129-0400,,,eq,80,81,0.980345966,0.980345966
B,atlanta,2026-06-11,20260611T050110-0400,,,eq,92,93,0.019021141,0.019021141
B,atlanta,2026-06-11,20260611T061006-0400,,,eq,92,93,0.289156208,0.289156208
B,atlanta,2026-06-11,20260611T070044-0400,,,eq,92,93,0.222017594,0.222017594
B,atlanta,2026-06-11,20260611T080359-0400,,,eq,92,93,0.151196199,0.151196199
B,atlanta,2026-06-11,20260611T090601-0400,,,eq,92,93,0.139929211,0.139929211
B,atlanta,2026-06-11,20260611T100747-0400,,,eq,92,93,0.219229569,0.219229569
B,atlanta,2026-06-11,20260611T110315-0400,,,eq,92,93,0.177748838,0.177748838
B,atlanta,2026-06-11,20260611T120523-0400,,,eq,92,93,0.214985356,0.214985356
B,atlanta,2026-06-11,20260611T130708-0400,,,eq,92,93,0.3348974,0.3348974
B,atlanta,2026-06-11,20260611T140946-0400,,,eq,92,93,0.402154974,0.402154974
B,atlanta,2026-06-11,20260611T150135-0400,,,eq,92,93,0.220950929,0.220950929
B,atlanta,2026-06-11,20260611T160410-0400,,,eq,92,93,0.290602723,0.290602723
B,atlanta,2026-06-11,20260611T170617-0400,,,eq,92,93,0.816305255,0.816305255
B,atlanta,2026-06-11,20260611T180817-0400,,,eq,92,93,0.858368899,0.858368899
B,atlanta,2026-06-11,20260611T190957-0400,,,eq,92,93,0.99977236,0.99977236
B,atlanta,2026-06-11,20260611T200212-0400,,,eq,92,93,0.999606492,0.999606492
B,atlanta,2026-06-11,20260611T210543-0400,,,eq,92,93,0.999010318,0.999010318
B,atlanta,2026-06-11,20260611T220726-0400,,,eq,92,93,0.993609876,0.993609876
B,atlanta,2026-06-11,20260611T231000-0400,,,eq,92,93,0.991223906,0.991223906
B,atlanta,2026-06-12,20260612T000128-0400,,,eq,90,91,0,0
B,atlanta,2026-06-12,20260612T010259-0400,,,eq,90,91,0.189529362,0.189529362
B,atlanta,2026-06-12,20260612T020449-0400,,,eq,90,91,0.202392924,0.202392924
B,atlanta,2026-06-12,20260612T030610-0400,,,eq,90,91,0.157991297,0.157991297
B,atlanta,2026-06-12,20260612T040733-0400,,,eq,90,91,0.107228349,0.107228349
B,atlanta,2026-06-12,20260612T050851-0400,,,eq,90,91,0.220559401,0.220559401
B,atlanta,2026-06-12,20260612T060032-0400,,,eq,90,91,0.243915073,0.243915073
B,atlanta,2026-06-12,20260612T070208-0400,,,eq,90,91,0.447834658,0.447834658
B,atlanta,2026-06-12,20260612T080348-0400,,,eq,90,91,0.481025281,0.481025281
B,atlanta,2026-06-12,20260612T090617-0400,,,eq,90,91,0.270941624,0.270941624
B,atlanta,2026-06-12,20260612T100818-0400,,,eq,90,91,0.367912131,0.367912131
B,atlanta,2026-06-12,20260612T111007-0400,,,eq,90,91,0.562500498,0.562500498
