stratum,market_id,target_date,snapshot_id,captured_at_utc,local_time,minute_of_day,window,native_unit,frozen_mechanism,analysis_population,binding_class,runtime_commit,model_version,model_identity_hash,model_code_hash,model_artifact_hash,replay_basis,replay_attempted,matches,l1,max_abs,recorded_active_model_kind,replayed_active_model_kind,feature_difference_count,first_feature_difference,recorded_feature_source,replayed_feature_source
B,atlanta,2026-06-14,20260614T124102-0400,2026-06-14T16:41:02.509509+00:00,12:41:02.480497,761,settlement_window,F,M5_cutoff_change,decision_stratum,model_identity_only,,v0.3.1 empirical lookup baseline,24cbee142ac1dc3c5671dda18fe55ea8d8d0f8aa3951bf7c6b69ddd6e50ab38c,02cd5ff0e9bcdcac58f13da162292e078556567410febe19fc858c815963f1fb,e4ef52e8406a3ef2a1c59fad5170aa6b75aa8cbdee2402afa9e113b9e682a176,,false,,,,empirical,,,,,
B,atlanta,2026-06-17,20260617T142835-0400,2026-06-17T18:28:35.219830+00:00,14:28:34.576529,868,peak_heating_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,1dd68a4395bb,v0.5.10 HGBC feature-based ML model,a83d992140ca2a122c67ac4756f5e004753cab052361bee6894f3ac400c14e05,11108c07d10fb5a2a345564bc8cf4f75434132db66a487e60bc35c8cae5bf3e9,c1624b832580a641f886b580f89e3fb5d50c0d3ec1b83e25cf310ae7e91795a6,captured_runtime_commit,true,false,0.0277826022397399,0.009108220969995667,hgb,hgb,0,,"{""current_temp_source"":""wu_history"",""feature_history_max"":82.0,""feature_latest_temp"":82.0,""feature_rows"":17,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":85.0,""wu_current_temp"":85.0}","{""current_temp_source"":""wu_history"",""feature_history_max"":82.0,""feature_latest_temp"":82.0,""feature_rows"":17,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":85.0,""wu_current_temp"":85.0}"
B,atlanta,2026-06-19,20260619T120747-0400,2026-06-19T16:07:47.164919+00:00,12:07:42.942387,727,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,cc96e6fadc5e66b9a5e6166b49d8c6a50952a3da16e906aef4a9ac93cec4f118,c1624b832580a641f886b580f89e3fb5d50c0d3ec1b83e25cf310ae7e91795a6,captured_runtime_commit,true,false,0.008039444573331875,0.0032818675101066175,hgb,hgb,0,,"{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}","{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}"
B,atlanta,2026-06-19,20260619T120939-0400,2026-06-19T16:09:39.178348+00:00,12:09:38.501060,729,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,cc96e6fadc5e66b9a5e6166b49d8c6a50952a3da16e906aef4a9ac93cec4f118,c1624b832580a641f886b580f89e3fb5d50c0d3ec1b83e25cf310ae7e91795a6,captured_runtime_commit,true,false,0.008039444573331875,0.0032818675101066175,hgb,hgb,0,,"{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}","{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}"
B,atlanta,2026-06-19,20260619T121258-0400,2026-06-19T16:12:58.775281+00:00,12:12:51.266418,732,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,cc96e6fadc5e66b9a5e6166b49d8c6a50952a3da16e906aef4a9ac93cec4f118,c1624b832580a641f886b580f89e3fb5d50c0d3ec1b83e25cf310ae7e91795a6,captured_runtime_commit,true,false,0.008039444573331875,0.0032818675101066175,hgb,hgb,0,,"{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}","{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}"
B,atlanta,2026-06-19,20260619T121452-0400,2026-06-19T16:14:52.844409+00:00,12:14:51.860705,734,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,cc96e6fadc5e66b9a5e6166b49d8c6a50952a3da16e906aef4a9ac93cec4f118,c1624b832580a641f886b580f89e3fb5d50c0d3ec1b83e25cf310ae7e91795a6,captured_runtime_commit,true,false,0.008039444573331875,0.0032818675101066175,hgb,hgb,0,,"{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}","{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}"
B,atlanta,2026-06-19,20260619T122049-0400,2026-06-19T16:20:49.356638+00:00,12:20:48.594709,740,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,cc96e6fadc5e66b9a5e6166b49d8c6a50952a3da16e906aef4a9ac93cec4f118,c1624b832580a641f886b580f89e3fb5d50c0d3ec1b83e25cf310ae7e91795a6,captured_runtime_commit,true,false,0.008039444573331875,0.0032818675101066175,hgb,hgb,0,,"{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}","{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}"
B,atlanta,2026-06-19,20260619T122252-0400,2026-06-19T16:22:52.117049+00:00,12:22:51.387117,742,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,cc96e6fadc5e66b9a5e6166b49d8c6a50952a3da16e906aef4a9ac93cec4f118,c1624b832580a641f886b580f89e3fb5d50c0d3ec1b83e25cf310ae7e91795a6,captured_runtime_commit,true,false,0.008039444573331875,0.0032818675101066175,hgb,hgb,0,,"{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}","{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}"
B,atlanta,2026-06-19,20260619T123045-0400,2026-06-19T16:30:45.954239+00:00,12:30:44.988061,750,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,cc96e6fadc5e66b9a5e6166b49d8c6a50952a3da16e906aef4a9ac93cec4f118,c1624b832580a641f886b580f89e3fb5d50c0d3ec1b83e25cf310ae7e91795a6,captured_runtime_commit,true,false,0.008039444573331875,0.0032818675101066175,hgb,hgb,0,,"{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}","{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}"
B,atlanta,2026-06-19,20260619T123347-0400,2026-06-19T16:33:47.994276+00:00,12:33:47.567799,753,settlement_window,F,M5_cutoff_change,decision_stratum,runtime_commit_bound,e0b26bc494e7,v0.5.10 HGBC feature-based ML model,6a408b08edb4a82d343ea3bff1267c0ea57bfbef8748dfa09d0e55f745628e37,cc96e6fadc5e66b9a5e6166b49d8c6a50952a3da16e906aef4a9ac93cec4f118,c1624b832580a641f886b580f89e3fb5d50c0d3ec1b83e25cf310ae7e91795a6,captured_runtime_commit,true,false,0.008039444573331875,0.0032818675101066175,hgb,hgb,0,,"{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}","{""current_temp_source"":""wu_history"",""feature_history_max"":79.0,""feature_latest_temp"":79.0,""feature_rows"":15,""high_so_far_source"":""wu_history"",""wu_current_max_since_7am"":81.0,""wu_current_temp"":81.0}"
