stratum,market_id,target_date,snapshot_id,captured_at_utc,local_time,minute_of_day,window,native_unit,frozen_mechanism,raw_transition_kind,raw_removed_minutes,raw_added_minutes,raw_same_minute_value_changes,served_cutoff_hour,served_high_so_far,previous_served_high_so_far,settled_high,max_captured_at_utc_used,max_prior_captured_at_utc_used,observable_recovered_rows,observable_recovered_minutes,observable_max_recovered_source_captured_at_utc,envelope_max_cutoff_hour,envelope_max_high_so_far,envelope_max_previous_high_so_far,envelope_max_delta_from_served,envelope_max_event_repaired,envelope_max_exceeds_settled_high,envelope_last_cutoff_hour,envelope_last_high_so_far,envelope_last_previous_high_so_far,envelope_last_delta_from_served,envelope_last_event_repaired,envelope_last_exceeds_settled_high,m5_m3_label_gate_cutoff_hour,m5_m3_label_gate_high_so_far,m5_m3_label_gate_previous_high_so_far,m5_m3_label_gate_delta_from_served,m5_m3_label_gate_event_repaired,m5_m3_label_gate_exceeds_settled_high,observable_no_published_at_or_after_cutoff_hour,observable_no_published_at_or_after_high_so_far,observable_no_published_at_or_after_previous_high_so_far,observable_no_published_at_or_after_delta_from_served,observable_no_published_at_or_after_event_repaired,observable_no_published_at_or_after_exceeds_settled_high
B,atlanta,2026-06-07,20260607T003139-0400,2026-06-07T04:31:39.253071+00:00,00:31:39.134150,31,pre_dawn,F,M2_empty_history,no_valid_row_change,,,,9,74,75,84,2026-06-07T04:31:39.253071+00:00,2026-06-07T04:21:26.918644+00:00,0,,,7,74,75,0,false,false,7,74,75,0,false,false,9,74,75,0,false,false,7,74,75,0,false,false
B,atlanta,2026-06-08,20260608T002126-0400,2026-06-08T04:21:26.563214+00:00,00:21:26.295851,21,pre_dawn,F,M2_empty_history,no_valid_row_change,,,,9,71,72,81,2026-06-08T04:21:26.563214+00:00,2026-06-08T04:11:12.698734+00:00,0,,,7,71,72,0,false,false,7,71,72,0,false,false,9,71,72,0,false,false,7,71,72,0,false,false
B,atlanta,2026-06-12,20260612T003214-0400,2026-06-12T04:32:14.040944+00:00,00:32:13.749665,32,pre_dawn,F,M2_empty_history,no_valid_row_change,,,,7,80,81,91,2026-06-12T04:32:14.040944+00:00,2026-06-12T04:21:58.967234+00:00,0,,,7,80,81,0,false,false,7,80,81,0,false,false,7,80,81,0,false,false,7,80,81,0,false,false
B,atlanta,2026-06-13,20260613T001439-0400,2026-06-13T04:14:39.256356+00:00,00:14:39.090032,14,pre_dawn,F,M2_empty_history,no_valid_row_change,,,,7,80,81,93,2026-06-13T04:14:39.256356+00:00,2026-06-13T04:04:21.228329+00:00,0,,,7,80,81,0,false,false,7,80,81,0,false,false,7,80,81,0,false,false,7,80,81,0,false,false
B,atlanta,2026-06-13,20260613T113204-0400,2026-06-13T15:32:04.120502+00:00,11:32:03.518392,692,other,F,M5_cutoff_change,timestamp_set_changed,652,,,9,81,84,93,2026-06-13T15:32:04.120502+00:00,2026-06-13T15:21:44.675351+00:00,1,652,2026-06-13T15:21:44.675351+00:00,10,84,84,3,true,false,10,84,84,3,true,false,10,84,84,3,true,false,10,84,84,3,true,false
B,atlanta,2026-06-14,20260614T124102-0400,2026-06-14T16:41:02.509509+00:00,12:41:02.480497,761,settlement_window,F,M5_cutoff_change,timestamp_set_changed,712,,,10,81,85,90,2026-06-14T16:41:02.509509+00:00,2026-06-14T16:40:05.470755+00:00,1,712,2026-06-14T16:40:05.470755+00:00,11,85,85,4,true,false,11,85,85,4,true,false,11,85,85,4,true,false,11,85,85,4,true,false
B,atlanta,2026-06-17,20260617T003036-0400,2026-06-17T04:30:36.868872+00:00,00:30:36.625130,30,pre_dawn,F,M2_empty_history,no_valid_row_change,,,,7,70,71,85,2026-06-17T04:30:36.868872+00:00,2026-06-17T04:24:28.859401+00:00,0,,,7,70,71,0,false,false,7,70,71,0,false,false,7,70,71,0,false,false,7,70,71,0,false,false
B,atlanta,2026-06-17,20260617T004428-0400,2026-06-17T04:44:28.387032+00:00,00:44:28.204219,44,pre_dawn,F,M2_empty_history,no_valid_row_change,,,,7,70,71,85,2026-06-17T04:44:28.387032+00:00,2026-06-17T04:32:33.309570+00:00,0,,,7,70,71,0,false,false,7,70,71,0,false,false,7,70,71,0,false,false,7,70,71,0,false,false
B,atlanta,2026-06-17,20260617T005328-0400,2026-06-17T04:53:28.606405+00:00,00:53:28.399344,53,pre_dawn,F,M2_empty_history,no_valid_row_change,,,,7,70,71,85,2026-06-17T04:53:28.606405+00:00,2026-06-17T04:52:33.836485+00:00,0,,,7,70,71,0,false,false,7,70,71,0,false,false,7,70,71,0,false,false,7,70,71,0,false,false
B,atlanta,2026-06-17,20260617T090233-0400,2026-06-17T13:02:33.261067+00:00,09:02:32.769557,542,other,F,M5_cutoff_change,timestamp_set_changed,508|532,,,8,72,73,85,2026-06-17T13:02:33.261067+00:00,2026-06-17T13:01:31.280582+00:00,2,508|532,2026-06-17T13:01:31.280582+00:00,8,72,72,0,true,false,8,72,72,0,true,false,8,72,73,0,false,false,8,72,72,0,true,false
