stratum,market_id,target_date,snapshot_id,served_floor_bucket,served_high_so_far,raw_wu_max_since_7am,raw_station_max_since_7am
B,atlanta,2026-06-07,20260607T000105-0400,17,17.0,,
B,atlanta,2026-06-07,20260607T010213-0400,75,75.0,86.0,
B,atlanta,2026-06-07,20260607T020343-0400,75,75.0,86.0,
B,atlanta,2026-06-07,20260607T030453-0400,75,75.0,86.0,
B,atlanta,2026-06-07,20260607T040612-0400,75,75.0,86.0,
B,atlanta,2026-06-07,20260607T050729-0400,75,75.0,86.0,
B,atlanta,2026-06-07,20260607T060832-0400,75,75.0,86.0,
B,atlanta,2026-06-07,20260607T071004-0400,75,75.0,71.0,
B,atlanta,2026-06-07,20260607T080104-0400,75,75.0,73.0,
B,atlanta,2026-06-07,20260607T090231-0400,75,75.0,74.0,
B,atlanta,2026-06-07,20260607T100353-0400,75,75.0,77.0,
B,atlanta,2026-06-07,20260607T110455-0400,75,75.0,78.0,
B,atlanta,2026-06-07,20260607T120659-0400,76,76.0,80.0,
B,atlanta,2026-06-07,20260607T130914-0400,76,76.0,82.0,
B,atlanta,2026-06-07,20260607T140124-0400,81,81.0,83.0,
B,atlanta,2026-06-07,20260607T150313-0400,82,82.0,83.0,
B,atlanta,2026-06-07,20260607T160456-0400,82,82.0,83.0,
B,atlanta,2026-06-07,20260607T170736-0400,84,84.0,83.0,
B,atlanta,2026-06-07,20260607T181013-0400,84,84.0,83.0,
B,atlanta,2026-06-07,20260607T190208-0400,84,84.0,83.0,
B,atlanta,2026-06-07,20260607T200346-0400,84,84.0,83.0,
B,atlanta,2026-06-07,20260607T210530-0400,84,84.0,83.0,
B,atlanta,2026-06-07,20260607T220711-0400,84,84.0,83.0,
B,atlanta,2026-06-07,20260607T230918-0400,84,84.0,83.0,
B,atlanta,2026-06-08,20260608T000048-0400,17,17.0,,
B,atlanta,2026-06-08,20260608T010230-0400,71,71.0,83.0,
B,atlanta,2026-06-08,20260608T020400-0400,71,71.0,83.0,
B,atlanta,2026-06-08,20260608T030547-0400,71,71.0,83.0,
B,atlanta,2026-06-08,20260608T040707-0400,71,71.0,83.0,
B,atlanta,2026-06-08,20260608T050848-0400,71,71.0,83.0,
B,atlanta,2026-06-08,20260608T060031-0400,71,71.0,83.0,
B,atlanta,2026-06-08,20260608T070217-0400,71,71.0,70.0,
B,atlanta,2026-06-08,20260608T080351-0400,71,71.0,71.0,
B,atlanta,2026-06-08,20260608T090544-0400,72,72.0,72.0,
B,atlanta,2026-06-08,20260608T100734-0400,73,73.0,73.0,
B,atlanta,2026-06-08,20260608T110924-0400,74,74.0,76.0,
B,atlanta,2026-06-08,20260608T120105-0400,74,74.0,78.0,
B,atlanta,2026-06-08,20260608T130300-0400,74,74.0,81.0,
B,atlanta,2026-06-08,20260608T140508-0400,79,79.0,82.0,
B,atlanta,2026-06-08,20260608T150710-0400,80,80.0,82.0,
B,atlanta,2026-06-08,20260608T160955-0400,81,81.0,82.0,
B,atlanta,2026-06-08,20260608T170217-0400,81,81.0,82.0,
B,atlanta,2026-06-08,20260608T180442-0400,81,81.0,82.0,
B,atlanta,2026-06-08,20260608T191524-0400,81,81.0,82.0,
B,atlanta,2026-06-08,20260608T200643-0400,81,81.0,82.0,
B,atlanta,2026-06-08,20260608T210809-0400,81,81.0,82.0,
B,atlanta,2026-06-08,20260608T220943-0400,81,81.0,82.0,
B,atlanta,2026-06-08,20260608T230129-0400,81,81.0,82.0,
B,atlanta,2026-06-11,20260611T050110-0400,78,78.0,89.0,
B,atlanta,2026-06-11,20260611T061006-0400,78,78.0,89.0,
B,atlanta,2026-06-11,20260611T070044-0400,78,78.0,89.0,
B,atlanta,2026-06-11,20260611T080359-0400,78,78.0,77.0,
B,atlanta,2026-06-11,20260611T090601-0400,78,78.0,82.0,
B,atlanta,2026-06-11,20260611T100747-0400,82,82.0,85.0,
B,atlanta,2026-06-11,20260611T110315-0400,82,82.0,87.0,
B,atlanta,2026-06-11,20260611T120523-0400,85,85.0,88.0,
B,atlanta,2026-06-11,20260611T130708-0400,87,87.0,89.0,
B,atlanta,2026-06-11,20260611T140946-0400,87,87.0,90.0,
B,atlanta,2026-06-11,20260611T150135-0400,89,89.0,91.0,
B,atlanta,2026-06-11,20260611T160410-0400,90,90.0,91.0,
B,atlanta,2026-06-11,20260611T170617-0400,90,90.0,92.0,
B,atlanta,2026-06-11,20260611T180817-0400,91,91.0,93.0,
B,atlanta,2026-06-11,20260611T190957-0400,92,92.0,93.0,
B,atlanta,2026-06-11,20260611T200212-0400,92,92.0,93.0,
B,atlanta,2026-06-11,20260611T210543-0400,92,92.0,93.0,
B,atlanta,2026-06-11,20260611T220726-0400,92,92.0,93.0,
B,atlanta,2026-06-11,20260611T231000-0400,92,92.0,93.0,
B,atlanta,2026-06-12,20260612T000128-0400,81,81.0,93.0,
