event_id,title,reason
79056,SpaceX Starship fully reusable before 2027?,Non-weather keyword/tag match
86950,New COVID variant of concern before 2027?,Non-weather keyword/tag match
91942,Measles cases in U.S. in 2026?,Non-weather keyword/tag match
95116,New pandemic in 2026?,Non-weather keyword/tag match
102763,How many SpaceX Starship launches reach space in 2026?,Non-weather keyword/tag match
134928,Major meteor strike (10kt+) in 2026?,Non-weather keyword/tag match
134937,5kt meteor strike in 2026?,Non-weather keyword/tag match
139269,100kt meteor strike in 2026?,Non-weather keyword/tag match
139270,1 megaton meteor strike in 2026?,Non-weather keyword/tag match
139482,New Coronavirus Pandemic in 2026?,Non-weather keyword/tag match
149812,Human moon landing in 2026?,Non-weather keyword/tag match
196914,Largest IPO by market cap in 2026?,Non-weather keyword/tag match
576901,SpaceX Starship fully reusable before 2028?,Non-weather keyword/tag match
580337,Screwworm National Emergency declared by...?,Non-weather keyword/tag match
844659,New pandemic before 2028?,Non-weather keyword/tag match
882557,How many West Nile neuroinvasive disease cases will be reported among New York City residents in 2026?,Non-weather keyword/tag match
996046,Will the TFFF reach $10 billion in 2026?,Non-weather keyword/tag match
1030121,How many Chinook will pass Bonneville Dam by October 31?,Non-weather keyword/tag match
578438,Confirmed US Screwworm case in Livestock beyond Texas by...,Non-weather keyword/tag match
174503,CDC issues Level 4 warning by December 31?,Non-weather keyword/tag match
882152,Will Snowflake (SNOW) beat quarterly earnings?,Non-weather keyword/tag match
448037,Hantavirus pandemic in 2026?,Non-weather keyword/tag match
448040,Hantavirus vaccine in 2026? ,Non-weather keyword/tag match
482789,AI data center in space by...?,Non-weather keyword/tag match
488808,Ebola pandemic in 2026?,Non-weather keyword/tag match
511422,Which countries will have an Ebola case in 2026?,Non-weather keyword/tag match
548714,Blue Origin New Glenn launch in 2026?,Non-weather keyword/tag match
844717,Ebola: new country confirmed before October 1?,Non-weather keyword/tag match
904493,Measles cases in U.S. by September 30?,Non-weather keyword/tag match
926181,"Flu Hospitalization Rate Week 34, 2026?",Non-weather keyword/tag match
904357,Measles cases in U.S. by August 31?,Non-weather keyword/tag match
759193,Cyclosporiasis cases in U.S. by August 31?,Non-weather keyword/tag match
885889,"Flu Hospitalization Rate Week 33, 2026?",Non-weather keyword/tag match
849428,"Flu Hospitalization Rate Week 32, 2026?",Non-weather keyword/tag match
776868,Measles cases in U.S. by August 31?,Non-weather keyword/tag match
816184,"Flu Hospitalization Rate Week 31, 2026?",Non-weather keyword/tag match
778726,"Flu Hospitalization Rate Week 30, 2026?",Non-weather keyword/tag match
547946,What caused the Blue Origin New Glenn Explosion?,Non-weather keyword/tag match
704854,Cyclosporiasis cases in U.S. by July 31?,Non-weather keyword/tag match
654056,Measles cases in U.S. by July 31?,Non-weather keyword/tag match
745621,"Flu Hospitalization Rate Week 29, 2026?",Non-weather keyword/tag match
799554,ITF Chacabuco: Luna Maria Cinalli vs Fernanda Rain,Non-weather keyword/tag match
637646,Nick Fuentes and Sophie Rain confirmed relationship by September 30?,Non-weather keyword/tag match
836203,ITF W15 Campos do Jordao Women: Fernanda Rain Contreras vs Victoria Luiza Barros,Non-weather keyword/tag match
868213,ITF W15 Campos do Jordão 2 Women: Fernanda Rain Contreras vs Lara Isabella Kralus,Non-weather keyword/tag match
829041,ITF W15 Campos do Jordao Women: Fernanda Rain Contreras vs Sofia Merlos Cardoso,Non-weather keyword/tag match
960789,PPA - Mixed Doubles: Rachel Rohrabacher / Christian Alshon vs Tyra Hurricane Black / Gabriel Tardio,Non-weather keyword/tag match
955490,PPA - Mixed Doubles: Tyra Hurricane Black / Gabriel Tardio vs Dekel Bar / Jessie Irvine,Non-weather keyword/tag match
951244,PPA - Women's Doubles: Tyra Hurricane Black / Jorja Johnson vs Mehvish Safdar / Helena Jansen,Non-weather keyword/tag match
951220,PPA - Mixed Doubles: Tyra Hurricane Black / Gabriel Tardio vs Isabella Dunlap / Nicolas Acevedo,Non-weather keyword/tag match
948190,PPA - Mixed Doubles: Tyra Hurricane Black / Gabriel Tardio vs Ashley Griffith / George Rangelov,Non-weather keyword/tag match
974641,PPA - Women's Doubles: Anna Bright / Anna Leigh Waters vs Tyra Hurricane Black / Jorja Johnson,Non-weather keyword/tag match
967538,PPA - Women's Doubles: Tyra Hurricane Black / Jorja Johnson vs Kate Fahey / Lea Jansen,Non-weather keyword/tag match
962108,PPA - Women's Doubles: Tyra Hurricane Black / Jorja Johnson vs Etta Tuionetoa / Meghan Dizon,Non-weather keyword/tag match
957061,PPA - Women's Doubles: Tyra Hurricane Black / Jorja Johnson vs Callie Smith / Cailyn Campbell,Non-weather keyword/tag match
926251,Predators vs. Hurricanes,Non-weather keyword/tag match
916104,Panthers vs. Hurricanes,Non-weather keyword/tag match
904584,Hurricanes vs. Panthers,Non-weather keyword/tag match
910591,Top End T20 Series: ACT Comets vs Hobart Hurricanes Academy,Non-weather keyword/tag match
910599,Top End T20 Series: Hobart Hurricanes Academy vs New Zealand A,Non-weather keyword/tag match
904829,Top End T20 Series: Adelaide Strikers Academy vs Hobart Hurricanes Academy,Non-weather keyword/tag match
910749,KCC T20 Summer League: Salwa Boys vs Cochin Hurricanes,Non-weather keyword/tag match
954384,KCC T20 Summer League: Reddy's XI vs Cochin Hurricanes,Non-weather keyword/tag match
