 KAUS    NBM V5.0 NBP GUIDANCE    9/17/2026  0100 UTC
        FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    23  35| 47  59| 71  83| 95 107|119 131|143 155|167 179|191 203|215 227
 TXNMN  99  73| 99  70| 99  72| 99  74| 98  73| 98  73| 98  73| 98  73| 96  73
 TXNSD   2   2|  1   3|  2   2|  2   2|  4   2|  3   3|  3   3|  3   4|  5   4
 TXNP1  97  71| 97  66| 97  69| 97  71| 93  71| 94  70| 96  70| 92  68| 88  68
 TXNP2  98  72| 98  68| 98  71| 98  72| 97  72| 97  71| 97  72| 97  71| 96  71
 TXNP5  99  73| 99  71| 99  72| 99  74| 99  73| 99  73| 99  73| 99  73| 98  73
 TXNP7 100  74|100  73| 99  74|100  75|100  75|100  75|100  75|100  75|100  75
 TXNP9 100  75|100  74|101  75|101  76|101  76|101  77|101  77|101  77|101  77
 WSPP1   6   0|  6   0|  6   0|  5   0|  3   0|  4   0|  6   0|  6   0|  5   0
 WSPP2   8   0|  7   0|  7   0|  6   0|  6   0|  6   0|  7   0|  7   0|  6   0
 WSPP5  10   0|  8   0|  9   0|  8   0|  7   0|  8   0|  8   0|  9   3|  8   3
 WSPP7  12   0| 10   0| 10   3|  9   3|  9   3|  9   3| 10   5| 10   6| 10   5
 WSPP9  13   2| 10   0| 11   4| 11   4| 10   4| 11   5| 12   7| 12   8| 12   8
 W24P1  12    | 10    | 10    | 10    |  9    |  8    |  9    | 10    | 10
 W24P2  13    | 11    | 11    | 11    | 10    | 10    | 10    | 11    | 11
 W24P5  15    | 12    | 12    | 13    | 11    | 12    | 12    | 13    | 13
 W24P7  16    | 13    | 15    | 14    | 13    | 13    | 14    | 15    | 15
 W24P9  17    | 15    | 17    | 15    | 15    | 15    | 16    | 17    | 17
 G24P1  19    | 16    | 16    | 17    | 14    | 12    | 14    | 14    | 15
 G24P2  21    | 18    | 18    | 19    | 17    | 16    | 17    | 18    | 18
 G24P5  23    | 20    | 20    | 21    | 19    | 19    | 20    | 21    | 21
 G24P7  25    | 22    | 24    | 23    | 22    | 22    | 23    | 24    | 25
 G24P9  28    | 25    | 26    | 24    | 24    | 24    | 25    | 27    | 27
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P9      11|      0|      0|      0|     41|     16|     17|     34|     21
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 016 019|013 015|009 012|007 011|008 012|010 013|010 013|010 013|011 013
 SLPP2 017 019|014 016|010 013|008 012|009 013|011 015|012 015|012 015|012 015
 SLPP5 017 020|014 016|010 013|009 013|010 014|011 016|013 017|014 016|013 016
 SLPP7 018 020|015 016|011 014|010 014|011 015|012 017|014 018|015 017|015 017
 SLPP9 019 021|015 017|012 014|010 014|012 015|014 018|016 019|016 019|016 018
