 KHOU    NBM V5.0 NBP GUIDANCE    9/17/2026  0100 UTC
        FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    23  35| 47  59| 71  83| 95 107|119 131|143 155|167 179|191 203|215 227
 TXNMN  92  78| 93  76| 93  77| 93  78| 93  78| 93  79| 93  79| 92  78| 92  78
 TXNSD   2   2|  1   2|  2   2|  2   2|  3   2|  3   2|  3   2|  4   3|  4   3
 TXNP1  90  76| 91  73| 91  75| 91  76| 90  76| 90  76| 89  76| 87  75| 86  75
 TXNP2  90  77| 92  75| 92  76| 92  77| 92  77| 91  77| 91  78| 90  77| 90  77
 TXNP5  91  79| 93  77| 93  78| 94  78| 93  78| 93  79| 93  79| 93  79| 92  79
 TXNP7  93  80| 94  78| 94  79| 95  79| 95  79| 96  80| 95  80| 95  81| 95  81
 TXNP9  94  80| 95  79| 95  80| 96  80| 97  80| 97  81| 97  81| 96  81| 96  81
 WSPP1   5   5|  7   0|  6   0|  6   0|  4   0|  4   0|  5   3|  4   4|  5   3
 WSPP2   7   6|  8   3|  8   0|  8   0|  6   0|  5   4|  7   5|  6   6|  6   5
 WSPP5   8   6|  9   5|  9   1|  9   0|  7   4|  7   5|  8   7|  8   7|  7   7
 WSPP7   9   7| 10   6| 10   4| 10   4|  9   5|  9   6|  9   8|  9   9|  9   9
 WSPP9  10   8| 10   7| 11   5| 11   5| 10   6| 10   8| 10  10| 11  10| 11  11
 W24P1  14    | 12    | 12    | 11    |  9    | 10    | 10    | 11    | 10
 W24P2  15    | 13    | 13    | 12    | 10    | 11    | 12    | 13    | 12
 W24P5  16    | 14    | 14    | 13    | 12    | 12    | 13    | 14    | 14
 W24P7  17    | 15    | 15    | 15    | 13    | 13    | 15    | 16    | 16
 W24P9  18    | 16    | 16    | 16    | 14    | 15    | 17    | 17    | 17
 G24P1  20    | 17    | 15    | 15    | 12    | 12    | 14    | 14    | 14
 G24P2  21    | 18    | 18    | 17    | 14    | 14    | 17    | 17    | 17
 G24P5  23    | 20    | 19    | 19    | 17    | 18    | 19    | 21    | 21
 G24P7  26    | 22    | 22    | 22    | 19    | 20    | 23    | 25    | 25
 G24P9  28    | 24    | 24    | 24    | 22    | 22    | 26    | 28    | 29
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       4|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7      40|      0|      0|      0|      0|      1|      0|      0|      0
 Q24P9     110|      0|      0|     11|     24|     29|     35|     43|     35
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 018 018|015 014|011 012|009 010|009 011|010 012|011 012|011 013|011 012
 SLPP2 018 019|016 015|012 012|010 012|010 013|012 014|013 014|012 014|012 014
 SLPP5 019 019|016 016|012 013|011 013|011 014|013 015|014 016|014 015|014 015
 SLPP7 019 019|016 016|013 014|012 013|012 014|013 016|015 017|015 016|015 016
 SLPP9 020 020|017 016|014 014|012 014|013 015|014 017|016 018|016 018|016 017
