 KMIA    NBM V5.0 NBP GUIDANCE    9/17/2026  0100 UTC
        FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    23  35| 47  59| 71  83| 95 107|119 131|143 155|167 179|191 203|215 227
 TXNMN  89  78| 89  78| 89  76| 89  77| 89  79| 90  77| 90  79| 89  77| 89  77
 TXNSD   2   1|  1   3|  1   1|  2   2|  2   3|  2   1|  2   3|  2   2|  2   2
 TXNP1  87  76| 88  75| 88  74| 87  74| 87  75| 88  76| 87  76| 87  76| 87  76
 TXNP2  88  77| 88  76| 88  75| 88  76| 88  76| 89  77| 89  77| 88  76| 88  76
 TXNP5  89  78| 90  77| 90  76| 90  77| 90  77| 90  78| 90  78| 90  77| 90  77
 TXNP7  90  78| 90  79| 90  77| 90  78| 90  81| 91  79| 91  81| 90  79| 90  79
 TXNP9  91  80| 91  83| 91  78| 91  78| 91  83| 91  79| 91  83| 91  79| 91  79
 WSPP1   5   3|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 WSPP2   6   4|  0   2|  0   0|  0   0|  0   0|  0   0|  3   4|  1   3|  3   3
 WSPP5   8   5|  4   4|  3   3|  4   4|  4   3|  4   4|  5   5|  5   5|  5   5
 WSPP7   9   7|  6   6|  5   5|  5   6|  6   5|  6   6|  7   7|  7   7|  7   7
 WSPP9  10   8|  7   6|  7   7|  7   8|  7   7|  8   8|  9   9| 11  10| 10   9
 W24P1  13    | 10    |  8    |  8    |  9    |  9    |  8    |  9    |  9
 W24P2  14    | 10    |  9    |  9    | 10    | 10    | 10    | 10    | 10
 W24P5  15    | 11    | 10    | 11    | 12    | 11    | 11    | 11    | 12
 W24P7  17    | 13    | 12    | 12    | 13    | 13    | 14    | 14    | 14
 W24P9  17    | 14    | 14    | 14    | 15    | 15    | 15    | 17    | 18
 G24P1  23    | 16    | 14    | 15    | 15    | 16    | 14    | 16    | 16
 G24P2  24    | 18    | 16    | 17    | 17    | 18    | 17    | 18    | 18
 G24P5  26    | 20    | 18    | 19    | 21    | 21    | 20    | 20    | 21
 G24P7  29    | 23    | 21    | 21    | 23    | 24    | 24    | 25    | 24
 G24P9  31    | 25    | 24    | 24    | 27    | 26    | 27    | 30    | 31
 Q24P1       0|      3|      4|      4|      2|      0|      0|      6|      2
 Q24P2       6|     11|     18|     38|     26|     10|     15|     17|     12
 Q24P5      34|     29|     36|     67|     58|     40|     51|     46|     39
 Q24P7      72|     61|     75|    103|     98|     83|     96|    114|     79
 Q24P9      98|    103|    106|    142|    141|    121|    156|    197|    172
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 015 015|013 013|011 011|010 011|010 012|012 012|011 011|010 010|010 010
 SLPP2 016 016|014 013|012 012|011 012|012 013|013 013|012 012|012 012|011 012
 SLPP5 016 016|014 014|013 013|012 013|012 014|014 015|014 014|013 013|013 013
 SLPP7 016 016|015 014|013 014|013 014|013 015|015 016|015 015|014 015|014 014
 SLPP9 017 017|015 015|014 014|013 014|014 015|015 016|016 016|015 015|015 016
