 KBKF    NBM V5.0 NBP GUIDANCE    9/17/2026  0700 UTC
        FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  84  58| 85  54| 81  51| 75  49| 76  52| 79  52| 82  53| 83  54| 83  54
 TXNSD   3   3|  2   2|  3   3|  5   3|  5   3|  6   4|  4   4|  5   4|  5   4
 TXNP1  79  55| 83  52| 76  47| 69  45| 70  47| 70  46| 74  46| 73  47| 78  47
 TXNP2  83  56| 84  53| 78  49| 72  47| 72  49| 74  51| 81  52| 82  53| 82  53
 TXNP5  85  58| 85  54| 81  51| 74  49| 76  52| 81  54| 83  54| 84  55| 84  55
 TXNP7  86  60| 86  55| 83  53| 79  52| 81  54| 83  55| 84  56| 86  57| 86  57
 TXNP9  88  61| 87  56| 85  55| 82  53| 83  55| 84  57| 86  58| 87  58| 88  58
 WSPP1   0   0|  0   2|  3   0|  4   0|  5   3|  3   2|  4   3|  3   3|  4   3
 WSPP2   5   3|  4   3|  5   2|  6   0|  7   4|  5   4|  6   4|  5   4|  6   4
 WSPP5   7   4|  7   4|  8   4|  8   3|  9   6|  8   6|  9   5|  8   6|  9   6
 WSPP7  11   5| 10   6| 10   5|  9   4| 10   8| 10   7| 11   8| 11   8| 12   8
 WSPP9  13   6| 13   8| 12   7| 11   5| 12  11| 13  10| 15  10| 14  10| 16  12
 W24P1  11    | 10    | 12    | 11    | 12    | 11    | 12    | 11    | 12
 W24P2  12    | 12    | 13    | 12    | 13    | 14    | 13    | 13    | 14
 W24P5  14    | 14    | 14    | 13    | 14    | 16    | 16    | 15    | 16
 W24P7  17    | 15    | 16    | 15    | 17    | 19    | 18    | 18    | 19
 W24P9  19    | 17    | 18    | 18    | 20    | 22    | 22    | 21    | 22
 G24P1  16    | 15    | 17    | 17    | 17    | 17    | 17    | 17    | 18
 G24P2  18    | 17    | 19    | 18    | 19    | 21    | 20    | 19    | 21
 G24P5  20    | 20    | 21    | 20    | 22    | 24    | 24    | 22    | 24
 G24P7  25    | 23    | 24    | 22    | 26    | 29    | 27    | 27    | 31
 G24P9  28    | 26    | 26    | 26    | 31    | 33    | 34    | 32    | 35
 Q24P1       0|      6|      3|      0|      0|      0|      0|      0|      0
 Q24P2       0|     16|     16|      0|      0|      0|      0|      0|      0
 Q24P5       2|     40|     39|      5|      0|      3|      0|      0|      0
 Q24P7      16|     51|     64|     22|      3|     10|      0|      0|      0
 Q24P9      53|     86|    105|     59|     13|     27|     25|     17|      6
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 012 015|010 013|009 014|011 016|010 015|009 014|010 015|010 012|006 010
 SLPP2 013 016|012 014|010 015|012 018|012 016|011 016|012 016|012 015|010 014
 SLPP5 014 016|013 014|011 016|013 019|014 018|013 018|014 019|015 019|014 017
 SLPP7 015 018|014 016|012 018|015 020|016 020|015 021|018 022|019 022|017 020
 SLPP9 016 018|015 016|014 020|017 022|018 022|017 025|021 027|022 027|021 023
