 KORD    NBM V5.0 NBP GUIDANCE    9/17/2026  0700 UTC
        FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  78  65| 73  63| 78  64| 70  58| 65  56| 65  56| 70  58| 74  60| 75  60
 TXNSD   3   3|  2   3|  6   4|  4   3|  4   3|  4   4|  5   4|  5   5|  5   5
 TXNP1  75  60| 70  59| 70  59| 66  55| 61  53| 61  53| 64  53| 65  54| 67  54
 TXNP2  76  63| 72  62| 73  62| 68  56| 63  54| 63  54| 66  55| 73  57| 73  57
 TXNP5  78  65| 73  63| 79  64| 69  57| 64  55| 64  55| 68  57| 74  60| 76  60
 TXNP7  80  67| 75  65| 84  66| 71  60| 66  57| 66  58| 74  61| 77  63| 78  63
 TXNP9  82  68| 76  67| 86  68| 74  62| 70  60| 71  61| 78  63| 80  65| 81  65
 WSPP1   5   6|  7   7|  3   4|  9   7|  9   6|  7   3|  4   1|  4   0|  4   0
 WSPP2   7   7|  8   8|  5   6| 11   9| 10   8|  8   5|  7   4|  5   4|  5   3
 WSPP5   8   8| 10   9|  7   8| 12  10| 13  10| 10   7|  8   5|  7   5|  7   5
 WSPP7  10   9| 10  10|  9  10| 14  12| 15  11| 12   8|  9   7|  8   7|  8   7
 WSPP9  11  10| 12  12| 11  12| 16  13| 17  13| 13  10| 11   9| 10   8| 10   9
 W24P1  10    | 12    | 13    | 15    | 15    | 12    |  8    |  8    |  8
 W24P2  11    | 13    | 14    | 16    | 16    | 14    | 10    |  9    | 10
 W24P5  12    | 14    | 15    | 18    | 18    | 17    | 12    | 11    | 11
 W24P7  13    | 16    | 17    | 19    | 20    | 19    | 15    | 14    | 14
 W24P9  15    | 17    | 18    | 21    | 21    | 21    | 17    | 16    | 17
 G24P1  12    | 17    | 18    | 22    | 22    | 17    | 10    |  9    | 10
 G24P2  14    | 19    | 20    | 25    | 24    | 20    | 13    | 12    | 11
 G24P5  17    | 21    | 24    | 28    | 27    | 24    | 17    | 16    | 15
 G24P7  20    | 24    | 26    | 31    | 32    | 31    | 22    | 20    | 20
 G24P9  22    | 26    | 30    | 35    | 36    | 35    | 28    | 24    | 25
 Q24P1       0|      0|     28|      0|      0|      0|      0|      0|      0
 Q24P2      12|      1|    105|      0|      0|      0|      0|      0|      0
 Q24P5      30|     10|    198|     34|     14|      0|      0|      0|      0
 Q24P7      59|     27|    254|     85|     56|      0|      0|      0|      0
 Q24P9      88|     88|    296|    188|    157|     16|      0|     30|     40
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 022 023|018 012|008 010|011 012|013 015|016 018|018 018|016 018|016 016
 SLPP2 022 024|019 014|009 011|014 015|015 018|018 021|020 021|020 019|018 019
 SLPP5 023 024|020 015|010 012|015 017|019 021|021 023|023 023|022 023|022 022
 SLPP7 024 025|021 017|012 015|017 020|021 023|024 026|025 026|025 026|024 024
 SLPP9 024 026|022 019|013 016|018 022|022 026|026 027|026 028|026 029|026 026
