 KSEA    NBM V5.0 NBP GUIDANCE    9/17/2026  0700 UTC
        FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  75  55| 73  53| 72  54| 72  53| 71  55| 68  53| 67  52| 69  53| 67  53
 TXNSD   2   2|  3   1|  3   1|  3   1|  3   1|  3   1|  3   3|  6   4|  6   4
 TXNP1  73  52| 70  51| 69  52| 68  51| 68  53| 65  51| 63  48| 62  47| 61  47
 TXNP2  74  53| 72  52| 70  53| 69  52| 70  54| 66  52| 64  51| 64  52| 64  52
 TXNP5  75  55| 73  54| 72  54| 72  54| 72  55| 68  53| 66  52| 67  53| 66  53
 TXNP7  77  56| 75  54| 74  54| 74  54| 73  56| 70  54| 69  54| 72  55| 70  55
 TXNP9  78  56| 77  55| 75  55| 77  55| 74  56| 71  55| 71  54| 78  56| 75  56
 WSPP1   5   5|  3   0|  0   0|  5   0|  0   0|  3   0|  3   0|  0   0|  3   0
 WSPP2   5   6|  4   3|  1   0|  5   0|  3   2|  4   3|  5   0|  4   2|  4   3
 WSPP5   6   6|  4   4|  3   4|  6   2|  5   4|  6   5|  8   5|  6   4|  7   5
 WSPP7   6   7|  6   4|  4   5|  7   4|  7   6|  8   6|  9   6|  8   6|  8   6
 WSPP9   7   8|  7   5|  6   5|  8   5|  8   7| 10   8| 10   8|  9   7| 10   9
 W24P1   7    |  8    |  6    |  7    |  6    |  8    |  8    |  7    |  7
 W24P2   8    |  8    |  7    |  8    |  8    |  9    |  9    |  8    |  8
 W24P5   9    |  9    |  8    |  9    |  9    | 10    | 11    | 10    | 10
 W24P7  10    | 10    |  8    | 10    | 10    | 12    | 13    | 12    | 12
 W24P9  11    | 11    |  9    | 11    | 12    | 14    | 15    | 13    | 14
 G24P1   8    |  8    |  6    |  6    |  6    |  9    |  9    |  7    |  8
 G24P2   9    | 10    |  7    |  8    |  8    | 11    | 11    | 10    | 10
 G24P5  10    | 11    |  8    | 10    | 10    | 13    | 14    | 13    | 13
 G24P7  12    | 13    | 10    | 11    | 13    | 17    | 18    | 16    | 16
 G24P9  15    | 14    | 11    | 13    | 20    | 22    | 22    | 19    | 19
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P9       0|      0|      0|      0|      0|     13|      6|      1|     20
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 014 018|018 019|016 017|014 014|011 013|011 012|011 011|010 011|009 010
 SLPP2 014 019|019 020|017 018|015 016|014 015|013 014|012 013|012 013|012 014
 SLPP5 015 019|020 021|018 018|016 017|016 017|015 016|015 016|014 016|015 017
 SLPP7 016 020|020 021|019 020|018 019|018 020|018 019|017 018|018 019|018 020
 SLPP9 016 020|021 022|020 020|019 020|020 022|020 021|020 022|020 022|020 022
