 KATL    NBM V5.0 NBP GUIDANCE    9/17/2026  1300 UTC
    FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  72| 95  74| 94  73| 90  72| 91  72| 89  71| 83  68| 82  66| 82  66| 82
 TXNSD   2|  1   1|  2   1|  4   1|  2   1|  3   2|  6   4|  6   5|  6   6|  6
 TXNP1  70| 93  73| 92  71| 88  71| 88  70| 85  70| 75  61| 73  58| 74  58| 74
 TXNP2  71| 95  73| 93  72| 89  72| 90  71| 87  70| 79  64| 77  63| 78  61| 78
 TXNP5  72| 95  74| 94  73| 91  72| 91  72| 89  71| 85  70| 84  69| 85  70| 85
 TXNP7  73| 96  75| 95  74| 92  73| 92  72| 90  72| 89  72| 87  71| 87  71| 87
 TXNP9  73| 97  75| 96  74| 94  73| 93  74| 93  73| 90  72| 89  72| 89  72| 89
 WSPP1   0|  0   0|  0   3|  0   0|  0   0|  3   3|  4   5|  3   4|  3   3|  0
 WSPP2   0|  2   2|  3   4|  3   0|  3   3|  4   5|  6   6|  5   6|  4   4|  4
 WSPP5   4|  4   4|  5   5|  4   2|  5   4|  6   8|  9   8|  7   7|  6   6|  6
 WSPP7   5|  5   5|  7   6|  5   4|  6   6|  9  10| 11  11|  9   9|  9   8|  8
 WSPP9   6|  6   6|  9   7|  6   5|  8   8| 11  12| 13  13| 12  11| 11  10|  9
 W24P1    |  7    |  6    |  8    |  7    |  6    |  7    |  9    | 11    | 10
 W24P2    |  8    |  7    |  9    |  8    |  7    |  9    | 12    | 12    | 11
 W24P5    |  9    |  9    | 11    | 10    |  9    | 11    | 16    | 15    | 14
 W24P7    |  9    | 11    | 13    | 11    | 11    | 14    | 19    | 18    | 16
 W24P9    | 10    | 12    | 15    | 12    | 14    | 17    | 21    | 21    | 18
 G24P1    | 10    |  9    | 11    | 11    |  9    | 10    | 14    | 17    | 16
 G24P2    | 11    | 10    | 13    | 13    | 10    | 13    | 20    | 20    | 18
 G24P5    | 13    | 14    | 18    | 16    | 13    | 19    | 26    | 26    | 23
 G24P7    | 14    | 17    | 22    | 18    | 17    | 25    | 32    | 32    | 28
 G24P9    | 16    | 20    | 27    | 21    | 23    | 31    | 37    | 38    | 32
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      8|      2|      5|      0|      0|      0|      0|
 Q24P7    |      0|     18|     10|     21|     12|      0|      0|      0|
 Q24P9    |      4|     37|     28|     50|     38|     16|      0|      2|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 021|016 016|013 015|011 014|012 014|013 016|015 016|014 016|013 013|011
 SLPP2 021|016 016|014 015|012 015|012 016|015 018|016 019|016 018|016 016|013
 SLPP5 022|017 017|014 016|013 016|013 016|016 020|019 020|018 020|017 018|015
 SLPP7 022|017 018|015 017|014 016|014 017|017 021|021 023|020 021|018 021|018
 SLPP9 022|018 018|016 018|015 017|015 018|018 022|022 025|023 024|022 023|020
