 KDAL    NBM V5.0 NBP GUIDANCE    9/17/2026  1300 UTC
    FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  81| 99  79| 99  79| 99  80| 97  78| 96  77| 96  78| 96  77| 95  77| 95
 TXNSD   2|  1   3|  2   3|  2   2|  4   3|  4   4|  4   4|  5   4|  6   5|  6
 TXNP1  79| 98  74| 96  75| 97  77| 91  72| 90  70| 90  72| 88  69| 85  68| 85
 TXNP2  79| 98  77| 98  78| 98  79| 97  77| 95  77| 96  78| 96  78| 89  77| 89
 TXNP5  80| 99  79| 99  79| 99  80| 98  78| 97  79| 98  80| 98  79| 97  79| 97
 TXNP7  82|100  82|100  81|100  82| 99  80| 98  80| 99  81| 99  80| 99  80| 99
 TXNP9  83|100  82|100  82|100  83|100  82|100  81| 99  82| 99  81|100  81|100
 WSPP1   0|  4   3|  6   5|  0   0|  0   0|  0   0|  4   0|  4   0|  0   0|  0
 WSPP2   0|  5   4|  7   6|  5   3|  4   0|  5   3|  6   4|  6   3|  6   4|  5
 WSPP5   0|  7   5|  8   6|  7   5|  6   4|  7   5|  7   5|  8   5|  8   5|  7
 WSPP7   3|  8   6|  9   7|  8   6|  7   6|  8   6|  9   6| 10   6| 10   6|  8
 WSPP9   4|  9   7| 10   8|  9   7|  8   8| 10   8| 10   7| 11   7| 11   7| 10
 W24P1    |  8    |  9    | 10    | 10    |  9    |  8    |  9    |  9    |  9
 W24P2    |  9    | 10    | 10    | 11    |  9    |  9    | 10    | 10    | 10
 W24P5    | 10    | 11    | 11    | 12    | 11    | 11    | 11    | 11    | 11
 W24P7    | 11    | 12    | 13    | 14    | 13    | 12    | 12    | 13    | 13
 W24P9    | 12    | 13    | 14    | 15    | 14    | 14    | 13    | 14    | 15
 G24P1    | 14    | 15    | 17    | 18    | 14    | 13    | 15    | 15    | 15
 G24P2    | 16    | 16    | 18    | 19    | 16    | 16    | 17    | 17    | 18
 G24P5    | 17    | 18    | 20    | 22    | 18    | 18    | 19    | 20    | 20
 G24P7    | 19    | 21    | 23    | 25    | 22    | 21    | 21    | 23    | 22
 G24P9    | 21    | 23    | 26    | 27    | 25    | 23    | 24    | 25    | 26
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|     10|      0|      0|      0|      0|
 Q24P9    |      0|      0|      6|     69|     21|      0|      4|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 019|014 015|009 012|007 012|009 013|011 014|013 015|012 015|012 014|010
 SLPP2 020|014 015|010 012|008 012|010 014|012 016|014 017|014 017|014 015|011
 SLPP5 020|015 016|010 013|009 012|011 015|013 017|015 018|016 018|015 017|013
 SLPP7 020|015 016|011 013|009 013|011 016|014 018|016 019|017 019|017 018|015
 SLPP9 020|016 017|012 014|010 014|012 016|015 019|018 020|018 020|018 020|016
