 KLAX    NBM V5.0 NBP GUIDANCE    9/17/2026  1300 UTC
    FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  65| 74  66| 77  67| 75  66| 74  66| 75  66| 77  67| 79  68| 80  69| 80
 TXNSD   2|  1   2|  2   2|  2   2|  2   2|  2   2|  4   3|  4   3|  5   3|  5
 TXNP1  63| 72  64| 74  65| 72  64| 71  63| 72  64| 72  64| 74  65| 74  65| 74
 TXNP2  64| 73  64| 75  66| 74  65| 72  64| 73  65| 74  66| 76  66| 77  67| 77
 TXNP5  65| 74  66| 77  67| 75  67| 74  65| 75  66| 77  67| 78  68| 79  69| 79
 TXNP7  67| 75  68| 78  69| 77  68| 76  68| 76  68| 80  69| 81  70| 83  71| 83
 TXNP9  68| 76  68| 79  70| 78  69| 77  68| 78  69| 82  70| 84  71| 88  73| 88
 WSPP1   0| 10   3| 10   1|  8   0|  9   0| 10   0| 10   0| 10   0| 10   0|  9
 WSPP2   3| 10   4| 11   3|  9   3| 10   2| 11   0| 10   0| 11   0| 10   3| 10
 WSPP5   4| 11   4| 12   4| 11   4| 12   3| 12   3| 11   3| 12   4| 12   4| 11
 WSPP7   5| 12   5| 13   5| 12   5| 13   4| 13   4| 13   4| 14   5| 13   5| 14
 WSPP9   5| 13   6| 14   5| 13   6| 14   5| 14   5| 14   5| 15   6| 15   6| 15
 W24P1    | 14    | 13    | 13    | 11    | 12    | 13    | 12    | 12    | 12
 W24P2    | 15    | 13    | 13    | 12    | 13    | 13    | 13    | 14    | 13
 W24P5    | 16    | 14    | 14    | 14    | 14    | 15    | 14    | 14    | 14
 W24P7    | 17    | 15    | 15    | 15    | 16    | 16    | 15    | 16    | 16
 W24P9    | 18    | 16    | 16    | 16    | 16    | 17    | 16    | 17    | 17
 G24P1    | 16    | 13    | 14    | 11    | 13    | 13    | 13    | 13    | 13
 G24P2    | 18    | 14    | 15    | 13    | 14    | 15    | 14    | 15    | 15
 G24P5    | 20    | 16    | 16    | 15    | 16    | 17    | 16    | 17    | 17
 G24P7    | 23    | 18    | 19    | 17    | 19    | 20    | 19    | 21    | 20
 G24P9    | 25    | 20    | 21    | 20    | 21    | 22    | 21    | 23    | 23
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 016|013 012|010 011|010 010|009 010|008 008|007 008|007 008|007 008|006
 SLPP2 016|014 013|011 012|011 011|010 011|008 009|009 010|009 010|008 009|007
 SLPP5 016|014 014|011 012|011 012|011 011|010 011|010 012|011 012|010 011|009
 SLPP7 017|015 014|012 013|012 013|012 012|010 012|011 013|012 013|011 012|011
 SLPP9 017|015 014|012 013|012 013|012 012|011 012|013 014|013 014|013 013|012
