 KBKF    NBM V5.0 NBP GUIDANCE    9/17/2026  1900 UTC
    FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  58| 85  54| 80  52| 74  49| 76  52| 79  52| 80  54| 81  55| 82  56| 82
 TXNSD   2|  2   2|  4   3|  4   2|  4   3|  5   3|  4   3|  6   3|  6   3|  6
 TXNP1  55| 82  52| 75  48| 68  46| 72  48| 72  47| 74  49| 71  52| 72  52| 72
 TXNP2  57| 84  53| 77  49| 72  47| 73  51| 75  49| 76  52| 81  54| 81  54| 81
 TXNP5  58| 85  55| 81  52| 74  49| 76  53| 80  52| 81  54| 83  55| 84  56| 84
 TXNP7  59| 86  56| 83  53| 76  51| 80  54| 83  54| 83  56| 86  57| 86  58| 86
 TXNP9  61| 87  57| 85  56| 80  52| 82  56| 85  55| 85  57| 87  58| 88  59| 88
 WSPP1   0|  3   0|  0   0|  5   0|  6   3|  3   2|  3   0|  4   2|  3   3|  3
 WSPP2   3|  5   2|  5   2|  6   0|  7   4|  5   3|  5   3|  6   3|  5   4|  5
 WSPP5   4|  7   4|  7   4|  8   3|  9   6|  7   5|  8   4|  8   5|  8   6|  8
 WSPP7   5| 10   5|  9   5| 10   4| 11   9| 10   6| 10   6| 11   9| 11   7| 10
 WSPP9   6| 14   7| 12   6| 13   6| 14  11| 12   8| 13   8| 14  13| 16  11| 13
 W24P1    | 10    | 11    | 11    | 12    | 12    | 11    | 11    | 11    |
 W24P2    | 12    | 12    | 12    | 13    | 13    | 13    | 12    | 13    |
 W24P5    | 14    | 14    | 14    | 15    | 16    | 14    | 15    | 16    |
 W24P7    | 17    | 16    | 16    | 18    | 18    | 16    | 18    | 19    |
 W24P9    | 19    | 18    | 19    | 20    | 22    | 19    | 21    | 23    |
 G24P1    | 16    | 16    | 16    | 18    | 18    | 17    | 16    | 17    |
 G24P2    | 17    | 19    | 18    | 20    | 20    | 19    | 18    | 19    |
 G24P5    | 20    | 21    | 20    | 23    | 25    | 21    | 22    | 24    |
 G24P7    | 24    | 24    | 23    | 28    | 28    | 25    | 27    | 30    |
 G24P9    | 27    | 27    | 26    | 32    | 32    | 30    | 31    | 34    |
 Q24P1    |      4|      6|      0|      0|      0|      0|      0|      0|
 Q24P2    |     21|     21|      4|      0|      0|      0|      0|      0|
 Q24P5    |     44|     42|     12|      0|      4|      0|      0|      0|
 Q24P7    |     66|     74|     23|      7|     13|      0|      8|      9|
 Q24P9    |     94|    102|     64|     22|     56|     19|     57|     84|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 015|011 012|008 014|011 017|010 014|009 014|010 014|010 014|008 010|004
 SLPP2 016|012 013|010 015|012 018|012 016|011 016|012 016|012 016|011 014|008
 SLPP5 017|014 014|011 016|014 019|014 017|012 018|014 019|015 019|013 016|011
 SLPP7 018|014 015|012 018|015 021|015 019|014 019|017 022|018 021|016 019|014
 SLPP9 018|015 016|013 018|016 022|016 021|016 021|020 025|022 027|020 023|018
