 KLGA    NBM V5.0 NBP GUIDANCE    9/17/2026  1900 UTC
    FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  72| 82  66| 72  66| 71  65| 69  62| 65  58| 65  58| 67  59| 70  61| 70
 TXNSD   1|  1   2|  3   3|  4   3|  3   4|  4   4|  3   5|  5   5|  6   5|  6
 TXNP1  71| 80  64| 68  61| 66  59| 65  57| 60  54| 60  53| 61  54| 63  55| 63
 TXNP2  72| 81  66| 70  64| 68  64| 67  59| 63  55| 62  55| 63  55| 66  57| 66
 TXNP5  73| 82  67| 72  66| 70  66| 69  64| 65  57| 65  57| 66  57| 73  63| 73
 TXNP7  73| 83  68| 74  67| 73  68| 72  65| 67  59| 67  60| 70  64| 75  65| 75
 TXNP9  73| 84  68| 75  68| 76  69| 74  66| 70  64| 69  65| 74  66| 76  66| 76
 WSPP1   6|  7   8|  7   6|  5   8|  7  10| 10  11|  9   7|  4   4|  3   5|  3
 WSPP2   6|  8   9|  8   7|  7  10|  8  11| 12  13| 11  10|  7   7|  5   7|  5
 WSPP5   7|  9  10|  9   8|  9  12| 10  13| 14  14| 13  12|  9   9|  8   9|  9
 WSPP7   8| 10  11| 10  10| 12  13| 12  14| 17  16| 17  14| 13  11| 12  11| 11
 WSPP9   9| 11  12| 10  11| 13  14| 14  16| 18  17| 19  17| 17  16| 17  15| 14
 W24P1    | 13    | 12    | 11    | 14    | 16    | 17    | 13    | 10    |
 W24P2    | 14    | 13    | 13    | 16    | 19    | 19    | 15    | 12    |
 W24P5    | 15    | 14    | 17    | 18    | 20    | 22    | 18    | 14    |
 W24P7    | 17    | 15    | 18    | 20    | 23    | 24    | 22    | 19    |
 W24P9    | 17    | 17    | 20    | 22    | 24    | 26    | 25    | 25    |
 G24P1    | 19    | 18    | 16    | 22    | 25    | 28    | 20    | 15    |
 G24P2    | 21    | 20    | 20    | 25    | 30    | 31    | 23    | 19    |
 G24P5    | 23    | 22    | 27    | 29    | 32    | 36    | 29    | 23    |
 G24P7    | 25    | 24    | 30    | 32    | 37    | 40    | 36    | 31    |
 G24P9    | 28    | 27    | 34    | 36    | 40    | 44    | 42    | 40    |
 Q24P1    |      0|      0|     10|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|     50|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|    127|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|    217|     35|     28|     10|      7|      0|
 Q24P9    |      0|      0|    248|    121|    153|    129|     63|     56|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 017|018 021|019 014|010 015|017 018|018 020|020 018|017 016|015 014|012
 SLPP2 018|019 022|020 016|013 016|018 020|024 026|026 023|021 020|018 017|014
 SLPP5 018|020 023|021 019|015 018|020 024|027 030|030 029|025 023|022 022|020
 SLPP7 019|020 024|022 021|017 020|022 026|029 033|032 031|028 027|026 025|023
 SLPP9 019|021 024|024 023|018 021|023 028|031 034|034 034|032 031|028 028|026
