 KORD    NBM V5.0 NBP GUIDANCE    9/17/2026  1900 UTC
    FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  64| 71  63| 74  64| 68  58| 63  55| 62  55| 65  55| 69  57| 71  57| 71
 TXNSD   3|  2   3|  6   3|  4   2|  3   3|  4   3|  4   4|  5   4|  5   5|  5
 TXNP1  60| 69  59| 67  59| 65  55| 59  52| 59  51| 61  51| 63  52| 64  52| 64
 TXNP2  62| 70  60| 69  62| 66  56| 61  54| 60  53| 63  53| 64  54| 69  55| 69
 TXNP5  65| 71  63| 73  65| 68  58| 63  55| 62  55| 64  55| 69  56| 71  56| 71
 TXNP7  67| 73  64| 80  66| 69  60| 64  57| 63  57| 67  58| 72  60| 73  59| 73
 TXNP9  68| 73  66| 83  68| 74  61| 66  61| 66  59| 71  60| 76  64| 77  64| 77
 WSPP1   6|  7   7|  3   5| 10   8| 10   7|  8   4|  4   0|  4   0|  3   0|  4
 WSPP2   7|  8   9|  5   6| 11  10| 12   9|  9   6|  6   3|  6   4|  5   3|  5
 WSPP5   7|  9   9|  7   8| 13  11| 13  10| 10   7|  8   5|  7   6|  7   5|  7
 WSPP7   9| 10  10|  9  10| 14  12| 15  12| 12   9| 10   7|  8   7|  9   7|  9
 WSPP9  10| 11  12| 10  11| 16  14| 16  14| 14  10| 11   9| 10   8| 10   8| 10
 W24P1    | 12    | 12    | 15    | 15    | 14    |  9    |  7    |  9    |
 W24P2    | 13    | 13    | 16    | 17    | 16    | 11    | 10    | 10    |
 W24P5    | 14    | 15    | 18    | 19    | 17    | 13    | 12    | 12    |
 W24P7    | 15    | 16    | 19    | 20    | 19    | 16    | 14    | 14    |
 W24P9    | 16    | 17    | 21    | 23    | 21    | 18    | 16    | 16    |
 G24P1    | 17    | 18    | 23    | 23    | 19    | 11    |  9    | 10    |
 G24P2    | 18    | 20    | 25    | 26    | 23    | 14    | 12    | 13    |
 G24P5    | 21    | 23    | 28    | 29    | 27    | 19    | 17    | 17    |
 G24P7    | 23    | 25    | 31    | 33    | 31    | 24    | 22    | 21    |
 G24P9    | 25    | 28    | 36    | 38    | 37    | 29    | 25    | 25    |
 Q24P1    |      0|     63|      0|      0|      0|      0|      0|      0|
 Q24P2    |     15|    166|      0|      0|      0|      0|      0|      0|
 Q24P5    |     31|    257|     80|     48|      0|      0|      0|      0|
 Q24P7    |     68|    289|    134|     98|      2|      0|      0|      0|
 Q24P9    |    154|    316|    247|    224|     34|      2|      5|      5|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 023|019 013|008 010|011 013|014 016|017 019|019 020|019 019|016 017|014
 SLPP2 024|020 014|010 012|014 016|016 019|020 022|022 023|021 021|019 019|016
 SLPP5 024|021 016|011 013|016 018|018 022|022 025|024 025|023 024|022 021|018
 SLPP7 025|022 018|013 014|017 020|021 024|025 027|026 027|025 026|024 024|021
 SLPP9 025|023 020|014 016|018 021|022 026|026 030|028 029|027 028|026 027|023
