 KSFO    NBM V5.0 NBP GUIDANCE    9/17/2026  1900 UTC
    FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  59| 72  59| 75  59| 69  59| 71  59| 75  59| 80  60| 78  60| 76  60| 76
 TXNSD   1|  2   1|  3   1|  3   1|  3   1|  4   2|  6   3|  7   4|  7   3|  7
 TXNP1  57| 70  58| 71  58| 66  57| 68  57| 70  57| 72  57| 69  56| 67  56| 67
 TXNP2  58| 71  58| 73  58| 68  58| 69  58| 72  58| 75  58| 73  58| 72  58| 72
 TXNP5  59| 73  59| 75  59| 69  59| 70  59| 74  59| 81  59| 78  60| 75  59| 75
 TXNP7  59| 74  59| 77  59| 70  60| 72  60| 78  60| 86  61| 84  62| 80  61| 80
 TXNP9  60| 74  60| 79  60| 72  60| 75  60| 82  61| 87  65| 87  65| 86  64| 86
 WSPP1   0| 14   3| 14   6| 11   5| 10   3| 10   0|  9   0| 10   0|  9   0| 10
 WSPP2   3| 15   5| 16   7| 12   6| 12   4| 12   0| 11   0| 11   3| 11   3| 12
 WSPP5   4| 17   6| 17   9| 15   7| 14   5| 13   4| 13   3| 14   5| 14   6| 15
 WSPP7   5| 18   7| 19  10| 18   9| 16   7| 16   6| 15   6| 17   7| 18   9| 20
 WSPP9   7| 20   8| 20  11| 20  11| 18   7| 18   9| 18  10| 19  11| 23  13| 24
 W24P1    | 18    | 19    | 17    | 17    | 16    | 15    | 15    | 15    |
 W24P2    | 20    | 20    | 18    | 18    | 17    | 16    | 17    | 16    |
 W24P5    | 21    | 21    | 20    | 19    | 18    | 17    | 19    | 18    |
 W24P7    | 22    | 22    | 22    | 21    | 20    | 19    | 21    | 23    |
 W24P9    | 24    | 24    | 24    | 22    | 23    | 23    | 24    | 27    |
 G24P1    | 20    | 21    | 17    | 17    | 16    | 14    | 15    | 14    |
 G24P2    | 22    | 22    | 20    | 19    | 17    | 16    | 17    | 17    |
 G24P5    | 25    | 25    | 23    | 22    | 19    | 19    | 22    | 21    |
 G24P7    | 27    | 27    | 27    | 25    | 24    | 21    | 26    | 31    |
 G24P9    | 30    | 31    | 30    | 27    | 28    | 28    | 33    | 38    |
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 019|016 015|012 012|011 011|010 010|009 009|009 009|009 010|010 009|009
 SLPP2 019|017 016|013 013|012 012|011 011|010 010|010 011|012 012|011 012|010
 SLPP5 020|017 016|014 014|013 013|012 012|011 011|012 013|013 014|013 013|013
 SLPP7 020|018 017|014 014|014 014|013 013|012 012|013 014|014 015|014 015|015
 SLPP9 020|018 018|015 015|014 014|014 014|012 013|014 015|016 016|016 017|016
