 KATL    NBM V5.0 NBP GUIDANCE    9/18/2026  0100 UTC
        SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    23  35| 47  59| 71  83| 95 107|119 131|143 155|167 179|191 203|215 227
 TXNMN  95  74| 94  73| 90  72| 91  72| 89  72| 85  68| 83  66| 82  65| 81  65
 TXNSD   2   1|  2   1|  2   1|  3   1|  3   2|  5   4|  6   5|  6   5|  6   5
 TXNP1  93  73| 92  72| 87  71| 88  71| 86  70| 76  62| 75  59| 73  59| 74  59
 TXNP2  95  73| 93  72| 88  71| 89  71| 88  71| 82  65| 79  63| 78  61| 77  61
 TXNP5  95  74| 94  73| 89  72| 90  72| 90  72| 87  70| 86  66| 85  64| 80  64
 TXNP7  96  75| 95  74| 91  73| 92  73| 91  72| 89  72| 88  70| 87  70| 86  70
 TXNP9  97  76| 96  74| 92  74| 94  74| 92  73| 90  73| 89  72| 89  72| 88  72
 WSPP1   0   0|  2   4|  0   0|  0   0|  3   3|  3   4|  3   4|  4   3|  3   3
 WSPP2   2   3|  3   5|  3   0|  3   1|  4   5|  6   6|  5   5|  5   5|  5   5
 WSPP5   3   5|  5   6|  4   2|  5   4|  5   6|  7   7|  7   7|  7   6|  7   7
 WSPP7   5   5|  7   7|  6   4|  6   6|  7   8| 10   9|  9   8|  9   8|  9   8
 WSPP9   6   6|  9   8|  7   5|  7   7|  9  10| 11  11| 11  10| 12  10| 10  10
 W24P1   6    |  8    |  7    |  6    |  7    |  9    | 10    | 10    | 10
 W24P2   7    | 10    |  9    |  8    |  8    | 11    | 11    | 12    | 11
 W24P5   9    | 11    | 10    |  9    | 11    | 14    | 14    | 13    | 13
 W24P7  10    | 13    | 11    | 10    | 13    | 16    | 16    | 16    | 15
 W24P9  11    | 15    | 12    | 13    | 15    | 18    | 18    | 19    | 18
 G24P1   9    | 13    | 11    |  9    | 10    | 15    | 16    | 15    | 15
 G24P2  10    | 15    | 13    | 11    | 13    | 19    | 19    | 19    | 18
 G24P5  13    | 18    | 15    | 14    | 17    | 24    | 24    | 23    | 22
 G24P7  16    | 23    | 18    | 17    | 23    | 28    | 28    | 28    | 26
 G24P9  18    | 26    | 21    | 21    | 26    | 33    | 30    | 32    | 33
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      2|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|     14|      0|      3|      3|      0|      0|      0|      0
 Q24P7      18|     24|     10|     17|     22|      0|      0|      0|      0
 Q24P9     243|     48|     49|     52|     65|     21|      0|      0|      0
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 016 016|013 015|012 014|012 014|012 016|015 018|015 016|013 014|012 013
 SLPP2 016 016|013 016|012 014|012 015|014 018|016 019|016 018|015 017|014 015
 SLPP5 016 017|014 016|013 015|013 016|015 019|018 021|018 020|017 018|015 017
 SLPP7 017 017|015 017|014 016|014 017|016 021|020 023|021 022|018 020|017 019
 SLPP9 018 018|015 017|015 017|015 018|017 022|022 024|022 024|021 022|019 022
