 KDAL    NBM V5.0 NBP GUIDANCE    9/18/2026  0100 UTC
        SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    23  35| 47  59| 71  83| 95 107|119 131|143 155|167 179|191 203|215 227
 TXNMN  99  79| 99  79| 99  79| 97  78| 93  75| 93  75| 94  75| 91  73| 91  73
 TXNSD   1   3|  1   2|  2   3|  4   3|  5   5|  5   5|  5   5|  7   6|  7   6
 TXNP1  98  74| 97  77| 97  77| 90  72| 86  68| 85  68| 87  67| 83  64| 82  64
 TXNP2  99  78| 98  78| 99  79| 96  77| 90  71| 90  70| 90  70| 87  68| 85  68
 TXNP5  99  79| 99  79|100  80| 98  78| 96  77| 93  77| 96  78| 90  77| 89  77
 TXNP7 100  81|100  81|100  81|100  80| 97  79| 97  79| 98  79| 97  79| 97  79
 TXNP9 100  82|100  81|100  82|100  81| 99  81| 99  81| 99  80| 99  80| 99  80
 WSPP1   4   3|  6   5|  0   0|  0   0|  4   4|  5   3|  4   3|  5   3|  0   1
 WSPP2   6   5|  7   6|  4   3|  0   3|  6   5|  6   5|  7   4|  7   4|  5   4
 WSPP5   7   5|  8   6|  6   5|  5   6|  8   6|  8   6|  8   5|  8   5|  7   5
 WSPP7   8   6|  9   7|  7   6|  7   7|  9   7|  9   7|  9   7| 10   6|  8   6
 WSPP9   9   7| 10   8|  8   7|  8   9| 10   8| 10   7| 10   8| 10   7|  9   7
 W24P1   9    | 10    | 10    |  9    |  9    |  9    |  9    |  9    |  9
 W24P2   9    | 11    | 11    |  9    | 10    | 10    | 10    | 10    | 10
 W24P5  10    | 11    | 12    | 11    | 12    | 12    | 12    | 11    | 11
 W24P7  12    | 13    | 13    | 12    | 14    | 13    | 13    | 13    | 12
 W24P9  13    | 14    | 15    | 13    | 15    | 13    | 14    | 14    | 14
 G24P1  15    | 17    | 18    | 14    | 15    | 16    | 15    | 15    | 14
 G24P2  16    | 18    | 19    | 17    | 18    | 18    | 18    | 17    | 17
 G24P5  18    | 20    | 22    | 20    | 21    | 20    | 20    | 19    | 19
 G24P7  21    | 23    | 25    | 23    | 24    | 22    | 22    | 23    | 22
 G24P9  23    | 25    | 27    | 25    | 26    | 23    | 24    | 25    | 25
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      0|      0|      8|      0|      0|      0|      0|      0
 Q24P9       0|      0|     14|     32|     24|      3|      0|      5|      4
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 014 015|009 012|007 011|008 013|011 015|014 016|014 016|013 014|009 009
 SLPP2 014 016|010 012|008 012|009 014|012 016|014 018|015 018|014 016|012 012
 SLPP5 015 016|011 013|009 012|010 014|013 017|016 019|017 019|016 017|014 014
 SLPP7 015 016|011 013|010 013|012 016|014 018|016 020|018 021|018 020|015 017
 SLPP9 016 017|012 014|010 014|012 017|015 020|018 022|019 022|020 022|018 019
