 KMIA    NBM V5.0 NBP GUIDANCE    9/18/2026  0100 UTC
        SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    23  35| 47  59| 71  83| 95 107|119 131|143 155|167 179|191 203|215 227
 TXNMN  88  76| 88  76| 89  76| 89  78| 89  79| 88  77| 89  77| 89  77| 88  77
 TXNSD   2   1|  2   2|  2   2|  2   3|  2   3|  3   1|  2   1|  2   1|  2   1
 TXNP1  87  74| 87  73| 87  73| 86  75| 87  76| 84  75| 85  76| 87  75| 85  75
 TXNP2  88  76| 88  75| 88  75| 88  76| 88  77| 87  76| 88  77| 88  76| 88  76
 TXNP5  89  77| 89  76| 89  76| 89  77| 89  78| 89  77| 89  77| 89  77| 89  77
 TXNP7  89  77| 90  77| 90  77| 90  82| 91  81| 90  78| 90  78| 90  78| 90  78
 TXNP9  90  78| 90  78| 91  78| 91  83| 91  83| 91  79| 91  79| 91  79| 91  79
 WSPP1   0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 WSPP2   0   0|  0   0|  0   0|  0   0|  0   0|  0   3|  0   3|  0   3|  0   3
 WSPP5   4   3|  3   1|  3   3|  4   3|  4   4|  5   5|  5   5|  3   5|  5   6
 WSPP7   6   5|  5   4|  5   5|  6   6|  6   6|  7   7|  6   7|  6   7|  8   9
 WSPP9   7   7|  6   7|  7   9|  8   9|  8   7|  8   9|  8   9|  9  10| 11  12
 W24P1   9    |  7    |  8    |  8    |  8    |  8    |  9    |  8    |  8
 W24P2  10    |  8    |  9    | 10    | 10    | 10    | 10    |  9    |  9
 W24P5  11    | 10    | 10    | 11    | 11    | 11    | 11    | 11    | 11
 W24P7  13    | 11    | 12    | 14    | 14    | 13    | 13    | 13    | 14
 W24P9  15    | 13    | 14    | 15    | 16    | 15    | 15    | 15    | 18
 G24P1  15    | 13    | 14    | 15    | 15    | 15    | 15    | 15    | 14
 G24P2  17    | 15    | 16    | 17    | 18    | 17    | 17    | 16    | 16
 G24P5  19    | 17    | 18    | 21    | 20    | 20    | 20    | 19    | 20
 G24P7  23    | 20    | 21    | 24    | 24    | 24    | 24    | 23    | 26
 G24P9  26    | 22    | 25    | 27    | 28    | 26    | 27    | 27    | 31
 Q24P1       2|      9|     18|     13|      2|      1|      0|      0|      0
 Q24P2      10|     27|     44|     32|     19|     22|     12|      7|      6
 Q24P5      42|     45|     81|     48|     49|     56|     30|     35|     30
 Q24P7      90|     94|    101|     81|     88|    100|     98|     76|     77
 Q24P9     138|    137|    127|     99|    131|    170|    164|    124|    131
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 014 012|011 011|010 011|010 012|011 012|012 012|011 010|009 008|007 007
 SLPP2 014 013|012 012|011 012|011 012|012 014|013 013|012 012|011 011|010 010
 SLPP5 014 014|013 013|012 013|012 013|013 015|014 014|014 014|013 012|012 012
 SLPP7 015 014|013 013|012 013|013 014|014 016|015 015|015 015|014 014|013 013
 SLPP9 015 015|014 014|013 014|014 015|015 016|016 016|015 016|015 015|014 014
