 KORD    NBM V5.0 NBP GUIDANCE    9/18/2026  0100 UTC
        SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    23  35| 47  59| 71  83| 95 107|119 131|143 155|167 179|191 203|215 227
 TXNMN  71  62| 73  64| 67  57| 62  55| 61  55| 63  54| 67  56| 70  57| 71  57
 TXNSD   2   3|  7   3|  3   2|  2   3|  3   3|  3   4|  4   4|  4   4|  5   4
 TXNP1  69  57| 65  58| 63  55| 59  51| 59  51| 59  50| 62  52| 64  51| 64  51
 TXNP2  70  61| 68  62| 65  55| 60  53| 59  53| 61  52| 63  53| 65  53| 69  53
 TXNP5  71  63| 72  64| 67  57| 62  55| 61  54| 63  54| 66  56| 71  57| 71  57
 TXNP7  72  64| 79  66| 68  59| 64  56| 63  56| 66  57| 71  58| 73  59| 74  59
 TXNP9  73  65| 83  67| 70  60| 65  59| 65  59| 67  59| 73  62| 75  62| 77  62
 WSPP1   7   8|  3   5| 10   9| 10   8|  8   4|  5   3|  4   1|  3   0|  4   0
 WSPP2   8   9|  5   7| 12  10| 12   9| 10   6|  7   5|  5   4|  5   3|  5   3
 WSPP5   9  10|  7   8| 13  11| 14  10| 11   8|  9   6|  7   6|  7   5|  6   5
 WSPP7  10  10|  8  10| 15  13| 15  12| 12   9| 10   8|  9   7|  9   7|  8   7
 WSPP9  11  13| 10  12| 16  15| 17  13| 14  11| 12  10| 11   9| 10   8| 10   8
 W24P1  12    | 13    | 16    | 17    | 14    |  9    |  8    |  8    |  8
 W24P2  13    | 14    | 17    | 18    | 16    | 11    | 10    | 10    |  9
 W24P5  14    | 15    | 18    | 19    | 18    | 14    | 13    | 12    | 11
 W24P7  15    | 16    | 20    | 21    | 20    | 16    | 15    | 15    | 14
 W24P9  16    | 18    | 22    | 23    | 21    | 19    | 16    | 16    | 16
 G24P1  17    | 18    | 24    | 25    | 19    | 12    |  9    |  9    |  9
 G24P2  19    | 20    | 26    | 27    | 23    | 15    | 12    | 12    | 12
 G24P5  21    | 23    | 28    | 31    | 27    | 21    | 18    | 18    | 16
 G24P7  23    | 26    | 32    | 34    | 32    | 25    | 23    | 23    | 21
 G24P9  25    | 29    | 37    | 40    | 36    | 31    | 26    | 26    | 26
 Q24P1       1|     80|      0|      0|      0|      0|      0|      0|      0
 Q24P2      19|    182|      0|      0|      0|      0|      0|      0|      0
 Q24P5      46|    225|     95|     11|      0|      0|      0|      0|      0
 Q24P7      62|    273|    171|     51|      1|      0|      0|      0|      0
 Q24P9     144|    302|    255|    226|     24|      0|      4|      0|     13
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 020 014|010 010|012 014|013 015|016 017|018 020|020 021|017 017|014 013
 SLPP2 021 016|011 012|014 016|016 018|019 021|022 023|021 023|021 020|017 016
 SLPP5 021 018|013 013|016 018|019 021|022 024|024 025|024 025|023 023|019 018
 SLPP7 022 019|013 015|018 020|021 024|025 028|027 028|026 027|025 026|022 023
 SLPP9 023 020|014 016|019 021|022 026|027 030|029 030|028 030|027 028|025 025
