 KSFO    NBM V5.0 NBP GUIDANCE    9/18/2026  0100 UTC
        SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    23  35| 47  59| 71  83| 95 107|119 131|143 155|167 179|191 203|215 227
 TXNMN  72  58| 74  59| 69  59| 71  59| 75  59| 80  60| 80  61| 77  60| 75  60
 TXNSD   2   1|  3   1|  3   1|  3   1|  4   2|  6   3|  7   3|  7   3|  6   3
 TXNP1  70  58| 70  57| 66  57| 68  57| 70  57| 72  57| 71  56| 69  56| 68  56
 TXNP2  71  58| 72  58| 68  57| 69  58| 72  58| 76  58| 75  58| 73  57| 71  57
 TXNP5  72  59| 74  59| 69  59| 70  59| 73  59| 81  59| 80  60| 77  59| 74  59
 TXNP7  73  59| 77  59| 71  60| 72  59| 78  60| 85  61| 85  63| 81  62| 77  62
 TXNP9  74  59| 79  60| 72  60| 75  60| 82  62| 87  65| 87  65| 86  65| 85  65
 WSPP1  14   3| 14   6| 10   5| 11   3| 11   0|  9   0| 10   0| 10   0| 10   0
 WSPP2  15   5| 15   7| 11   6| 12   4| 12   0| 10   0| 12   3| 12   4| 12   3
 WSPP5  17   7| 16   9| 14   7| 14   6| 13   4| 12   3| 14   5| 14   6| 15   5
 WSPP7  18   8| 18  10| 17   9| 16   7| 15   6| 14   5| 17   8| 17   8| 18   8
 WSPP9  20   8| 21  11| 19  11| 18   8| 18   8| 17   9| 20  11| 25  12| 21  10
 W24P1  19    | 18    | 17    | 17    | 16    | 14    | 16    | 15    | 16
 W24P2  20    | 19    | 18    | 18    | 17    | 15    | 17    | 17    | 17
 W24P5  21    | 21    | 19    | 19    | 18    | 17    | 18    | 19    | 19
 W24P7  22    | 22    | 21    | 21    | 20    | 19    | 22    | 22    | 23
 W24P9  24    | 24    | 23    | 22    | 22    | 22    | 24    | 28    | 26
 G24P1  21    | 20    | 17    | 18    | 16    | 13    | 16    | 14    | 16
 G24P2  23    | 22    | 19    | 19    | 17    | 15    | 17    | 19    | 18
 G24P5  25    | 24    | 22    | 21    | 20    | 18    | 21    | 22    | 23
 G24P7  27    | 27    | 26    | 25    | 23    | 21    | 26    | 28    | 29
 G24P9  31    | 31    | 28    | 27    | 27    | 26    | 31    | 39    | 34
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 017 015|013 013|012 012|011 010|009 009|008 008|009 010|011 011|010 010
 SLPP2 017 016|013 013|013 012|012 011|010 010|010 011|010 012|012 013|012 012
 SLPP5 017 016|013 013|013 013|012 012|011 011|011 012|012 013|013 014|013 013
 SLPP7 018 016|014 014|014 014|013 013|012 012|012 014|014 015|014 016|015 015
 SLPP9 018 017|014 014|014 014|014 014|012 013|013 014|015 016|016 017|017 018
