 KAUS    NBM V5.0 NBP GUIDANCE    9/18/2026  0700 UTC
        SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  99  72| 99  72| 99  74| 99  73| 98  73| 98  73| 97  72| 96  71| 96  71
 TXNSD   2   3|  2   2|  2   2|  2   2|  3   3|  3   3|  4   4|  5   4|  4   4
 TXNP1  97  68| 96  69| 97  70| 96  70| 96  70| 95  70| 91  66| 89  64| 89  64
 TXNP2  98  70| 97  70| 99  72| 98  72| 97  72| 97  72| 95  70| 93  67| 96  67
 TXNP5  99  72| 99  72|100  74| 99  73| 99  73| 98  73| 98  72| 98  72| 98  72
 TXNP7 100  74|100  74|100  75|100  75|100  75|100  75|100  75| 99  75| 99  75
 TXNP9 100  75|101  75|102  76|101  76|101  77|101  77|100  76|101  76|100  76
 WSPP1   6   0|  6   0|  4   0|  4   0|  5   0|  6   0|  5   0|  5   0|  5   0
 WSPP2   7   0|  7   0|  5   0|  6   0|  6   0|  7   0|  7   0|  7   0|  6   0
 WSPP5   8   0|  9   3|  7   0|  7   0|  9   2|  8   3|  9   4|  9   4|  7   3
 WSPP7   9   0| 10   4|  8   3|  8   3| 10   7| 10   5| 10   6| 10   6|  9   5
 WSPP9  11   1| 11   5| 10   4| 10   5| 11   9| 11   7| 13   8| 12   8| 11   7
 W24P1  10    | 10    | 10    |  9    |  8    | 10    | 10    |  9    |  9
 W24P2  11    | 11    | 11    | 10    | 10    | 11    | 12    | 11    | 10
 W24P5  12    | 13    | 12    | 11    | 11    | 13    | 13    | 13    | 12
 W24P7  14    | 15    | 14    | 12    | 14    | 15    | 15    | 15    | 14
 W24P9  16    | 17    | 17    | 14    | 15    | 16    | 17    | 17    | 16
 G24P1  17    | 17    | 17    | 14    | 13    | 15    | 16    | 14    | 15
 G24P2  18    | 18    | 18    | 17    | 16    | 18    | 19    | 18    | 17
 G24P5  20    | 22    | 21    | 19    | 19    | 21    | 22    | 21    | 19
 G24P7  23    | 25    | 24    | 22    | 22    | 24    | 24    | 24    | 22
 G24P9  26    | 27    | 27    | 23    | 24    | 26    | 28    | 28    | 26
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P9       0|      0|      0|     29|     32|      1|      0|      0|      0
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 013 015|009 012|007 011|008 013|010 014|012 015|012 015|011 013|008 009
 SLPP2 014 016|010 013|008 012|009 013|010 015|013 016|013 016|013 015|010 012
 SLPP5 014 016|011 013|009 013|010 014|011 016|014 018|015 018|014 016|012 014
 SLPP7 015 016|011 014|010 014|011 015|012 017|015 019|016 019|016 018|014 016
 SLPP9 016 017|012 014|010 014|011 015|013 018|016 020|017 021|018 020|017 018
