 KBKF    NBM V5.0 NBP GUIDANCE    9/18/2026  0700 UTC
        SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  86  54| 80  51| 75  48| 76  51| 82  53| 81  54| 80  54| 83  55| 84  55
 TXNSD   2   2|  4   3|  4   3|  4   3|  4   4|  4   3|  5   4|  5   3|  4   3
 TXNP1  84  51| 75  48| 70  45| 71  47| 75  48| 74  51| 73  51| 73  52| 81  52
 TXNP2  85  52| 77  49| 72  47| 73  50| 81  52| 80  52| 80  52| 82  53| 84  53
 TXNP5  86  54| 80  51| 74  48| 76  51| 83  54| 82  54| 82  54| 84  55| 85  55
 TXNP7  87  55| 83  52| 77  50| 80  53| 84  56| 84  56| 83  56| 86  57| 87  57
 TXNP9  88  57| 84  55| 81  51| 81  54| 85  57| 85  57| 85  58| 87  59| 88  59
 WSPP1   0   0|  1   0|  5   0|  6   3|  5   3|  4   0|  4   3|  3   3|  3   4
 WSPP2   4   3|  5   1|  6   1|  8   5|  6   4|  5   3|  6   4|  7   5|  6   5
 WSPP5   7   4|  7   4|  8   3|  9   7|  9   5|  7   4|  7   6|  9   6|  8   6
 WSPP7  11   5|  9   6| 10   5| 11   8| 11   6|  9   6| 10   8| 12   8| 10   8
 WSPP9  14   7| 11   7| 12   6| 13  10| 15   9| 11   7| 12  12| 16  10| 14  10
 W24P1  10    | 11    | 10    | 12    | 14    | 11    | 11    | 13    | 12
 W24P2  12    | 13    | 12    | 13    | 15    | 13    | 13    | 14    | 13
 W24P5  14    | 15    | 14    | 15    | 17    | 15    | 14    | 16    | 15
 W24P7  16    | 16    | 16    | 17    | 20    | 17    | 17    | 19    | 18
 W24P9  19    | 18    | 19    | 19    | 22    | 20    | 20    | 23    | 21
 G24P1  16    | 17    | 16    | 18    | 21    | 17    | 17    | 18    | 18
 G24P2  18    | 19    | 17    | 20    | 23    | 20    | 19    | 21    | 20
 G24P5  21    | 21    | 19    | 23    | 26    | 23    | 22    | 25    | 23
 G24P7  24    | 24    | 23    | 27    | 29    | 27    | 26    | 30    | 27
 G24P9  27    | 27    | 26    | 31    | 33    | 29    | 31    | 34    | 31
 Q24P1      10|      2|      0|      0|      0|      0|      0|      0|      0
 Q24P2      24|      7|      0|      0|      0|      0|      0|      0|      0
 Q24P5      41|     31|      6|      0|      0|      0|      0|      0|      0
 Q24P7      62|     57|     20|      2|      5|      0|      7|      2|      5
 Q24P9     134|    106|     50|     13|     21|     16|     33|     34|     27
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 012 013|008 014|011 017|010 015|010 015|010 015|012 014|008 009|004 006
 SLPP2 012 014|009 015|012 018|012 016|011 017|013 019|014 017|012 014|007 011
 SLPP5 013 014|011 016|014 019|014 017|013 018|015 021|017 021|015 017|011 014
 SLPP7 014 015|012 017|015 020|015 019|014 020|018 024|020 023|018 021|015 018
 SLPP9 015 016|013 018|017 021|016 020|016 022|019 026|024 026|022 023|020 022
