 KHOU    NBM V5.0 NBP GUIDANCE    9/18/2026  0700 UTC
        SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  92  76| 92  76| 93  78| 94  78| 95  79| 94  79| 92  77| 91  76| 91  76
 TXNSD   1   2|  2   2|  1   1|  2   1|  2   2|  3   3|  4   3|  4   4|  4   4
 TXNP1  91  73| 90  74| 92  76| 91  76| 92  77| 91  76| 87  72| 85  71| 86  71
 TXNP2  91  75| 92  75| 93  77| 92  77| 93  78| 92  77| 91  75| 88  74| 89  74
 TXNP5  92  76| 93  76| 93  78| 94  78| 95  79| 95  79| 93  78| 93  77| 92  77
 TXNP7  93  77| 93  78| 95  79| 95  79| 96  80| 96  81| 95  80| 95  79| 94  79
 TXNP9  94  78| 94  79| 95  80| 96  80| 97  82| 97  82| 96  81| 96  81| 96  81
 WSPP1   6   0|  7   0|  7   0|  4   0|  3   0|  5   4|  6   6|  5   4|  5   3
 WSPP2   7   3|  8   0|  8   0|  6   0|  4   4|  6   6|  7   7|  6   6|  6   4
 WSPP5   8   4|  9   1|  9   0|  7   4|  6   5|  7   8|  8   8|  8   7|  8   6
 WSPP7   9   6| 10   4| 10   3|  8   5|  8   7|  9   9| 10   9| 10   9| 10   8
 WSPP9  10   7| 10   5| 10   4|  9   6|  9   9| 10  11| 11  10| 11  10| 10  10
 W24P1  11    | 11    | 11    |  9    |  8    | 10    | 12    | 11    | 10
 W24P2  12    | 12    | 12    | 10    |  9    | 11    | 12    | 13    | 12
 W24P5  13    | 13    | 13    | 11    | 11    | 13    | 14    | 14    | 13
 W24P7  14    | 14    | 14    | 13    | 12    | 14    | 16    | 15    | 15
 W24P9  15    | 15    | 15    | 14    | 14    | 16    | 17    | 17    | 16
 G24P1  16    | 15    | 16    | 11    | 11    | 13    | 17    | 17    | 16
 G24P2  17    | 17    | 17    | 13    | 12    | 16    | 18    | 19    | 18
 G24P5  18    | 18    | 19    | 16    | 15    | 19    | 22    | 22    | 21
 G24P7  20    | 20    | 21    | 18    | 18    | 21    | 25    | 24    | 24
 G24P9  22    | 23    | 23    | 20    | 20    | 25    | 29    | 28    | 26
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P9       0|     14|      1|     26|     10|      6|      0|      0|      0
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 015 014|011 012|010 011|010 012|010 014|012 014|012 014|011 012|008 008
 SLPP2 016 015|012 013|010 012|010 013|011 015|014 016|014 015|013 014|010 011
 SLPP5 016 016|013 013|011 013|011 013|012 015|015 017|015 017|014 016|013 013
 SLPP7 016 016|013 014|011 013|012 014|013 016|015 018|017 018|016 017|015 015
 SLPP9 017 017|014 014|012 014|012 015|014 017|017 018|017 019|018 019|016 017
