 KLAX    NBM V5.0 NBP GUIDANCE    9/18/2026  0700 UTC
        SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  74  66| 77  67| 75  66| 74  66| 74  66| 79  68| 80  69| 81  70| 83  70
 TXNSD   1   2|  2   1|  2   2|  2   2|  2   2|  4   2|  4   2|  5   3|  5   3
 TXNP1  73  64| 74  65| 73  64| 71  64| 72  64| 74  66| 75  66| 76  67| 76  67
 TXNP2  74  65| 75  66| 74  65| 72  64| 73  65| 76  67| 77  67| 77  68| 79  68
 TXNP5  74  66| 77  67| 75  66| 73  66| 74  66| 78  68| 79  69| 81  70| 82  70
 TXNP7  75  67| 79  68| 77  68| 76  68| 75  68| 80  69| 82  70| 84  71| 87  71
 TXNP9  76  68| 79  69| 78  69| 77  68| 76  68| 83  70| 86  71| 88  74| 90  74
 WSPP1  10   3| 11   2|  8   0| 10   0| 11   0| 10   0| 10   0|  9   0|  9   0
 WSPP2  11   4| 11   3| 10   3| 10   3| 12   0| 10   0| 11   2| 11   3| 10   2
 WSPP5  12   5| 12   4| 11   4| 11   4| 13   3| 12   3| 12   4| 12   4| 11   4
 WSPP7  13   6| 13   5| 12   5| 12   4| 14   4| 13   4| 14   5| 14   5| 13   5
 WSPP9  14   6| 14   5| 14   6| 14   5| 15   5| 14   5| 15   6| 16   6| 15   6
 W24P1  13    | 13    | 12    | 12    | 13    | 12    | 12    | 12    | 12
 W24P2  14    | 14    | 13    | 13    | 14    | 13    | 13    | 14    | 13
 W24P5  15    | 14    | 14    | 14    | 15    | 14    | 15    | 15    | 14
 W24P7  16    | 15    | 15    | 15    | 17    | 15    | 16    | 17    | 16
 W24P9  17    | 16    | 17    | 16    | 17    | 17    | 18    | 18    | 17
 G24P1  15    | 14    | 13    | 13    | 14    | 13    | 13    | 13    | 13
 G24P2  16    | 15    | 14    | 14    | 16    | 14    | 15    | 16    | 16
 G24P5  17    | 17    | 16    | 16    | 19    | 17    | 18    | 19    | 18
 G24P7  19    | 19    | 19    | 19    | 22    | 19    | 21    | 22    | 21
 G24P9  22    | 21    | 21    | 21    | 24    | 22    | 24    | 25    | 26
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 013 013|010 011|010 010|009 009|008 008|007 007|007 009|008 008|007 008
 SLPP2 014 013|011 012|011 011|010 011|009 009|009 010|009 011|010 011|008 009
 SLPP5 014 014|011 012|011 012|011 011|009 010|010 012|011 012|011 012|010 010
 SLPP7 015 014|012 013|012 013|012 012|010 011|011 013|012 013|012 013|012 012
 SLPP9 015 015|012 013|012 013|012 012|011 012|012 014|013 014|013 014|013 014
