 KLGA    NBM V5.0 NBP GUIDANCE    9/18/2026  0700 UTC
        SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  82  64| 72  64| 71  64| 69  60| 64  57| 65  58| 66  59| 70  60| 72  60
 TXNSD   1   3|  3   3|  4   3|  4   3|  4   3|  4   4|  5   4|  5   4|  5   4
 TXNP1  80  61| 68  61| 65  59| 63  56| 59  53| 60  54| 60  53| 64  55| 65  55
 TXNP2  81  63| 70  63| 69  63| 66  58| 61  55| 62  55| 63  55| 66  56| 68  56
 TXNP5  82  65| 73  65| 72  64| 69  59| 64  57| 65  57| 65  58| 69  59| 74  59
 TXNP7  83  66| 74  66| 74  67| 73  63| 67  59| 68  60| 68  62| 74  63| 76  63
 TXNP9  84  67| 75  67| 76  68| 74  64| 68  62| 70  63| 72  64| 76  64| 77  64
 WSPP1   7   9|  6   6|  6   8|  8  11| 11  11| 10   9|  5   6|  3   5|  3   5
 WSPP2   7  10|  7   7|  8  10|  9  12| 13  13| 12  10|  9   8|  5   7|  6   7
 WSPP5   9  10|  9   8|  9  12| 12  14| 15  15| 15  13| 10  10|  9   9|  9   9
 WSPP7  10  11| 10   9| 11  14| 13  16| 17  17| 18  16| 16  12| 12  13| 13  11
 WSPP9  12  12| 10  12| 13  16| 15  18| 20  19| 20  19| 19  17| 16  16| 16  13
 W24P1  12    | 12    | 11    | 15    | 18    | 18    | 13    | 11    | 10
 W24P2  14    | 13    | 13    | 17    | 19    | 20    | 16    | 13    | 13
 W24P5  15    | 14    | 15    | 18    | 21    | 23    | 20    | 16    | 16
 W24P7  17    | 16    | 18    | 20    | 24    | 25    | 24    | 20    | 20
 W24P9  18    | 17    | 20    | 22    | 26    | 28    | 28    | 25    | 24
 G24P1  18    | 18    | 17    | 25    | 27    | 27    | 20    | 16    | 16
 G24P2  22    | 20    | 21    | 27    | 30    | 31    | 25    | 21    | 20
 G24P5  24    | 22    | 24    | 30    | 34    | 38    | 32    | 26    | 25
 G24P7  27    | 25    | 29    | 33    | 39    | 42    | 41    | 33    | 32
 G24P9  29    | 26    | 33    | 36    | 43    | 46    | 47    | 43    | 40
 Q24P1       0|      0|     29|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|     67|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|    165|      0|      0|      0|      0|      0|      0
 Q24P7       0|      0|    256|     91|     88|    113|     88|      3|      0
 Q24P9       0|      1|    270|    145|    158|    259|    308|     65|     76
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 017 021|020 016|010 015|017 020|022 022|024 020|018 015|012 011|009 010
 SLPP2 018 022|021 018|013 017|019 022|024 027|026 024|021 019|016 016|014 014
 SLPP5 018 022|021 019|015 018|020 024|026 030|030 029|025 022|020 020|019 018
 SLPP7 019 023|022 021|017 020|022 026|028 032|032 032|028 026|023 023|021 022
 SLPP9 020 024|023 022|019 021|023 028|030 033|034 034|031 028|025 025|024 026
