 KSEA    NBM V5.0 NBP GUIDANCE    9/18/2026  0700 UTC
        SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  73  53| 73  54| 72  53| 71  54| 68  53| 68  53| 70  54| 67  52| 66  52
 TXNSD   2   1|  4   1|  3   1|  3   1|  3   2|  3   2|  6   3|  7   4|  5   4
 TXNP1  71  51| 69  52| 68  52| 68  53| 65  51| 64  51| 62  51| 61  46| 61  46
 TXNP2  72  52| 70  53| 70  53| 69  53| 67  52| 66  52| 65  53| 62  50| 62  50
 TXNP5  73  54| 73  54| 72  54| 71  54| 69  53| 68  53| 70  54| 64  52| 64  52
 TXNP7  75  54| 75  54| 75  54| 73  55| 70  54| 70  54| 76  56| 73  54| 68  54
 TXNP9  77  55| 77  55| 77  54| 74  56| 71  55| 72  55| 78  57| 78  57| 73  57
 WSPP1   3   0|  0   0|  4   0|  0   0|  0   0|  1   0|  3   0|  3   0|  1   0
 WSPP2   3   2|  0   0|  5   0|  3   0|  3   0|  4   3|  5   3|  5   3|  5   3
 WSPP5   4   3|  3   3|  6   3|  5   3|  5   4|  6   5|  7   6|  8   5|  7   5
 WSPP7   5   4|  4   4|  8   4|  7   5|  7   5|  7   6|  9   7|  9   7|  9   6
 WSPP9   6   5|  6   5|  9   5|  8   6|  8   6|  9   8| 10   8| 10   8| 10   8
 W24P1   7    |  6    |  7    |  6    |  6    |  7    |  8    |  8    |  8
 W24P2   8    |  7    |  8    |  7    |  7    |  8    |  9    | 10    |  9
 W24P5   9    |  8    |  8    |  8    |  9    |  9    | 11    | 12    | 11
 W24P7  10    |  8    | 10    | 10    | 10    | 11    | 12    | 13    | 12
 W24P9  10    |  9    | 11    | 11    | 11    | 12    | 15    | 15    | 14
 G24P1   7    |  6    |  7    |  5    |  6    |  7    |  9    | 10    |  9
 G24P2   9    |  7    |  8    |  7    |  7    |  9    | 10    | 12    | 11
 G24P5  11    |  8    |  9    |  9    | 10    | 11    | 14    | 16    | 14
 G24P7  12    | 10    | 11    | 13    | 12    | 14    | 18    | 18    | 17
 G24P9  13    | 10    | 13    | 15    | 15    | 16    | 23    | 24    | 22
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      0|      0|      0|      0|      0|      2|      5|      0
 Q24P9       0|      0|      0|      0|      0|      0|     21|     21|     12
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 019 020|016 017|014 014|013 014|012 013|011 011|009 009|009 012|010 011
 SLPP2 019 020|017 017|014 015|015 016|014 016|014 013|010 012|012 014|012 014
 SLPP5 020 021|017 018|015 017|016 017|016 018|016 015|014 015|015 016|016 017
 SLPP7 020 021|018 019|016 018|017 019|018 020|018 018|016 018|017 020|019 019
 SLPP9 021 022|019 019|017 019|018 020|020 022|020 021|020 020|020 022|020 021
