 KDAL    NBM V5.0 NBP GUIDANCE    9/18/2026  1300 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  79| 99  79| 99  78| 96  77| 93  75| 93  75| 94  75| 93  75| 93  75| 93
 TXNSD   3|  1   2|  2   3|  4   4|  5   5|  5   5|  5   5|  5   6|  7   6|  7
 TXNP1  74| 97  77| 97  73| 90  71| 87  68| 87  67| 87  68| 86  66| 84  66| 84
 TXNP2  78| 98  78| 98  77| 96  75| 90  71| 90  71| 90  71| 88  70| 87  70| 87
 TXNP5  79| 99  79| 99  79| 98  78| 94  77| 96  78| 96  78| 96  78| 96  78| 96
 TXNP7  81|100  81|100  81| 99  79| 98  79| 97  80| 98  79| 97  79| 98  80| 98
 TXNP9  82|100  82|101  82|100  81| 99  81| 99  81| 99  81| 99  81|100  81|100
 WSPP1   4|  6   5|  0   0|  0   0|  5   3|  5   3|  4   3|  4   1|  3   0|  0
 WSPP2   5|  8   6|  5   0|  3   4|  6   5|  7   5|  7   4|  6   4|  5   4|  5
 WSPP5   6|  9   7|  7   4|  5   6|  8   6|  8   5|  8   5|  8   5|  7   5|  7
 WSPP7   7|  9   8|  8   6|  7   7|  9   7|  9   6|  9   6|  9   6|  8   6|  8
 WSPP9   7| 10   8|  9   7|  8   9| 10   8| 10   8| 10   8| 10   7| 10   8| 10
 W24P1    |  9    | 10    | 10    |  9    | 10    |  9    |  9    |  9    |  9
 W24P2    | 10    | 11    | 12    | 10    | 11    | 11    | 11    | 11    | 10
 W24P5    | 11    | 12    | 13    | 11    | 12    | 12    | 12    | 12    | 11
 W24P7    | 12    | 13    | 14    | 13    | 13    | 13    | 13    | 13    | 12
 W24P9    | 13    | 14    | 15    | 14    | 14    | 13    | 14    | 14    | 14
 G24P1    | 16    | 17    | 18    | 15    | 16    | 17    | 16    | 16    | 15
 G24P2    | 17    | 19    | 20    | 17    | 18    | 18    | 18    | 19    | 17
 G24P5    | 20    | 21    | 22    | 20    | 21    | 20    | 20    | 20    | 19
 G24P7    | 22    | 24    | 25    | 22    | 22    | 22    | 22    | 23    | 22
 G24P9    | 24    | 25    | 27    | 25    | 25    | 24    | 24    | 25    | 24
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      9|      5|      0|      0|      0|      0|      0|
 Q24P9    |      0|    102|     42|      5|      0|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 015|009 012|007 011|009 014|012 016|014 017|015 017|014 016|012 012|008
 SLPP2 015|010 012|008 012|010 014|013 017|015 018|016 019|016 017|013 014|010
 SLPP5 016|010 012|009 012|010 015|014 018|016 020|017 020|017 019|015 016|012
 SLPP7 016|011 013|009 013|011 017|015 020|018 021|019 021|018 020|017 018|015
 SLPP9 016|011 014|010 014|012 017|016 020|019 022|020 023|020 022|019 020|017
