 KMIA    NBM V5.0 NBP GUIDANCE    9/18/2026  1300 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  78| 89  76| 89  76| 89  77| 90  79| 89  77| 88  78| 89  78| 89  76| 89
 TXNSD   3|  2   2|  2   2|  2   1|  2   3|  3   1|  3   2|  3   3|  3   2|  3
 TXNP1  75| 87  73| 86  74| 86  76| 87  76| 86  75| 84  75| 85  75| 86  73| 86
 TXNP2  76| 88  75| 88  75| 88  77| 89  77| 88  76| 87  77| 88  76| 88  75| 88
 TXNP5  77| 89  76| 89  76| 90  77| 90  78| 89  77| 89  77| 90  77| 90  76| 90
 TXNP7  78| 90  77| 90  77| 90  78| 91  80| 91  78| 90  80| 91  79| 90  77| 90
 TXNP9  82| 91  77| 91  78| 91  79| 92  83| 91  79| 91  82| 91  82| 91  78| 91
 WSPP1   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0
 WSPP2   0|  0   0|  0   0|  2   0|  0   0|  0   3|  0   3|  0   3|  0   4|  3
 WSPP5   4|  3   0|  3   1|  4   3|  4   4|  4   5|  4   5|  4   6|  5   6|  6
 WSPP7   6|  5   4|  5   5|  7   6|  6   6|  7   8|  7   7|  7   8|  7   8|  8
 WSPP9   7|  7   6|  7   6|  8   8|  8   8|  9   9|  9   9|  9  10| 10  10| 11
 W24P1    |  9    |  8    |  8    |  8    |  8    |  8    |  9    |  8    |  8
 W24P2    | 10    |  9    |  9    | 10    | 10    |  9    |  9    |  9    | 10
 W24P5    | 11    | 10    | 10    | 12    | 11    | 11    | 11    | 11    | 12
 W24P7    | 13    | 11    | 12    | 14    | 14    | 13    | 14    | 13    | 15
 W24P9    | 14    | 13    | 13    | 16    | 15    | 16    | 17    | 15    | 17
 G24P1    | 15    | 14    | 14    | 15    | 14    | 14    | 15    | 14    | 15
 G24P2    | 17    | 16    | 16    | 18    | 18    | 17    | 16    | 16    | 17
 G24P5    | 19    | 18    | 18    | 22    | 20    | 19    | 20    | 19    | 21
 G24P7    | 22    | 20    | 21    | 25    | 25    | 24    | 25    | 23    | 25
 G24P9    | 25    | 23    | 23    | 28    | 28    | 28    | 30    | 28    | 29
 Q24P1    |      0|     29|     15|      7|      4|      3|      0|      0|
 Q24P2    |     13|     52|     34|     26|     20|     14|      5|      5|
 Q24P5    |     41|     66|     65|     70|     61|     38|     28|     32|
 Q24P7    |     77|    107|     96|     96|    124|     97|     82|     78|
 Q24P9    |    123|    174|    136|    148|    258|    207|    135|    159|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 013|012 012|010 011|010 012|011 012|011 011|010 011|010 011|010 010|008
 SLPP2 014|012 012|011 012|011 012|012 014|013 013|012 012|012 012|011 011|010
 SLPP5 014|013 013|012 012|012 013|013 015|015 014|014 013|013 013|012 012|011
 SLPP7 014|014 014|012 013|012 014|014 016|015 015|014 014|014 014|013 013|013
 SLPP9 015|014 014|013 014|013 015|015 016|016 016|015 015|014 014|014 014|013
