 KORD    NBM V5.0 NBP GUIDANCE    9/18/2026  1300 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  63| 77  64| 69  58| 64  55| 62  55| 64  55| 68  56| 71  57| 74  59| 74
 TXNSD   2|  7   3|  3   2|  2   2|  3   3|  4   3|  5   4|  5   4|  5   4|  5
 TXNP1  60| 68  61| 66  55| 61  52| 59  51| 61  51| 63  51| 64  52| 68  53| 68
 TXNP2  62| 71  63| 67  56| 62  53| 60  53| 62  53| 64  54| 66  55| 72  56| 72
 TXNP5  63| 76  64| 69  58| 64  55| 62  54| 64  55| 66  56| 72  57| 74  59| 74
 TXNP7  65| 84  66| 71  59| 65  56| 63  56| 65  57| 72  58| 75  59| 76  61| 76
 TXNP9  66| 85  68| 72  60| 67  58| 66  59| 71  59| 74  61| 77  61| 79  64| 79
 WSPP1   6|  3   5| 11   9| 10   8|  8   6|  6   4|  4   1|  4   0|  4   0|  3
 WSPP2   8|  4   7| 13  10| 12   8|  9   6|  7   5|  6   4|  5   3|  5   3|  4
 WSPP5   9|  6   9| 14  11| 13  10| 11   8|  9   6|  8   5|  7   4|  6   5|  6
 WSPP7  10|  7  11| 16  13| 15  11| 13   9| 10   8|  9   7|  8   6|  8   6|  8
 WSPP9  11| 10  13| 17  14| 17  13| 15  10| 11   9| 10   8| 10   7| 10   9| 10
 W24P1    | 12    | 12    | 16    | 16    | 15    | 10    |  9    |  8    |  8
 W24P2    | 13    | 13    | 17    | 17    | 16    | 12    | 11    | 10    |  9
 W24P5    | 14    | 14    | 19    | 19    | 17    | 14    | 12    | 12    | 11
 W24P7    | 15    | 16    | 21    | 20    | 20    | 17    | 14    | 14    | 13
 W24P9    | 16    | 17    | 22    | 23    | 21    | 19    | 17    | 17    | 16
 G24P1    | 17    | 17    | 24    | 24    | 21    | 13    | 10    |  9    |  9
 G24P2    | 18    | 20    | 27    | 27    | 23    | 16    | 14    | 13    | 11
 G24P5    | 21    | 22    | 30    | 29    | 27    | 22    | 17    | 16    | 15
 G24P7    | 23    | 25    | 34    | 32    | 34    | 26    | 22    | 20    | 19
 G24P9    | 25    | 29    | 38    | 39    | 37    | 31    | 26    | 25    | 25
 Q24P1    |    112|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |    150|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |    206|     26|      0|      0|      0|      0|      0|      0|
 Q24P7    |    256|    105|     17|      4|      0|      0|      0|      0|
 Q24P9    |    300|    243|     89|     36|      0|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 014|009 010|013 015|016 017|019 020|020 021|020 020|018 019|017 015|013
 SLPP2 015|011 012|015 017|018 020|021 022|022 024|022 023|022 022|019 019|016
 SLPP5 017|012 013|016 019|020 022|023 024|024 025|024 025|024 024|021 021|019
 SLPP7 018|013 014|017 020|021 024|025 027|026 027|026 028|026 026|024 024|022
 SLPP9 018|014 015|018 021|022 026|026 029|028 030|028 030|027 029|026 026|024
