 KSEA    NBM V5.0 NBP GUIDANCE    9/18/2026  1300 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  54| 73  54| 73  53| 71  54| 69  53| 68  53| 69  54| 66  52| 64  50| 64
 TXNSD   1|  2   1|  3   1|  3   2|  3   2|  3   2|  7   3|  7   4|  4   4|  4
 TXNP1  51| 70  52| 69  52| 68  52| 65  50| 64  51| 61  50| 61  46| 60  45| 60
 TXNP2  52| 71  52| 71  53| 70  53| 67  52| 65  52| 64  52| 62  50| 61  47| 61
 TXNP5  54| 72  54| 73  54| 72  54| 69  53| 68  53| 68  54| 64  52| 64  51| 64
 TXNP7  55| 74  54| 75  54| 73  55| 70  54| 70  54| 76  56| 71  54| 66  53| 66
 TXNP9  55| 76  55| 76  54| 74  56| 71  55| 71  55| 78  57| 76  56| 71  54| 71
 WSPP1   0|  0   0|  5   0|  0   0|  0   0|  0   0|  3   0|  3   0|  4   0|  0
 WSPP2   0|  0   0|  6   0|  3   0|  3   0|  4   0|  4   3|  5   3|  5   3|  4
 WSPP5   3|  3   3|  7   3|  6   3|  5   3|  6   5|  7   5|  8   6|  8   5|  6
 WSPP7   4|  4   4|  8   5|  7   5|  6   5|  8   6|  9   7| 10   7|  9   6|  9
 WSPP9   5|  6   5|  9   5|  9   6|  7   6|  9   7| 10   9| 11  10| 10   8| 10
 W24P1    |  8    |  6    |  8    |  7    |  6    |  7    |  7    |  8    |  8
 W24P2    |  8    |  7    |  9    |  8    |  7    |  8    |  9    | 10    | 10
 W24P5    |  9    |  8    |  9    |  9    |  8    |  9    | 11    | 12    | 12
 W24P7    | 10    |  8    | 10    | 10    | 10    | 11    | 13    | 15    | 14
 W24P9    | 11    |  9    | 11    | 11    | 11    | 12    | 16    | 16    | 15
 G24P1    |  8    |  6    |  8    |  7    |  6    |  7    |  8    | 10    | 10
 G24P2    |  9    |  7    | 10    |  8    |  8    |  9    | 11    | 13    | 12
 G24P5    | 11    |  8    | 11    | 11    | 10    | 11    | 14    | 17    | 16
 G24P7    | 12    | 10    | 13    | 14    | 12    | 14    | 18    | 21    | 19
 G24P9    | 13    | 11    | 15    | 15    | 14    | 16    | 23    | 27    | 25
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|      0|      0|      0|      6|      0|
 Q24P9    |      0|      0|      0|      0|      0|     26|     36|     10|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 020|017 017|014 015|014 014|012 014|012 012|008 010|010 012|010 011|009
 SLPP2 020|017 018|015 016|015 016|014 016|014 014|011 012|013 015|013 014|012
 SLPP5 021|018 018|016 017|016 017|016 018|016 015|013 014|015 018|017 018|016
 SLPP7 021|018 019|016 018|017 018|017 020|018 017|015 017|018 021|019 022|018
 SLPP9 021|018 019|017 018|017 019|018 021|019 020|016 020|021 023|022 023|021
