 KATL    NBM V5.0 NBP GUIDANCE    9/18/2026  1900 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  74| 94  73| 90  73| 91  72| 88  71| 82  67| 81  65| 81  64| 80  64| 80
 TXNSD   1|  1   1|  2   1|  2   1|  4   2|  6   4|  5   4|  6   5|  6   5|  6
 TXNP1  72| 92  72| 88  71| 89  71| 84  70| 75  62| 74  61| 74  57| 73  57| 73
 TXNP2  73| 93  72| 89  72| 90  72| 87  70| 78  64| 77  62| 77  61| 76  60| 76
 TXNP5  74| 94  73| 91  73| 91  72| 88  71| 81  67| 80  64| 81  64| 79  63| 79
 TXNP7  75| 95  73| 92  73| 93  73| 90  72| 87  70| 86  68| 87  70| 85  66| 85
 TXNP9  76| 96  74| 93  74| 93  74| 92  73| 88  71| 87  71| 88  71| 87  71| 87
 WSPP1   0|  0   3|  0   0|  0   0|  3   4|  4   5|  3   4|  3   4|  2   4|  3
 WSPP2   3|  4   4|  3   0|  3   3|  4   6|  6   6|  4   5|  5   5|  5   5|  4
 WSPP5   4|  5   5|  4   0|  4   5|  6   8|  9   8|  7   7|  7   7|  7   6|  6
 WSPP7   5|  7   7|  5   3|  6   6|  9   9| 11   9|  9   8|  9   8|  9   8|  7
 WSPP9   6|  9   7|  7   4|  8   8| 11  11| 12  11| 11  10| 10  10| 10  10| 10
 W24P1    |  8    |  7    |  6    |  8    | 10    | 10    | 10    |  9    |
 W24P2    | 10    |  8    |  7    |  9    | 12    | 12    | 11    | 11    |
 W24P5    | 11    |  9    |  9    | 12    | 15    | 14    | 13    | 13    |
 W24P7    | 13    | 11    | 10    | 15    | 18    | 17    | 15    | 16    |
 W24P9    | 15    | 12    | 13    | 17    | 20    | 18    | 17    | 17    |
 G24P1    | 13    | 11    |  9    | 11    | 16    | 17    | 16    | 15    |
 G24P2    | 15    | 12    | 10    | 15    | 20    | 20    | 19    | 18    |
 G24P5    | 18    | 14    | 13    | 20    | 26    | 24    | 22    | 22    |
 G24P7    | 22    | 18    | 17    | 27    | 31    | 28    | 27    | 27    |
 G24P9    | 25    | 20    | 21    | 31    | 36    | 31    | 29    | 30    |
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      4|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |     20|      0|      9|     17|      0|      0|      0|      0|
 Q24P7    |     56|      7|     31|     46|      6|      0|      0|      0|
 Q24P9    |     89|     24|     65|     86|     34|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 016|013 015|012 013|011 013|012 015|014 016|014 016|014 015|013 013|010
 SLPP2 016|014 016|012 014|012 014|013 016|016 018|016 018|015 017|014 015|013
 SLPP5 017|014 016|013 015|012 015|015 019|018 020|018 019|016 018|015 018|015
 SLPP7 017|015 017|014 015|013 016|016 020|020 022|019 021|018 020|018 020|018
 SLPP9 018|016 017|014 016|014 018|017 022|022 024|022 023|020 022|021 023|021
