 KAUS    NBM V5.0 NBP GUIDANCE    9/18/2026  1900 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  72| 99  72|100  74|100  74| 99  74| 99  74| 98  73| 97  71| 97  72| 97
 TXNSD   3|  2   3|  2   2|  3   3|  3   3|  3   4|  4   4|  4   4|  4   5|  4
 TXNP1  68| 97  69| 98  71| 97  71| 97  71| 97  69| 92  68| 90  65| 90  64| 90
 TXNP2  70| 99  70| 99  73| 99  72| 99  72| 98  72| 97  71| 94  68| 97  70| 97
 TXNP5  72| 99  72|100  74|100  74|100  74| 99  74| 99  73| 98  72| 98  72| 98
 TXNP7  75|100  74|101  76|101  76|101  76|100  76|100  76|100  74|100  75|100
 TXNP9  76|101  76|102  77|102  77|101  78|101  78|101  77|100  76|101  76|101
 WSPP1   0|  7   0|  5   0|  4   0|  6   0|  6   0|  6   0|  6   0|  5   0|  3
 WSPP2   0|  8   0|  6   0|  6   0|  7   0|  7   0|  8   0|  7   0|  6   0|  5
 WSPP5   0|  9   3|  8   0|  7   0|  8   1|  9   3|  9   2|  9   2|  7   3|  6
 WSPP7   0| 10   4|  9   3|  8   3| 10   7| 10   6| 10   5| 10   5|  9   5|  9
 WSPP9   3| 11   6| 10   5| 10   5| 11  10| 12   7| 11   6| 12   8| 11   7| 10
 W24P1    | 10    | 10    | 10    | 10    | 10    | 10    | 10    |  9    |
 W24P2    | 12    | 11    | 10    | 10    | 10    | 11    | 11    | 10    |
 W24P5    | 13    | 12    | 12    | 12    | 13    | 13    | 13    | 12    |
 W24P7    | 15    | 14    | 13    | 14    | 14    | 15    | 14    | 14    |
 W24P9    | 17    | 16    | 16    | 16    | 17    | 17    | 17    | 16    |
 G24P1    | 17    | 17    | 16    | 15    | 14    | 14    | 15    | 14    |
 G24P2    | 20    | 18    | 17    | 17    | 17    | 18    | 18    | 17    |
 G24P5    | 22    | 20    | 19    | 19    | 21    | 21    | 20    | 19    |
 G24P7    | 24    | 23    | 23    | 22    | 24    | 24    | 23    | 23    |
 G24P9    | 27    | 25    | 25    | 26    | 27    | 29    | 27    | 26    |
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P9    |      7|      0|      9|     10|      0|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 015|009 012|007 011|008 013|010 014|013 016|013 016|012 015|010 012|007
 SLPP2 016|010 013|008 012|009 013|011 015|013 017|014 017|014 016|011 013|009
 SLPP5 016|010 013|008 013|009 014|012 016|014 018|015 018|015 017|013 015|011
 SLPP7 016|011 014|009 013|010 015|013 018|015 019|016 020|016 019|015 017|013
 SLPP9 017|012 014|010 014|011 016|013 018|017 020|018 020|018 020|017 019|015
