 KBKF    NBM V5.0 NBP GUIDANCE    9/18/2026  1900 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  54| 78  51| 72  49| 74  51| 78  53| 78  54| 78  54| 81  55| 83  55| 83
 TXNSD   2|  3   3|  4   3|  3   3|  3   3|  4   4|  4   3|  4   3|  4   4|  4
 TXNP1  51| 76  47| 68  45| 70  48| 75  49| 74  49| 72  52| 76  52| 78  52| 78
 TXNP2  52| 76  49| 70  47| 72  50| 76  52| 77  52| 77  53| 79  54| 82  54| 82
 TXNP5  54| 77  50| 72  49| 75  51| 78  54| 79  54| 79  55| 82  56| 84  56| 84
 TXNP7  56| 80  52| 75  50| 77  53| 80  55| 80  56| 81  56| 83  57| 85  58| 85
 TXNP9  57| 82  55| 77  52| 77  54| 82  56| 82  58| 83  57| 84  59| 86  59| 86
 WSPP1   2|  4   0|  4   0|  7   4|  4   3|  3   2|  3   3|  4   4|  1   3|  3
 WSPP2   3|  5   0|  5   0|  8   5|  5   4|  5   3|  5   4|  6   5|  5   5|  5
 WSPP5   4|  8   4|  8   2|  9   7|  9   5|  7   4|  8   6|  9   6|  8   6|  8
 WSPP7   6| 10   5| 11   4| 11   8| 11   7|  9   6| 11   8| 12   8|  9   8| 12
 WSPP9   7| 12   7| 13   5| 12  10| 14  10| 12   8| 14  11| 16  11| 11  10| 14
 W24P1    | 12    | 11    | 12    | 14    | 11    | 11    | 12    | 12    |
 W24P2    | 13    | 13    | 13    | 15    | 13    | 13    | 13    | 13    |
 W24P5    | 14    | 15    | 15    | 17    | 15    | 14    | 16    | 15    |
 W24P7    | 17    | 17    | 17    | 19    | 17    | 18    | 20    | 17    |
 W24P9    | 19    | 19    | 19    | 21    | 21    | 20    | 23    | 20    |
 G24P1    | 17    | 16    | 18    | 21    | 17    | 17    | 18    | 18    |
 G24P2    | 19    | 18    | 20    | 23    | 19    | 19    | 20    | 20    |
 G24P5    | 21    | 21    | 22    | 27    | 22    | 22    | 24    | 23    |
 G24P7    | 24    | 24    | 27    | 29    | 26    | 28    | 30    | 27    |
 G24P9    | 28    | 27    | 30    | 31    | 30    | 32    | 34    | 31    |
 Q24P1    |      6|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |     17|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |     28|      8|      0|      0|      0|      0|      0|      0|
 Q24P7    |     49|     25|      0|      8|      3|      0|      0|      0|
 Q24P9    |     70|     52|      9|     28|     15|     22|     11|     21|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 013|009 014|011 017|011 016|010 015|012 017|013 015|010 011|005 006|002
 SLPP2 014|010 015|012 018|012 017|011 016|014 019|015 018|012 014|008 011|007
 SLPP5 014|011 016|013 019|014 018|013 018|015 021|018 021|016 017|013 015|009
 SLPP7 016|012 017|015 021|016 020|014 020|017 023|020 025|019 021|015 018|013
 SLPP9 016|013 018|016 022|017 021|016 022|019 024|022 027|023 025|018 023|017
