 KLAX    NBM V5.0 NBP GUIDANCE    9/18/2026  1900 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  66| 77  67| 76  67| 75  66| 75  67| 80  68| 81  69| 81  70| 82  70| 82
 TXNSD   2|  2   1|  2   1|  2   2|  2   2|  4   2|  4   3|  5   3|  5   3|  5
 TXNP1  64| 75  65| 73  65| 72  64| 73  65| 75  66| 76  66| 76  67| 77  66| 77
 TXNP2  65| 76  66| 75  65| 73  65| 74  66| 77  67| 79  68| 78  68| 80  68| 80
 TXNP5  66| 78  67| 76  67| 75  66| 75  67| 80  68| 81  69| 81  69| 82  70| 82
 TXNP7  68| 79  68| 77  68| 76  68| 76  69| 82  70| 83  71| 84  71| 86  72| 86
 TXNP9  68| 80  69| 79  69| 77  69| 77  69| 84  71| 86  72| 87  73| 89  75| 89
 WSPP1   3| 10   0|  8   0| 10   0| 10   0| 10   0|  9   0| 10   0|  9   0| 10
 WSPP2   4| 11   2|  9   3| 11   2| 11   0| 10   0| 10   0| 11   3| 11   3| 11
 WSPP5   4| 12   4| 11   4| 12   3| 13   3| 11   2| 11   4| 12   4| 12   4| 12
 WSPP7   5| 12   4| 12   5| 13   4| 13   4| 12   4| 12   5| 14   5| 13   5| 14
 WSPP9   6| 13   5| 14   6| 14   5| 14   5| 13   5| 14   5| 15   6| 15   6| 16
 W24P1    | 13    | 12    | 13    | 13    | 12    | 12    | 12    | 12    |
 W24P2    | 13    | 13    | 13    | 14    | 13    | 13    | 14    | 14    |
 W24P5    | 14    | 14    | 14    | 15    | 14    | 14    | 15    | 15    |
 W24P7    | 15    | 15    | 15    | 16    | 15    | 15    | 17    | 16    |
 W24P9    | 16    | 16    | 16    | 17    | 15    | 17    | 17    | 17    |
 G24P1    | 14    | 12    | 13    | 14    | 13    | 13    | 14    | 13    |
 G24P2    | 15    | 14    | 14    | 16    | 14    | 14    | 16    | 16    |
 G24P5    | 16    | 16    | 16    | 19    | 16    | 17    | 18    | 18    |
 G24P7    | 18    | 18    | 19    | 21    | 18    | 19    | 22    | 21    |
 G24P9    | 19    | 21    | 21    | 23    | 20    | 22    | 24    | 25    |
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 013|010 011|010 011|009 010|007 008|007 008|008 009|006 007|007 008|006
 SLPP2 013|011 012|011 012|010 011|008 009|009 010|010 011|009 010|009 009|008
 SLPP5 014|011 012|011 012|011 011|009 010|010 012|011 012|011 012|010 011|009
 SLPP7 014|012 013|012 012|012 012|010 011|011 013|013 014|012 013|011 012|011
 SLPP9 014|012 013|012 013|012 012|011 012|012 014|014 015|014 014|013 014|013
