 KLGA    NBM V5.0 NBP GUIDANCE    9/18/2026  1900 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  65| 72  64| 71  64| 68  60| 64  57| 65  57| 64  57| 66  58| 70  60| 70
 TXNSD   2|  2   3|  4   3|  4   3|  3   3|  3   3|  4   4|  5   3|  5   4|  5
 TXNP1  62| 68  60| 65  59| 63  56| 60  54| 61  53| 59  53| 59  54| 62  55| 62
 TXNP2  63| 70  63| 69  62| 66  57| 62  55| 63  55| 62  54| 63  56| 65  56| 65
 TXNP5  65| 72  65| 72  64| 69  60| 64  57| 65  57| 64  57| 66  57| 72  62| 72
 TXNP7  66| 73  66| 73  66| 71  63| 66  59| 67  58| 66  58| 70  59| 74  63| 74
 TXNP9  68| 74  67| 75  68| 72  64| 68  62| 69  62| 69  63| 72  63| 76  65| 76
 WSPP1   9|  7   6|  6   8|  7  11| 10  12| 11  10|  6   7|  4   6|  3   5|  3
 WSPP2  10|  8   7|  8  11|  9  12| 11  13| 12  12|  9   9|  6   7|  6   7|  5
 WSPP5  11|  9   8|  9  12| 10  13| 14  15| 15  14| 13  11| 10  10|  8  10|  8
 WSPP7  11| 10  10| 11  14| 12  14| 16  17| 18  16| 16  15| 15  13| 12  13| 13
 WSPP9  12| 11  11| 13  15| 14  16| 17  18| 20  19| 19  18| 20  18| 19  17| 17
 W24P1    | 13    | 13    | 16    | 17    | 18    | 16    | 11    | 10    |
 W24P2    | 14    | 15    | 17    | 18    | 20    | 17    | 15    | 13    |
 W24P5    | 15    | 17    | 18    | 20    | 23    | 21    | 19    | 16    |
 W24P7    | 16    | 19    | 20    | 22    | 26    | 25    | 23    | 21    |
 W24P9    | 17    | 20    | 22    | 24    | 27    | 28    | 27    | 26    |
 G24P1    | 20    | 20    | 25    | 26    | 28    | 24    | 17    | 15    |
 G24P2    | 21    | 24    | 27    | 28    | 32    | 28    | 23    | 21    |
 G24P5    | 23    | 27    | 29    | 32    | 37    | 34    | 30    | 25    |
 G24P7    | 24    | 31    | 33    | 35    | 43    | 41    | 38    | 34    |
 G24P9    | 26    | 33    | 35    | 38    | 45    | 47    | 46    | 45    |
 Q24P1    |      0|     21|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|     52|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|     97|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|    133|     16|     11|     36|    117|     28|      0|
 Q24P9    |     15|    232|     36|     31|    138|    204|    138|     44|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 021|020 017|011 013|017 020|022 023|021 016|013 012|010 010|010 010|009
 SLPP2 022|021 018|012 015|018 022|025 026|025 021|018 016|015 015|014 015|014
 SLPP5 022|021 019|014 016|020 024|027 028|028 026|023 021|018 019|018 020|019
 SLPP7 023|022 020|016 018|022 026|029 032|031 030|026 024|022 023|022 024|022
 SLPP9 024|023 022|017 019|022 028|030 033|032 033|030 028|026 028|027 027|025
