 KSFO    NBM V5.0 NBP GUIDANCE    9/18/2026  1900 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  59| 74  59| 69  59| 71  59| 74  59| 82  61| 82  61| 77  60| 75  59| 75
 TXNSD   1|  3   1|  3   1|  3   1|  3   2|  4   3|  7   3|  5   3|  6   3|  6
 TXNP1  58| 71  58| 66  57| 68  57| 70  57| 76  57| 75  57| 70  57| 69  56| 69
 TXNP2  58| 72  58| 68  58| 70  58| 72  58| 81  58| 78  59| 74  58| 71  57| 71
 TXNP5  59| 73  59| 69  59| 71  59| 74  59| 83  60| 82  60| 77  60| 74  58| 74
 TXNP7  59| 75  59| 71  59| 73  59| 76  60| 86  63| 86  63| 81  61| 77  60| 77
 TXNP9  60| 77  60| 73  60| 75  60| 78  61| 87  65| 90  64| 85  63| 82  63| 82
 WSPP1   4| 14   6| 10   4| 11   3| 10   0|  9   0|  9   0|  9   0| 10   0| 10
 WSPP2   5| 15   7| 12   5| 12   5| 11   0| 10   0| 10   3| 11   4| 12   4| 12
 WSPP5   6| 16   8| 14   6| 14   6| 12   3| 11   0| 12   6| 14   5| 15   6| 15
 WSPP7   7| 18   9| 15   7| 15   7| 15   5| 13   4| 14   8| 16   8| 17   9| 18
 WSPP9   8| 20  10| 17   9| 17   7| 16   6| 15   6| 18  10| 19   9| 21  13| 23
 W24P1    | 19    | 17    | 17    | 15    | 14    | 15    | 14    | 15    |
 W24P2    | 20    | 17    | 17    | 16    | 15    | 16    | 16    | 17    |
 W24P5    | 21    | 18    | 19    | 18    | 16    | 17    | 18    | 19    |
 W24P7    | 22    | 20    | 20    | 19    | 18    | 19    | 21    | 21    |
 W24P9    | 23    | 22    | 21    | 21    | 19    | 22    | 24    | 25    |
 G24P1    | 21    | 17    | 17    | 15    | 13    | 15    | 14    | 15    |
 G24P2    | 22    | 19    | 19    | 16    | 15    | 16    | 17    | 17    |
 G24P5    | 24    | 20    | 21    | 19    | 17    | 18    | 21    | 22    |
 G24P7    | 26    | 24    | 23    | 22    | 19    | 21    | 25    | 26    |
 G24P9    | 29    | 26    | 25    | 24    | 22    | 27    | 31    | 34    |
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 015|013 012|012 012|010 010|008 009|008 009|009 010|009 010|010 010|009
 SLPP2 016|013 013|012 012|011 011|010 010|010 011|011 011|011 012|011 012|011
 SLPP5 016|014 013|013 013|012 012|011 011|011 012|012 013|013 014|013 013|012
 SLPP7 017|014 014|014 013|013 013|012 012|012 013|014 015|015 016|014 015|014
 SLPP9 017|015 014|014 014|014 014|012 013|012 014|014 016|016 017|016 017|017
