 KATL    NBM V5.0 NBP GUIDANCE    9/19/2026  0100 UTC
        SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    23  35| 47  59| 71  83| 95 107|119 131|143 155|167 179|191 203|215 227
 TXNMN  93  73| 91  73| 91  72| 87  71| 81  66| 80  65| 81  64| 80  63| 79  63
 TXNSD   2   1|  2   1|  3   1|  4   2|  6   4|  5   4|  5   5|  6   5|  6   5
 TXNP1  91  71| 88  72| 88  71| 81  70| 74  62| 73  60| 74  57| 72  57| 71  57
 TXNP2  92  72| 89  72| 90  72| 86  70| 77  64| 76  62| 77  61| 74  60| 75  60
 TXNP5  93  73| 90  73| 91  72| 88  71| 81  66| 80  65| 80  64| 79  62| 78  62
 TXNP7  94  73| 92  73| 93  73| 90  72| 86  70| 85  70| 85  66| 85  70| 85  70
 TXNP9  95  74| 93  74| 93  73| 92  73| 88  72| 87  71| 87  71| 87  71| 87  71
 WSPP1   0   3|  0   0|  0   0|  3   4|  5   5|  1   3|  2   3|  4   3|  0   2
 WSPP2   3   4|  0   0|  3   3|  4   6|  7   6|  5   5|  5   5|  6   5|  4   4
 WSPP5   5   5|  3   2|  4   6|  6   8|  9   7|  7   6|  6   7|  7   7|  6   6
 WSPP7   6   6|  5   3|  5   7|  9  10| 11   9|  9   8|  8   8|  9   9|  8   7
 WSPP9   8   7|  6   4|  8   8| 11  12| 12  11| 11  10| 10   9| 11  10| 10   9
 W24P1   7    |  7    |  6    |  8    | 11    |  9    | 10    |  9    |  9
 W24P2   9    |  8    |  7    | 10    | 13    | 11    | 10    | 10    | 10
 W24P5  10    |  9    |  9    | 13    | 15    | 13    | 13    | 13    | 13
 W24P7  12    | 10    | 12    | 15    | 17    | 16    | 15    | 15    | 15
 W24P9  14    | 11    | 15    | 17    | 19    | 19    | 17    | 17    | 17
 G24P1  11    |  9    |  9    | 12    | 17    | 16    | 15    | 14    | 13
 G24P2  14    | 11    | 10    | 17    | 22    | 19    | 17    | 17    | 17
 G24P5  17    | 13    | 14    | 21    | 26    | 23    | 21    | 21    | 22
 G24P7  20    | 16    | 18    | 26    | 31    | 28    | 26    | 27    | 26
 G24P9  24    | 19    | 24    | 29    | 35    | 33    | 30    | 30    | 31
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       3|      0|     15|     19|      0|      0|      0|      0|      0
 Q24P7      30|      3|     34|     64|      6|      0|      0|      0|      0
 Q24P9      58|     19|     82|     85|     33|      0|      0|      7|      1
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 014 016|012 014|011 014|013 016|014 017|014 016|013 015|012 014|010 012
 SLPP2 014 016|012 014|012 015|014 017|016 018|016 017|015 017|014 016|013 014
 SLPP5 014 016|013 015|013 016|015 019|018 020|018 019|016 018|016 018|015 016
 SLPP7 015 017|014 016|013 016|016 021|021 022|019 021|018 021|018 020|017 019
 SLPP9 015 017|014 016|014 018|018 023|023 024|022 024|020 022|020 022|020 022
