 KAUS    NBM V5.0 NBP GUIDANCE    9/19/2026  0100 UTC
        SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    23  35| 47  59| 71  83| 95 107|119 131|143 155|167 179|191 203|215 227
 TXNMN  99  72|100  73| 99  74| 99  73| 98  73| 97  72| 97  71| 97  71| 97  71
 TXNSD   2   3|  2   2|  2   2|  3   3|  3   3|  3   4|  4   4|  5   5|  6   5
 TXNP1  97  69| 98  70| 97  71| 96  71| 95  70| 92  66| 89  65| 90  64| 88  64
 TXNP2  98  70| 99  72| 99  72| 98  72| 98  72| 97  70| 97  68| 93  70| 97  70
 TXNP5 100  72|100  73|100  74| 99  73| 99  73| 98  73| 99  71| 99  73| 99  73
 TXNP7 100  74|101  75|101  75|100  74|100  75|100  75|100  74|100  75|100  75
 TXNP9 101  75|102  76|102  77|101  76|101  76|100  76|100  75|101  76|101  76
 WSPP1   6   0|  5   0|  4   0|  6   0|  6   0|  5   0|  5   0|  5   0|  4   0
 WSPP2   8   0|  5   0|  5   0|  7   0|  7   0|  7   0|  7   0|  6   0|  5   0
 WSPP5   9   3|  7   0|  7   0|  8   3|  9   3|  9   3|  9   2|  8   3|  7   3
 WSPP7  10   4|  8   3|  8   3| 10   8| 10   6| 11   5| 10   4| 10   5|  9   6
 WSPP9  12   5| 10   4|  9   7| 11  10| 11   7| 12   6| 12   6| 11   6| 11   9
 W24P1  10    | 10    |  9    |  9    | 10    | 10    |  9    |  9    |  9
 W24P2  11    | 11    | 10    | 10    | 11    | 11    | 11    | 11    | 11
 W24P5  13    | 12    | 10    | 12    | 13    | 13    | 13    | 12    | 12
 W24P7  16    | 14    | 12    | 14    | 14    | 15    | 14    | 14    | 15
 W24P9  17    | 17    | 14    | 16    | 16    | 17    | 16    | 16    | 17
 G24P1  17    | 16    | 14    | 15    | 15    | 14    | 15    | 15    | 15
 G24P2  19    | 18    | 16    | 17    | 17    | 17    | 18    | 17    | 18
 G24P5  22    | 20    | 17    | 19    | 20    | 20    | 21    | 20    | 20
 G24P7  26    | 23    | 21    | 22    | 23    | 24    | 24    | 23    | 24
 G24P9  27    | 26    | 24    | 25    | 26    | 29    | 26    | 26    | 27
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P9       0|      0|     14|     33|      0|      0|      0|      0|      9
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 010 013|008 012|008 013|010 015|013 016|013 016|012 014|010 011|007 008
 SLPP2 010 013|008 012|009 014|011 016|014 017|014 016|013 016|012 014|009 012
 SLPP5 010 013|009 013|010 014|012 017|014 018|015 018|014 017|013 015|011 014
 SLPP7 011 014|009 013|010 015|013 018|015 019|016 019|016 019|015 017|013 015
 SLPP9 012 014|010 014|011 015|013 018|016 020|017 020|016 020|016 018|014 016
