 KDAL    NBM V5.0 NBP GUIDANCE    9/19/2026  0100 UTC
        SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    23  35| 47  59| 71  83| 95 107|119 131|143 155|167 179|191 203|215 227
 TXNMN  99  80| 99  79| 96  76| 92  73| 92  74| 92  74| 92  74| 93  75| 93  75
 TXNSD   1   2|  1   3|  4   4|  5   5|  5   5|  5   6|  5   6|  6   6|  7   6
 TXNP1  97  78| 97  75| 90  70| 85  65| 86  67| 86  66| 85  66| 85  66| 82  66
 TXNP2  98  79| 98  78| 92  74| 89  70| 89  70| 88  69| 88  69| 88  69| 87  69
 TXNP5  99  80| 99  79| 97  78| 92  74| 91  74| 92  77| 91  77| 96  78| 97  78
 TXNP7  99  81|100  80| 99  79| 97  78| 97  78| 97  79| 97  79| 98  80| 99  80
 TXNP9 100  81|101  81| 99  80| 98  79| 98  80| 98  80| 99  80| 99  81|100  81
 WSPP1   7   6|  2   0|  0   3|  5   4|  5   4|  5   0|  5   3|  5   1|  0   3
 WSPP2   8   6|  5   3|  4   5|  7   5|  6   5|  6   4|  7   4|  6   4|  5   5
 WSPP5   9   7|  6   4|  6   7|  8   6|  8   5|  8   5|  8   5|  7   5|  7   6
 WSPP7   9   8|  8   5|  7   8| 10   7|  8   6|  9   6|  9   6|  8   6|  9   7
 WSPP9  10   9|  9   6|  9   9| 11   8|  9   7| 10   7| 10   7|  9   8| 11   9
 W24P1  10    | 10    |  9    |  9    |  9    |  9    |  9    |  9    |  9
 W24P2  11    | 11    | 10    | 10    | 10    | 10    | 10    | 10    | 10
 W24P5  12    | 12    | 11    | 12    | 11    | 11    | 11    | 11    | 12
 W24P7  13    | 13    | 13    | 14    | 12    | 12    | 13    | 12    | 13
 W24P9  14    | 15    | 14    | 15    | 14    | 13    | 13    | 13    | 15
 G24P1  18    | 18    | 15    | 16    | 15    | 16    | 15    | 15    | 15
 G24P2  19    | 20    | 17    | 18    | 17    | 17    | 18    | 17    | 17
 G24P5  21    | 23    | 20    | 20    | 19    | 20    | 20    | 20    | 21
 G24P7  24    | 25    | 23    | 24    | 21    | 22    | 22    | 22    | 23
 G24P9  25    | 27    | 25    | 26    | 24    | 23    | 24    | 24    | 26
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|     11|      7|      0|      0|      0|      0|      0|      0
 Q24P9       0|     45|     37|      4|      0|      0|      0|      0|      6
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 010 012|007 012|009 014|013 017|015 017|015 017|014 014|011 012|008 010
 SLPP2 010 012|008 012|010 014|013 017|016 018|016 018|015 016|012 014|010 012
 SLPP5 010 013|009 013|011 016|014 019|017 019|017 020|016 019|015 016|013 014
 SLPP7 011 013|010 013|011 016|015 020|018 020|018 021|018 020|017 018|014 016
 SLPP9 012 014|010 014|012 017|015 020|018 022|019 022|019 022|018 019|016 017
