 KLAX    NBM V5.0 NBP GUIDANCE    9/19/2026  0100 UTC
        SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    23  35| 47  59| 71  83| 95 107|119 131|143 155|167 179|191 203|215 227
 TXNMN  77  67| 76  67| 74  66| 74  67| 78  68| 80  68| 80  69| 81  70| 81  70
 TXNSD   2   1|  2   1|  2   2|  2   2|  3   2|  4   2|  5   3|  5   4|  6   4
 TXNP1  75  66| 73  65| 72  64| 72  65| 74  65| 75  66| 75  66| 74  65| 74  65
 TXNP2  76  66| 74  66| 72  65| 73  65| 76  66| 76  67| 77  67| 77  68| 78  68
 TXNP5  77  67| 76  67| 74  66| 74  66| 79  68| 79  68| 79  69| 81  69| 81  69
 TXNP7  78  68| 77  68| 76  68| 75  68| 81  69| 82  70| 84  70| 85  72| 84  72
 TXNP9  79  69| 78  68| 77  68| 77  69| 83  70| 86  71| 87  72| 89  74| 89  74
 WSPP1  10   0|  8   3| 10   0| 11   0| 10   0|  9   0|  9   0|  9   0|  9   0
 WSPP2  11   3| 10   3| 11   3| 12   0| 10   0| 11   0| 11   3| 10   3| 10   3
 WSPP5  12   3| 11   4| 12   4| 13   3| 11   0| 12   3| 12   4| 12   4| 12   4
 WSPP7  13   4| 12   5| 13   4| 14   4| 12   3| 13   4| 14   5| 14   5| 15   6
 WSPP9  13   5| 14   6| 14   5| 15   5| 13   5| 14   5| 16   6| 16   6| 16   7
 W24P1  13    | 12    | 13    | 13    | 12    | 12    | 12    | 12    | 12
 W24P2  13    | 13    | 13    | 15    | 13    | 13    | 14    | 14    | 13
 W24P5  14    | 14    | 15    | 16    | 14    | 14    | 15    | 15    | 15
 W24P7  15    | 16    | 16    | 17    | 15    | 15    | 16    | 17    | 17
 W24P9  16    | 17    | 17    | 18    | 16    | 17    | 18    | 19    | 19
 G24P1  14    | 12    | 13    | 14    | 13    | 12    | 13    | 13    | 13
 G24P2  15    | 14    | 15    | 17    | 14    | 14    | 15    | 15    | 15
 G24P5  16    | 16    | 17    | 19    | 16    | 17    | 18    | 18    | 19
 G24P7  18    | 19    | 20    | 21    | 18    | 19    | 21    | 22    | 23
 G24P9  19    | 22    | 22    | 24    | 20    | 22    | 25    | 28    | 26
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P9       0|      0|      0|      0|      0|      0|      0|      0|      2
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 011 011|010 011|010 010|007 008|006 008|008 008|006 008|007 007|006 006
 SLPP2 011 012|011 012|010 011|008 009|008 009|009 010|009 010|009 009|007 008
 SLPP5 012 012|011 012|011 011|009 010|009 011|010 011|010 011|010 011|009 010
 SLPP7 012 013|012 013|012 012|010 011|010 012|012 012|012 013|011 012|011 011
 SLPP9 012 013|012 013|012 012|011 012|011 013|013 014|013 014|012 013|012 012
