 KMIA    NBM V5.0 NBP GUIDANCE    9/19/2026  0100 UTC
        SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    23  35| 47  59| 71  83| 95 107|119 131|143 155|167 179|191 203|215 227
 TXNMN  89  76| 89  76| 89  77| 89  77| 89  77| 89  77| 90  76| 89  76| 88  76
 TXNSD   2   1|  2   2|  2   1|  2   1|  2   1|  2   1|  2   1|  3   2|  3   2
 TXNP1  87  74| 87  74| 85  75| 87  75| 86  75| 87  75| 87  75| 86  73| 85  73
 TXNP2  88  75| 88  75| 88  75| 88  76| 88  76| 88  76| 89  75| 88  75| 87  75
 TXNP5  89  76| 89  76| 89  77| 89  77| 89  77| 89  77| 90  76| 89  76| 89  76
 TXNP7  90  77| 90  77| 90  78| 90  78| 90  78| 90  77| 91  77| 90  77| 90  77
 TXNP9  90  78| 91  78| 91  78| 91  79| 91  78| 91  78| 92  78| 91  78| 91  78
 WSPP1   0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 WSPP2   0   0|  0   0|  0   0|  0   0|  0   1|  0   2|  2   3|  0   3|  3   4
 WSPP5   4   3|  3   1|  3   2|  3   3|  4   4|  4   4|  5   4|  4   6|  6   6
 WSPP7   5   4|  5   5|  6   5|  6   6|  6   6|  6   6|  6   6|  7   8|  7   8
 WSPP9   7   6|  7   7|  8   7|  7   8|  8   7|  7   8|  8   9|  9  10| 10  10
 W24P1   7    |  7    |  8    |  8    |  8    |  8    |  8    |  9    |  9
 W24P2   8    |  8    |  9    |  9    |  9    |  9    | 10    | 10    | 10
 W24P5  10    | 10    | 11    | 11    | 11    | 10    | 11    | 11    | 12
 W24P7  11    | 11    | 13    | 13    | 13    | 12    | 13    | 13    | 14
 W24P9  13    | 13    | 15    | 15    | 15    | 13    | 14    | 16    | 16
 G24P1  13    | 13    | 14    | 14    | 14    | 14    | 14    | 16    | 15
 G24P2  15    | 15    | 16    | 16    | 16    | 16    | 17    | 17    | 17
 G24P5  17    | 17    | 19    | 19    | 19    | 18    | 19    | 20    | 21
 G24P7  19    | 20    | 23    | 23    | 22    | 21    | 23    | 23    | 25
 G24P9  23    | 22    | 25    | 26    | 27    | 24    | 26    | 29    | 29
 Q24P1       0|     20|     13|      7|      2|      0|      0|      0|      0
 Q24P2       7|     28|     35|     22|     22|      7|      3|      8|      2
 Q24P5      36|     75|     71|     68|     55|     38|     19|     44|     23
 Q24P7      67|    128|     99|    115|    116|     76|     70|    105|     86
 Q24P9     113|    159|    135|    197|    185|    166|    105|    197|    195
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 012 012|010 011|010 011|012 013|012 012|011 011|010 010|009 009|008 009
 SLPP2 012 012|011 012|011 012|013 014|014 013|012 012|011 011|010 010|010 010
 SLPP5 013 013|012 012|012 013|013 015|014 014|013 013|012 013|012 012|011 012
 SLPP7 014 013|012 013|013 014|014 016|015 015|014 014|013 014|013 013|012 013
 SLPP9 014 014|013 014|013 015|015 016|016 016|015 015|014 014|014 014|014 014
