 KORD    NBM V5.0 NBP GUIDANCE    9/19/2026  0100 UTC
        SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    23  35| 47  59| 71  83| 95 107|119 131|143 155|167 179|191 203|215 227
 TXNMN  76  64| 69  58| 64  54| 62  54| 64  55| 66  55| 70  56| 73  58| 74  58
 TXNSD   6   3|  2   2|  2   2|  3   3|  3   3|  4   3|  5   4|  4   4|  3   4
 TXNP1  68  61| 66  55| 61  51| 60  51| 60  52| 62  52| 64  51| 66  50| 71  50
 TXNP2  73  63| 67  56| 62  53| 61  52| 62  53| 63  54| 66  54| 72  55| 73  55
 TXNP5  75  65| 69  58| 64  54| 62  54| 63  54| 65  55| 71  57| 74  58| 74  58
 TXNP7  81  66| 70  59| 65  55| 63  55| 65  56| 67  57| 74  59| 76  60| 76  60
 TXNP9  84  67| 72  60| 66  58| 65  59| 67  60| 72  59| 76  61| 79  63| 79  63
 WSPP1   0   5| 11   9| 10   8|  9   6|  7   3|  5   3|  5   0|  4   0|  3   0
 WSPP2   4   8| 13  10| 11   9| 10   7|  9   6|  7   5|  6   3|  5   3|  5   2
 WSPP5   5  10| 14  11| 13  10| 11   9| 10   7|  8   6|  8   5|  6   4|  6   5
 WSPP7   8  11| 15  12| 14  11| 13  10| 11   8|  9   7|  9   6|  8   6|  8   8
 WSPP9  10  12| 17  14| 15  13| 15  11| 12  10| 10   8| 10   8|  9   8| 11  10
 W24P1  11    | 16    | 16    | 15    | 12    |  9    |  9    |  9    |  8
 W24P2  13    | 17    | 17    | 17    | 14    | 11    | 12    | 10    |  9
 W24P5  14    | 19    | 18    | 18    | 16    | 13    | 13    | 11    | 11
 W24P7  16    | 20    | 20    | 20    | 18    | 15    | 15    | 13    | 14
 W24P9  17    | 22    | 22    | 22    | 20    | 17    | 16    | 16    | 17
 G24P1  17    | 25    | 24    | 20    | 16    | 11    | 12    | 10    |  9
 G24P2  19    | 26    | 25    | 24    | 19    | 14    | 15    | 12    | 11
 G24P5  22    | 30    | 29    | 29    | 24    | 18    | 18    | 15    | 15
 G24P7  25    | 34    | 32    | 34    | 29    | 23    | 22    | 20    | 22
 G24P9  28    | 38    | 37    | 38    | 33    | 28    | 24    | 26    | 29
 Q24P1     112|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2     140|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5     213|      8|      0|      0|      0|      0|      0|      0|      0
 Q24P7     266|     47|      2|      0|      0|      0|      0|      0|      0
 Q24P9     317|    126|     77|     11|      3|      0|      0|      2|     31
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 010 011|015 017|017 019|020 021|021 022|021 022|021 021|016 015|011 010
 SLPP2 010 012|016 018|019 022|022 023|023 024|023 024|022 023|020 018|015 016
 SLPP5 012 013|017 020|020 023|023 025|025 025|024 026|024 024|021 021|019 019
 SLPP7 013 014|018 021|022 025|026 028|027 027|026 027|026 026|024 024|021 022
 SLPP9 014 015|019 023|023 026|026 029|028 030|028 030|028 029|026 026|024 025
