 KBKF    NBM V5.0 NBP GUIDANCE    9/19/2026  0700 UTC
        SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  79  50| 73  48| 75  50| 80  52| 81  53| 82  55| 82  54| 84  54| 82  54
 TXNSD   2   3|  3   3|  3   2|  3   3|  3   3|  3   3|  4   3|  4   4|  6   4
 TXNP1  76  48| 70  45| 72  46| 75  49| 78  48| 79  51| 75  50| 80  50| 71  50
 TXNP2  78  48| 71  47| 74  49| 79  51| 80  52| 81  53| 81  53| 82  52| 81  52
 TXNP5  79  49| 73  48| 76  50| 81  53| 82  53| 83  55| 83  55| 85  54| 84  54
 TXNP7  81  51| 76  50| 78  51| 82  54| 84  55| 84  57| 85  57| 86  57| 87  57
 TXNP9  82  54| 78  51| 79  53| 84  56| 85  56| 85  58| 86  58| 87  59| 88  59
 WSPP1   3   0|  4   0|  7   3|  5   2|  3   2|  5   2|  4   4|  3   3|  3   3
 WSPP2   4   2|  7   0|  9   5|  7   4|  5   3|  7   4|  6   5|  6   4|  6   4
 WSPP5   7   4|  9   3| 10   6|  9   5|  7   4|  9   6| 10   6|  8   6|  9   6
 WSPP7   9   6| 10   4| 12   9| 12   7|  9   6| 11   8| 15   8| 11   8| 11   8
 WSPP9  11   8| 12   5| 14  11| 14  10| 12   7| 13  10| 18  11| 14  10| 13  11
 W24P1  11    | 11    | 12    | 14    | 11    | 12    | 12    | 12    | 12
 W24P2  13    | 13    | 13    | 16    | 13    | 13    | 14    | 13    | 14
 W24P5  15    | 15    | 15    | 17    | 15    | 15    | 17    | 16    | 17
 W24P7  17    | 17    | 18    | 20    | 17    | 18    | 21    | 19    | 19
 W24P9  18    | 18    | 19    | 22    | 20    | 20    | 24    | 21    | 21
 G24P1  17    | 17    | 18    | 20    | 18    | 18    | 18    | 18    | 18
 G24P2  19    | 19    | 20    | 24    | 20    | 20    | 22    | 20    | 21
 G24P5  21    | 21    | 24    | 26    | 22    | 23    | 26    | 25    | 25
 G24P7  24    | 24    | 28    | 30    | 26    | 27    | 32    | 29    | 28
 G24P9  26    | 26    | 31    | 33    | 29    | 29    | 36    | 33    | 31
 Q24P1       9|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2      28|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5      51|      5|      0|      0|      0|      0|      0|      0|      0
 Q24P7      80|     14|      0|      0|      0|      0|      4|      0|      1
 Q24P9      91|     41|      7|      9|      9|      6|     35|     18|     23
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 009 014|011 018|012 016|011 015|012 016|012 015|009 011|007 010|004 006
 SLPP2 010 015|013 019|013 018|012 016|013 019|014 017|011 014|009 014|007 009
 SLPP5 012 017|014 020|014 019|013 018|015 020|016 019|014 016|012 016|011 014
 SLPP7 013 018|016 021|016 020|015 020|017 022|018 022|016 020|014 020|014 017
 SLPP9 014 018|017 022|016 022|016 022|018 024|021 024|019 022|018 023|017 021
