 KHOU    NBM V5.0 NBP GUIDANCE    9/19/2026  0700 UTC
        SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  93  76| 94  78| 95  78| 96  80| 95  79| 93  78| 93  77| 93  77| 93  77
 TXNSD   1   2|  1   2|  2   2|  2   2|  2   2|  2   3|  3   4|  3   3|  3   3
 TXNP1  91  74| 92  76| 93  76| 93  77| 93  76| 90  73| 89  72| 88  73| 89  73
 TXNP2  92  75| 93  77| 94  77| 94  79| 94  78| 92  76| 91  75| 91  75| 91  75
 TXNP5  93  77| 94  78| 95  78| 96  80| 95  80| 94  79| 93  78| 93  78| 93  78
 TXNP7  94  77| 95  79| 96  79| 97  81| 97  80| 95  80| 95  79| 95  79| 95  79
 TXNP9  95  78| 96  80| 97  80| 98  82| 98  82| 96  81| 96  81| 96  80| 97  80
 WSPP1   7   0|  8   0|  5   0|  4   0|  5   0|  5   2|  6   0|  6   0|  5   0
 WSPP2   8   0|  8   0|  7   1|  5   3|  6   5|  6   5|  7   4|  7   3|  7   3
 WSPP5   9   0|  9   0|  8   4|  6   4|  8   7|  8   7|  8   7|  8   5|  9   5
 WSPP7  10   4| 10   4|  9   5|  7   6|  9   9| 10   8|  9   8| 10   7| 10   7
 WSPP9  11   5| 11   5| 10   6|  8   9| 10  10| 10   9| 11   9| 11   9| 12   9
 W24P1  11    | 12    | 10    |  9    | 10    | 11    | 11    | 11    | 10
 W24P2  12    | 12    | 11    | 10    | 12    | 12    | 12    | 12    | 12
 W24P5  13    | 13    | 12    | 11    | 13    | 14    | 14    | 14    | 14
 W24P7  14    | 15    | 14    | 13    | 15    | 15    | 15    | 15    | 15
 W24P9  15    | 15    | 14    | 13    | 16    | 17    | 16    | 16    | 17
 G24P1  14    | 16    | 13    | 12    | 14    | 15    | 15    | 16    | 15
 G24P2  16    | 18    | 14    | 14    | 16    | 17    | 17    | 18    | 17
 G24P5  18    | 20    | 17    | 15    | 19    | 21    | 21    | 21    | 20
 G24P7  21    | 22    | 19    | 18    | 22    | 23    | 23    | 23    | 23
 G24P9  23    | 24    | 21    | 19    | 25    | 26    | 25    | 26    | 28
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      2|      0|      0|      0|      0|      0|      0|      0
 Q24P9      14|     20|      0|      2|      0|      0|      0|      0|     13
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 012 012|010 012|010 012|011 014|013 015|013 015|012 014|010 011|008 008
 SLPP2 012 013|010 012|010 013|012 015|014 016|014 016|014 015|012 013|010 011
 SLPP5 013 013|011 013|011 014|012 016|015 017|015 017|015 016|014 014|012 012
 SLPP7 013 014|011 013|012 014|013 017|016 018|016 018|016 017|015 016|013 014
 SLPP9 014 014|012 014|012 015|014 017|016 018|017 019|017 018|016 017|014 015
