 KLGA    NBM V5.0 NBP GUIDANCE    9/19/2026  0700 UTC
        SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  72  64| 72  63| 69  59| 65  56| 66  56| 64  56| 66  58| 69  60| 71  60
 TXNSD   2   2|  4   3|  3   3|  3   2|  3   3|  4   4|  6   4|  6   4|  6   4
 TXNP1  69  61| 67  59| 64  56| 61  54| 62  53| 58  52| 57  53| 60  55| 64  55
 TXNP2  71  63| 70  61| 67  57| 63  55| 64  54| 61  53| 61  55| 64  57| 67  57
 TXNP5  72  65| 72  63| 69  58| 65  56| 66  56| 65  55| 66  56| 69  58| 73  58
 TXNP7  73  66| 75  64| 71  61| 67  57| 67  58| 67  57| 71  62| 74  63| 75  63
 TXNP9  75  67| 77  67| 72  63| 68  59| 69  61| 70  62| 73  63| 76  65| 78  65
 WSPP1   8   6|  5  10|  6  10|  9  11| 10  11|  7   9|  5   6|  4   5|  3   4
 WSPP2   8   7|  7  12|  8  11| 11  13| 12  12| 10  10|  7   9|  7   8|  5   6
 WSPP5  10   9|  9  13| 10  12| 12  14| 15  14| 14  13| 10  11| 10  10|  8   8
 WSPP7  10  11| 12  14| 11  14| 14  16| 18  17| 17  17| 16  14| 13  13| 12  11
 WSPP9  11  12| 13  15| 13  15| 16  17| 19  20| 21  20| 21  18| 18  16| 17  14
 W24P1  13    | 14    | 16    | 16    | 18    | 17    | 13    | 11    | 10
 W24P2  14    | 16    | 17    | 17    | 21    | 19    | 14    | 14    | 12
 W24P5  15    | 18    | 18    | 19    | 23    | 22    | 20    | 18    | 16
 W24P7  16    | 20    | 20    | 21    | 25    | 26    | 25    | 22    | 21
 W24P9  17    | 22    | 21    | 23    | 27    | 29    | 30    | 26    | 26
 G24P1  20    | 22    | 24    | 24    | 29    | 27    | 19    | 17    | 17
 G24P2  21    | 25    | 27    | 26    | 33    | 30    | 22    | 23    | 19
 G24P5  22    | 29    | 30    | 30    | 37    | 36    | 32    | 30    | 26
 G24P7  25    | 32    | 33    | 33    | 41    | 44    | 44    | 38    | 33
 G24P9  27    | 36    | 36    | 38    | 45    | 48    | 49    | 44    | 44
 Q24P1       0|     20|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|     48|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|     57|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|    108|     16|      3|     24|    199|     47|     10|      2
 Q24P9       0|    176|     65|     47|     99|    289|    246|    129|     93
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 020 016|010 014|018 022|024 025|023 018|014 013|013 012|012 012|011 007
 SLPP2 020 017|011 016|020 024|026 027|026 022|019 018|017 018|016 017|015 014
 SLPP5 021 019|013 017|021 025|028 030|030 027|024 022|021 022|021 020|019 018
 SLPP7 022 020|015 018|021 027|029 033|033 031|028 026|024 025|024 024|021 023
 SLPP9 023 021|016 019|022 028|031 035|034 034|032 029|027 027|026 027|025 026
