 KSEA    NBM V5.0 NBP GUIDANCE    9/19/2026  0700 UTC
        SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  72  54| 73  53| 71  54| 69  53| 67  53| 64  51| 63  49| 65  50| 65  50
 TXNSD   3   1|  3   1|  2   1|  2   2|  3   2|  4   3|  4   4|  5   4|  4   4
 TXNP1  69  52| 69  51| 68  52| 66  51| 64  50| 60  46| 60  44| 61  45| 61  45
 TXNP2  71  52| 71  52| 70  53| 67  52| 65  51| 61  49| 61  46| 62  47| 62  47
 TXNP5  72  54| 73  54| 71  54| 68  53| 67  53| 63  52| 63  50| 64  51| 65  51
 TXNP7  74  54| 75  54| 73  55| 70  54| 69  54| 65  53| 65  52| 66  52| 68  52
 TXNP9  75  55| 76  54| 74  55| 71  55| 71  55| 69  54| 67  54| 71  53| 70  53
 WSPP1   0   0|  5   0|  0   0|  0   0|  3   0|  4   0|  3   0|  3   0|  0   0
 WSPP2   2   0|  6   0|  4   0|  2   3|  4   3|  7   0|  5   3|  5   3|  4   3
 WSPP5   4   3|  7   3|  6   3|  4   4|  6   5|  8   4|  7   5|  8   5|  7   5
 WSPP7   5   4|  7   5|  8   5|  6   6|  8   6| 10   6| 10   7| 10   6|  9   6
 WSPP9   6   5|  8   6|  8   5|  7   7|  9   7| 10   8| 11   9| 11   8| 11   9
 W24P1   6    |  8    |  7    |  6    |  7    |  9    |  7    |  8    |  7
 W24P2   6    |  8    |  7    |  7    |  9    | 10    |  9    |  9    |  9
 W24P5   7    |  9    |  8    |  8    | 10    | 12    | 11    | 11    | 11
 W24P7   8    | 10    | 10    |  9    | 12    | 13    | 14    | 14    | 12
 W24P9   9    | 11    | 11    | 10    | 14    | 15    | 16    | 16    | 15
 G24P1   5    |  8    |  6    |  6    |  8    | 10    |  8    |  8    |  7
 G24P2   6    |  9    |  8    |  8    | 10    | 12    | 10    | 11    | 10
 G24P5   8    | 10    | 10    |  9    | 13    | 16    | 15    | 15    | 14
 G24P7   9    | 12    | 13    | 11    | 16    | 18    | 19    | 19    | 18
 G24P9  10    | 14    | 15    | 14    | 18    | 21    | 24    | 24    | 23
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      0|      0|      0|      0|      3|      0|      0|      2
 Q24P9       0|      0|      0|      0|      8|     30|     11|      4|     32
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 017 017|014 016|014 015|013 015|013 011|008 010|010 013|013 013|010 010
 SLPP2 017 018|015 016|015 016|014 016|014 014|010 013|014 016|014 016|013 014
 SLPP5 018 018|016 017|016 017|016 018|016 016|014 015|016 019|018 018|016 016
 SLPP7 018 019|016 018|017 018|017 019|018 018|017 018|019 021|020 021|018 020
 SLPP9 018 019|017 019|018 019|018 021|020 020|018 021|021 024|021 022|020 021
