 KSFO    NBM V5.0 NBP GUIDANCE    9/19/2026  0700 UTC
        SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  74  59| 69  59| 71  59| 72  58| 80  60| 82  61| 77  60| 74  58| 73  58
 TXNSD   3   1|  3   1|  3   1|  4   2|  4   2|  6   3|  6   3|  5   3|  6   3
 TXNP1  71  57| 66  57| 68  57| 68  56| 74  57| 75  57| 69  57| 68  55| 67  55
 TXNP2  72  58| 67  58| 69  58| 70  57| 76  58| 79  58| 73  58| 71  57| 69  57
 TXNP5  74  59| 68  59| 71  58| 72  58| 81  60| 83  60| 78  59| 74  58| 73  58
 TXNP7  76  59| 70  60| 73  59| 75  59| 84  61| 86  62| 82  61| 77  60| 77  60
 TXNP9  78  60| 73  60| 75  60| 78  60| 86  63| 88  64| 84  63| 82  62| 83  62
 WSPP1  14   6| 11   5| 11   4| 10   0|  9   0| 10   0| 10   0| 10   0| 10   0
 WSPP2  16   7| 12   5| 12   5| 11   3| 10   0| 11   3| 12   4| 12   3| 12   0
 WSPP5  17   8| 13   6| 14   6| 13   4| 12   0| 13   6| 15   6| 15   5| 14   4
 WSPP7  18  10| 15   7| 16   7| 15   5| 14   4| 15   8| 17   9| 18   8| 17   7
 WSPP9  20  11| 17   9| 17   8| 18   7| 17   6| 18  10| 20  12| 22  10| 23  10
 W24P1  19    | 17    | 16    | 16    | 15    | 15    | 16    | 15    | 15
 W24P2  20    | 17    | 17    | 17    | 16    | 16    | 17    | 17    | 17
 W24P5  21    | 18    | 19    | 18    | 17    | 18    | 20    | 20    | 19
 W24P7  22    | 20    | 20    | 20    | 19    | 20    | 22    | 22    | 22
 W24P9  24    | 21    | 21    | 22    | 21    | 23    | 25    | 26    | 26
 G24P1  22    | 17    | 16    | 16    | 14    | 15    | 16    | 15    | 15
 G24P2  23    | 19    | 18    | 17    | 15    | 17    | 18    | 18    | 18
 G24P5  25    | 21    | 21    | 19    | 17    | 19    | 23    | 23    | 21
 G24P7  27    | 23    | 23    | 23    | 22    | 23    | 29    | 28    | 26
 G24P9  30    | 25    | 26    | 27    | 26    | 28    | 33    | 35    | 36
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 013 013|012 012|010 010|009 009|008 008|008 009|008 009|009 009|009 009
 SLPP2 013 013|012 012|011 011|010 010|009 010|010 010|010 011|011 012|011 010
 SLPP5 014 014|013 013|012 012|011 011|011 011|011 012|012 013|012 013|012 012
 SLPP7 014 014|013 014|013 013|012 012|012 012|012 014|013 014|014 015|014 014
 SLPP9 015 014|014 014|013 013|012 013|013 013|014 014|015 016|015 016|016 016
