 KLAX    NBM V5.0 NBP GUIDANCE    9/19/2026  1300 UTC
    SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  68| 77  67| 75  66| 75  67| 79  68| 81  69| 81  69| 81  69| 81  69| 81
 TXNSD   1|  2   1|  2   1|  1   1|  3   2|  4   2|  4   2|  4   3|  5   4|  5
 TXNP1  66| 74  65| 73  65| 73  65| 76  66| 77  67| 76  66| 76  65| 75  64| 75
 TXNP2  67| 75  66| 74  65| 74  66| 77  67| 78  68| 78  68| 78  67| 77  66| 77
 TXNP5  68| 77  67| 75  66| 75  67| 79  68| 81  69| 80  69| 81  69| 81  69| 81
 TXNP7  69| 78  68| 76  68| 76  68| 81  70| 82  70| 83  70| 84  71| 83  71| 83
 TXNP9  69| 79  68| 77  69| 77  69| 82  71| 85  71| 87  71| 86  73| 87  73| 87
 WSPP1   0|  9   0| 10   0| 10   0| 10   0|  9   0|  9   0|  9   0| 10   0|  9
 WSPP2   3| 10   4| 11   2| 12   0| 10   0| 10   0| 10   0| 10   0| 11   3| 10
 WSPP5   3| 12   4| 12   4| 12   3| 11   0| 11   3| 12   3| 12   3| 12   4| 11
 WSPP7   4| 13   5| 13   4| 14   4| 12   3| 12   4| 13   4| 13   5| 13   5| 13
 WSPP9   5| 15   6| 14   5| 15   5| 13   5| 13   5| 14   5| 15   6| 15   7| 15
 W24P1    | 13    | 12    | 12    | 13    | 12    | 12    | 12    | 12    | 12
 W24P2    | 14    | 13    | 13    | 14    | 13    | 12    | 13    | 13    | 13
 W24P5    | 14    | 14    | 14    | 15    | 14    | 13    | 14    | 15    | 14
 W24P7    | 15    | 16    | 16    | 16    | 15    | 14    | 16    | 16    | 16
 W24P9    | 16    | 17    | 17    | 17    | 15    | 15    | 16    | 17    | 17
 G24P1    | 14    | 12    | 13    | 14    | 12    | 12    | 13    | 13    | 13
 G24P2    | 15    | 14    | 14    | 17    | 14    | 14    | 15    | 15    | 15
 G24P5    | 16    | 16    | 16    | 19    | 16    | 15    | 17    | 18    | 17
 G24P7    | 18    | 20    | 20    | 21    | 18    | 17    | 20    | 20    | 21
 G24P9    | 20    | 23    | 22    | 23    | 20    | 19    | 22    | 23    | 24
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 011|010 011|010 010|008 008|007 008|007 007|006 008|006 008|007 007|005
 SLPP2 012|011 012|010 011|009 010|008 009|008 009|008 009|008 009|008 008|006
 SLPP5 012|012 012|011 011|010 010|009 011|009 010|010 010|010 011|010 010|008
 SLPP7 013|012 013|011 012|010 011|011 012|011 012|011 012|012 012|010 011|009
 SLPP9 013|012 013|012 013|010 012|011 013|012 013|013 014|012 013|012 012|011
