 KSEA    NBM V5.0 NBP GUIDANCE    9/19/2026  1300 UTC
    SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  54| 73  53| 71  54| 69  53| 68  52| 64  51| 63  50| 65  50| 66  50| 66
 TXNSD   1|  3   2|  2   1|  2   2|  3   2|  4   3|  4   3|  4   3|  5   3|  5
 TXNP1  52| 70  51| 68  52| 66  51| 65  48| 60  46| 59  45| 61  45| 61  46| 61
 TXNP2  53| 71  52| 70  53| 68  52| 66  51| 62  49| 61  46| 63  47| 63  48| 63
 TXNP5  54| 73  54| 72  54| 69  53| 68  53| 63  52| 63  51| 65  51| 66  51| 66
 TXNP7  54| 75  54| 73  55| 70  54| 69  54| 65  53| 65  52| 67  52| 69  53| 69
 TXNP9  55| 76  54| 74  56| 71  55| 70  55| 68  54| 67  54| 70  54| 72  54| 72
 WSPP1   0|  5   0|  1   0|  0   0|  0   0|  4   0|  3   0|  3   0|  2   0|  0
 WSPP2   0|  6   0|  4   0|  0   4|  3   3|  6   3|  5   3|  5   3|  5   3|  4
 WSPP5   3|  7   3|  5   3|  3   5|  6   4|  8   5|  8   6|  8   4|  6   5|  6
 WSPP7   4|  8   5|  7   5|  5   6|  8   6| 10   6| 10   9| 10   6|  8   6|  9
 WSPP9   5|  8   6|  8   6|  7   7|  9   7| 11   8| 12  10| 11   7| 10   8| 10
 W24P1    |  6    |  8    |  6    |  6    |  7    |  8    |  8    |  7    |  7
 W24P2    |  7    |  8    |  8    |  7    |  8    | 10    |  9    | 10    |  9
 W24P5    |  7    |  9    |  9    |  8    | 10    | 12    | 12    | 12    | 10
 W24P7    |  8    | 10    | 10    | 10    | 12    | 13    | 15    | 15    | 12
 W24P9    |  9    | 11    | 11    | 11    | 13    | 16    | 17    | 16    | 14
 G24P1    |  5    |  9    |  6    |  6    |  7    | 10    |  9    |  8    |  8
 G24P2    |  6    |  9    |  8    |  7    | 10    | 12    | 12    | 11    | 10
 G24P5    |  8    | 11    | 10    |  9    | 13    | 15    | 16    | 17    | 14
 G24P7    |  9    | 13    | 12    | 11    | 16    | 18    | 22    | 22    | 17
 G24P9    | 10    | 15    | 14    | 14    | 19    | 23    | 26    | 25    | 20
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P9    |      0|      0|      0|      5|     26|     27|      6|     17|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 018|014 016|014 015|013 015|014 012|012 010|011 012|011 014|011 013|010
 SLPP2 018|015 017|015 016|014 016|015 016|014 014|014 015|015 016|014 015|013
 SLPP5 018|016 017|016 017|015 018|016 018|016 016|016 018|017 018|016 017|015
 SLPP7 019|016 018|017 018|016 018|018 020|018 018|019 021|019 020|018 019|018
 SLPP9 019|017 018|017 018|017 020|020 022|019 021|020 022|021 022|020 021|020
