 KSFO    NBM V5.0 NBP GUIDANCE    9/19/2026  1300 UTC
    SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  58| 68  59| 70  59| 71  58| 78  59| 82  60| 76  59| 73  58| 73  58| 73
 TXNSD   1|  3   1|  3   1|  3   1|  4   2|  6   3|  6   2|  6   2|  6   3|  6
 TXNP1  57| 65  57| 66  57| 67  56| 72  57| 73  57| 67  57| 65  55| 65  55| 65
 TXNP2  58| 66  58| 68  58| 69  57| 75  58| 78  58| 71  57| 69  57| 69  56| 69
 TXNP5  58| 68  59| 69  58| 71  58| 79  59| 83  61| 76  59| 73  58| 72  58| 72
 TXNP7  59| 69  60| 70  59| 73  59| 82  61| 85  62| 81  61| 76  60| 78  59| 78
 TXNP9  59| 71  60| 73  60| 75  59| 84  63| 87  63| 83  62| 79  61| 82  62| 82
 WSPP1   6| 10   5| 11   5| 11   0|  9   0| 10   0| 10   3| 10   0| 10   0|  9
 WSPP2   7| 12   6| 12   6| 12   3| 10   0| 12   4| 12   5| 12   2| 12   0| 11
 WSPP5   8| 14   6| 14   7| 13   4| 12   2| 13   6| 15   6| 14   5| 14   3| 13
 WSPP7  10| 15   8| 16   8| 15   6| 15   4| 16   8| 18   9| 17   7| 17   6| 17
 WSPP9  11| 16  10| 17   9| 18   7| 17   7| 19  11| 22  12| 20   9| 21   9| 20
 W24P1    | 19    | 16    | 17    | 16    | 14    | 16    | 15    | 16    | 15
 W24P2    | 20    | 18    | 18    | 17    | 15    | 17    | 18    | 18    | 17
 W24P5    | 21    | 19    | 19    | 18    | 17    | 18    | 20    | 20    | 19
 W24P7    | 23    | 20    | 20    | 20    | 19    | 20    | 23    | 22    | 22
 W24P9    | 24    | 21    | 22    | 22    | 21    | 23    | 26    | 24    | 25
 G24P1    | 22    | 17    | 17    | 16    | 13    | 15    | 16    | 17    | 15
 G24P2    | 24    | 19    | 19    | 18    | 14    | 17    | 19    | 19    | 17
 G24P5    | 25    | 21    | 21    | 20    | 18    | 19    | 23    | 22    | 21
 G24P7    | 28    | 23    | 24    | 24    | 22    | 24    | 29    | 27    | 26
 G24P9    | 31    | 25    | 26    | 27    | 26    | 29    | 34    | 35    | 35
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 013|012 012|010 010|010 010|009 009|008 008|007 008|009 010|010 010|008
 SLPP2 013|012 012|011 011|010 011|010 010|010 009|009 010|010 012|011 010|010
 SLPP5 014|013 013|012 012|011 012|011 011|011 011|011 012|012 013|013 012|011
 SLPP7 014|014 014|013 013|012 013|012 012|012 012|013 014|014 014|014 014|013
 SLPP9 014|014 014|013 013|012 013|013 013|013 014|014 015|015 015|015 015|015
