 KATL    NBM V5.0 NBP GUIDANCE    9/19/2026  1900 UTC
    SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  73| 90  73| 91  72| 88  72| 84  68| 80  65| 79  64| 79  62| 79  62| 79
 TXNSD   1|  2   1|  2   1|  4   1|  5   4|  6   4|  5   5|  5   5|  6   5|  6
 TXNP1  72| 87  71| 89  71| 85  70| 76  62| 71  61| 72  59| 73  54| 72  56| 72
 TXNP2  72| 89  72| 90  72| 87  71| 80  64| 76  62| 75  61| 75  59| 75  58| 75
 TXNP5  72| 90  73| 91  72| 89  72| 85  70| 79  64| 78  63| 79  61| 79  61| 79
 TXNP7  73| 91  73| 93  73| 91  72| 88  71| 85  70| 85  66| 85  65| 84  64| 84
 TXNP9  74| 92  74| 93  74| 93  73| 90  72| 87  71| 87  70| 86  70| 86  70| 86
 WSPP1   3|  0   0|  0   0|  0   4|  4   5|  3   4|  1   3|  3   3|  3   3|  3
 WSPP2   4|  3   0|  3   3|  4   5|  6   7|  6   5|  4   4|  4   4|  4   4|  3
 WSPP5   5|  4   0|  4   5|  5   7|  9   8|  8   6|  6   6|  7   6|  6   5|  5
 WSPP7   6|  5   3|  6   6|  8   9| 10  10|  9   8|  8   7|  9   7|  8   6|  7
 WSPP9   7|  7   4|  7   7| 10  11| 12  10| 12  10| 10   9| 10   8| 10   8|  9
 W24P1    |  7    |  6    |  8    | 10    | 10    | 10    |  8    |  8    |
 W24P2    |  8    |  7    | 10    | 12    | 12    | 11    | 10    | 10    |
 W24P5    |  9    |  9    | 11    | 15    | 14    | 13    | 12    | 12    |
 W24P7    | 10    | 10    | 13    | 17    | 17    | 15    | 15    | 14    |
 W24P9    | 12    | 12    | 15    | 20    | 19    | 17    | 17    | 17    |
 G24P1    | 10    |  9    | 12    | 16    | 16    | 15    | 13    | 13    |
 G24P2    | 12    | 10    | 15    | 21    | 20    | 18    | 17    | 15    |
 G24P5    | 14    | 13    | 18    | 26    | 24    | 21    | 21    | 19    |
 G24P7    | 17    | 16    | 23    | 30    | 29    | 25    | 26    | 25    |
 G24P9    | 19    | 20    | 27    | 34    | 32    | 29    | 30    | 30    |
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      9|      0|      0|      0|      0|      0|
 Q24P7    |      1|     17|     34|     12|      0|      0|      0|      0|
 Q24P9    |     20|     35|     65|     55|     11|      6|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 016|012 014|012 015|013 016|015 017|015 016|014 016|013 014|012 013|009
 SLPP2 016|012 014|012 015|014 018|017 018|016 018|015 017|014 016|013 014|012
 SLPP5 016|013 015|013 016|016 019|019 020|018 019|017 019|017 018|015 017|014
 SLPP7 017|014 015|013 017|016 021|021 022|020 021|018 020|018 020|018 020|016
 SLPP9 017|014 016|014 018|018 022|022 024|021 023|020 022|020 021|019 021|018
