 KAUS    NBM V5.0 NBP GUIDANCE    9/19/2026  1900 UTC
    SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  72|100  74|100  74| 99  75| 99  74| 99  73| 97  72| 97  72| 97  72| 97
 TXNSD   2|  2   2|  2   2|  2   2|  2   3|  3   4|  4   4|  4   4|  4   4|  4
 TXNP1  69| 98  71| 98  71| 98  72| 97  72| 97  68| 90  67| 91  66| 90  66| 90
 TXNP2  71| 99  72| 99  72| 99  73| 99  73| 98  72| 97  70| 97  70| 97  70| 97
 TXNP5  72|100  73|100  73|100  74|100  75| 99  74| 98  72| 99  72| 99  72| 99
 TXNP7  74|101  75|101  75|100  76|101  76|100  76|100  75|100  74|100  74|100
 TXNP9  75|101  77|102  77|101  78|101  77|101  77|101  76|101  76|101  76|101
 WSPP1   0|  4   0|  4   0|  6   0|  6   0|  6   0|  5   0|  4   0|  3   0|  3
 WSPP2   0|  5   0|  5   0|  7   0|  8   0|  7   0|  7   0|  6   0|  5   0|  5
 WSPP5   3|  7   0|  6   0|  8   0|  9   3|  9   2|  8   0|  7   2|  7   3|  7
 WSPP7   4|  8   2|  7   3| 10   6| 10   5| 10   4| 10   3|  8   4|  8   6|  9
 WSPP9   5|  9   4|  9   4| 12   9| 12   7| 11   6| 11   5| 10   6| 10   8| 11
 W24P1    | 10    |  8    |  9    | 10    | 10    |  9    |  8    |  9    |
 W24P2    | 10    | 10    | 10    | 11    | 11    | 10    | 10    | 10    |
 W24P5    | 12    | 10    | 11    | 12    | 13    | 12    | 12    | 12    |
 W24P7    | 14    | 12    | 13    | 14    | 15    | 14    | 13    | 14    |
 W24P9    | 15    | 14    | 15    | 16    | 16    | 16    | 15    | 16    |
 G24P1    | 16    | 14    | 14    | 15    | 16    | 15    | 14    | 14    |
 G24P2    | 18    | 15    | 16    | 18    | 19    | 17    | 17    | 17    |
 G24P5    | 20    | 17    | 19    | 20    | 21    | 21    | 20    | 21    |
 G24P7    | 23    | 21    | 22    | 23    | 23    | 23    | 22    | 24    |
 G24P9    | 24    | 23    | 24    | 26    | 26    | 25    | 25    | 26    |
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P9    |      2|     10|      6|      0|      0|      0|      0|     24|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 013|008 012|008 013|011 015|012 016|012 015|012 014|010 013|007 009|005
 SLPP2 013|008 013|009 014|011 016|014 016|013 016|012 016|011 014|009 011|007
 SLPP5 014|009 013|010 015|012 017|014 018|014 017|014 016|013 015|010 013|009
 SLPP7 014|010 014|010 015|013 018|015 019|015 019|015 018|014 016|012 015|011
 SLPP9 014|010 014|011 016|014 018|016 019|016 019|016 019|016 018|014 016|012
